entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,AcquiredIntangibleAssets,Assets,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,NoncurrentDeferredTaxAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
28691947,2015-01-01,2015-12-31,ID_14,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2M0Lzg2LzIxLzc5YzgtNDQ2NC1iNmVjLTczZjBhYjUwMGUwOA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzY5LzJhLzVhLzU2NzUtNGI5ZC04M2I1LWFkYTU4YzQwZTczZA.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,2.0,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2016 and of the results of the Company's operations for the financial year 1 January - 31 December 2016.,2017-05-08,2017-05-08,2005-04-27,2017-05-11,30700228.0,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2016.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2015-01-01,2015-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2016-12-31,2016-01-01,false,2017-05-08,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:23887600,indberetninger-20180424,2.5124266,28691947.0,,2018-03-28T03:03:11.996Z,2017-05-18T09:00:47.024Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-48-RJ,2017-05-18T09:00:47.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_16,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2M0Lzg2LzIxLzc5YzgtNDQ2NC1iNmVjLTczZjBhYjUwMGUwOA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzY5LzJhLzVhLzU2NzUtNGI5ZC04M2I1LWFkYTU4YzQwZTczZA.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2016 and of the results of the Company's operations for the financial year 1 January - 31 December 2016.,2017-05-08,2017-05-08,2005-04-27,2017-05-11,30700228.0,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2016.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2015-01-01,2015-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2016-12-31,2016-01-01,false,2017-05-08,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:23887600,indberetninger-20180424,2.5124266,28691947.0,,2018-03-28T03:03:11.996Z,2017-05-18T09:00:47.024Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-48-RJ,2017-05-18T09:00:47.322Z,82890000.0,3698000.0,58534000.0,0.0,0.0,29004000.0,87946000.0,91840000.0,30888000.0,-28054000.0,-60952000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-01-01,2015-12-31,ID_18,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2M0Lzg2LzIxLzc5YzgtNDQ2NC1iNmVjLTczZjBhYjUwMGUwOA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzY5LzJhLzVhLzU2NzUtNGI5ZC04M2I1LWFkYTU4YzQwZTczZA.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2016 and of the results of the Company's operations for the financial year 1 January - 31 December 2016.,2017-05-08,2017-05-08,2005-04-27,2017-05-11,30700228.0,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2016.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2015-01-01,2015-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2016-12-31,2016-01-01,false,2017-05-08,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:23887600,indberetninger-20180424,2.5124266,28691947.0,,2018-03-28T03:03:11.996Z,2017-05-18T09:00:47.024Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-48-RJ,2017-05-18T09:00:47.322Z,,,,,,,,-91840000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2015-12-31,2015-12-31,ID_13,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2M0Lzg2LzIxLzc5YzgtNDQ2NC1iNmVjLTczZjBhYjUwMGUwOA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzY5LzJhLzVhLzU2NzUtNGI5ZC04M2I1LWFkYTU4YzQwZTczZA.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2016 and of the results of the Company's operations for the financial year 1 January - 31 December 2016.,2017-05-08,2017-05-08,2005-04-27,2017-05-11,30700228.0,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2016.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2015-01-01,2015-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2016-12-31,2016-01-01,false,2017-05-08,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:23887600,indberetninger-20180424,2.5124266,28691947.0,,2018-03-28T03:03:11.996Z,2017-05-18T09:00:47.024Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-48-RJ,2017-05-18T09:00:47.322Z,,,,,,,,,,,,647249000.0,9304396000.0,12765228000.0,3887612000.0,80000.0,8625300000.0,1266000.0,647249000.0,9304396000.0,679096000.0,4768269000.0,79519000.0,480000000.0,480000000.0,5416784000.0,415000000.0,161000.0,344000.0,1266000.0,-4139928000.0,199096000.0,197049000.0,3887612000.0,3827031000.0,0.0,60157000.0,1886000.0,,,
28691947,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2M0Lzg2LzIxLzc5YzgtNDQ2NC1iNmVjLTczZjBhYjUwMGUwOA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzY5LzJhLzVhLzU2NzUtNGI5ZC04M2I1LWFkYTU4YzQwZTczZA.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2016 and of the results of the Company's operations for the financial year 1 January - 31 December 2016.,2017-05-08,2017-05-08,2005-04-27,2017-05-11,30700228.0,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2016.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2015-01-01,2015-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2016-12-31,2016-01-01,false,2017-05-08,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:23887600,indberetninger-20180424,2.5124266,28691947.0,,2018-03-28T03:03:11.996Z,2017-05-18T09:00:47.024Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-48-RJ,2017-05-18T09:00:47.322Z,31726000.0,1928000.0,45792000.0,386221000.0,386221000.0,133860000.0,154840000.0,373171000.0,419339000.0,12138000.0,46168000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2M0Lzg2LzIxLzc5YzgtNDQ2NC1iNmVjLTczZjBhYjUwMGUwOA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzY5LzJhLzVhLzU2NzUtNGI5ZC04M2I1LWFkYTU4YzQwZTczZA.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2016 and of the results of the Company's operations for the financial year 1 January - 31 December 2016.,2017-05-08,2017-05-08,2005-04-27,2017-05-11,30700228.0,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2016.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2015-01-01,2015-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2016-12-31,2016-01-01,false,2017-05-08,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:23887600,indberetninger-20180424,2.5124266,28691947.0,,2018-03-28T03:03:11.996Z,2017-05-18T09:00:47.024Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-48-RJ,2017-05-18T09:00:47.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2M0Lzg2LzIxLzc5YzgtNDQ2NC1iNmVjLTczZjBhYjUwMGUwOA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzY5LzJhLzVhLzU2NzUtNGI5ZC04M2I1LWFkYTU4YzQwZTczZA.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2016 and of the results of the Company's operations for the financial year 1 January - 31 December 2016.,2017-05-08,2017-05-08,2005-04-27,2017-05-11,30700228.0,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2016.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2015-01-01,2015-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2016-12-31,2016-01-01,false,2017-05-08,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:23887600,indberetninger-20180424,2.5124266,28691947.0,,2018-03-28T03:03:11.996Z,2017-05-18T09:00:47.024Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-48-RJ,2017-05-18T09:00:47.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margrethe Melbye,Board Member,
28691947,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2M0Lzg2LzIxLzc5YzgtNDQ2NC1iNmVjLTczZjBhYjUwMGUwOA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzY5LzJhLzVhLzU2NzUtNGI5ZC04M2I1LWFkYTU4YzQwZTczZA.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2016 and of the results of the Company's operations for the financial year 1 January - 31 December 2016.,2017-05-08,2017-05-08,2005-04-27,2017-05-11,30700228.0,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2016.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2015-01-01,2015-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2016-12-31,2016-01-01,false,2017-05-08,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:23887600,indberetninger-20180424,2.5124266,28691947.0,,2018-03-28T03:03:11.996Z,2017-05-18T09:00:47.024Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-48-RJ,2017-05-18T09:00:47.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fredrik Bertil Ãberg,Board Member,
28691947,2016-01-01,2016-12-31,ID_15,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2M0Lzg2LzIxLzc5YzgtNDQ2NC1iNmVjLTczZjBhYjUwMGUwOA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzY5LzJhLzVhLzU2NzUtNGI5ZC04M2I1LWFkYTU4YzQwZTczZA.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,1.0,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2016 and of the results of the Company's operations for the financial year 1 January - 31 December 2016.,2017-05-08,2017-05-08,2005-04-27,2017-05-11,30700228.0,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2016.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2015-01-01,2015-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2016-12-31,2016-01-01,false,2017-05-08,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:23887600,indberetninger-20180424,2.5124266,28691947.0,,2018-03-28T03:03:11.996Z,2017-05-18T09:00:47.024Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-48-RJ,2017-05-18T09:00:47.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2016-01-01,2016-12-31,ID_17,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzL2RhL2M0Lzg2LzIxLzc5YzgtNDQ2NC1iNmVjLTczZjBhYjUwMGUwOA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzY5LzJhLzVhLzU2NzUtNGI5ZC04M2I1LWFkYTU4YzQwZTczZA.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2016 and of the results of the Company's operations for the financial year 1 January - 31 December 2016.,2017-05-08,2017-05-08,2005-04-27,2017-05-11,30700228.0,28691947.0,30700228.0,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2016.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2015-01-01,2015-12-31,We recommend that the annual report be adopted at the annual general meeting.,"Copenhagen, 0",2016-12-31,2016-01-01,false,2017-05-08,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:23887600,indberetninger-20180424,2.5124266,28691947.0,,2018-03-28T03:03:11.996Z,2017-05-18T09:00:47.024Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AJ-48-RJ,2017-05-18T09:00:47.322Z,,,,,,,,-373171000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
