entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfLawFirmDistrictName,AddressOfLawFirmPostCodeIdentifier,AddressOfLawFirmStreetBuildingIdentifier,AddressOfLawFirmStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DividendPaid,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnOmissionOfConsolidatedFinancialStatement,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor
28102267,2016-10-01,2017-09-30,c174,,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2ZlLzFjLzExL2YxYWYtNGExOC1iZjBlLTkwZDgxY2ZhMWU0Yw.pdf,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzkzLzA3L2NlL2NjZjktNDQ4Yy04YjU2LTNlY2Y3NTdhZDk3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Aarhus C,8000.0,3.0,NÃ¸rreport,HjÃ¸rring,9800.0,215.0,Frederikshavnsvej,8450 Hammel,Ãstervangsvej 9,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Hojer Holding ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,5038.0,2018-12-19,2004-08-31,2018-12-19,-50000.0,-10300.0,28102267.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Hojer Holding ApS.,101200.0,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tommy HÃ¸jer,Tommy HÃ¸jer,Djurslands Bank,HjulmandKaptain,Hojer Holding ApS,BDO Statsautoriseret revisionsaktieselskab,0.0,91877.0,Hammel,2016-10-01,2017-09-30,177739.0,182777.0,-10300.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2018-09-30,2017-10-01,true,2018-12-19,Herning,5038.0,urn:ofk:oid:26484598,indberetninger-20180424,2.5124211,28102267.0,AWfGeqOUet7j816DxfLZ,2018-12-19T12:39:59.845Z,2018-12-19T12:39:43.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-32-BY,2018-12-19T12:39:43.850Z,,,,,,,,,,,,,,,,,,,,,,,,,
28102267,2016-10-01,2017-09-30,c177,,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2ZlLzFjLzExL2YxYWYtNGExOC1iZjBlLTkwZDgxY2ZhMWU0Yw.pdf,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzkzLzA3L2NlL2NjZjktNDQ4Yy04YjU2LTNlY2Y3NTdhZDk3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Aarhus C,8000.0,3.0,NÃ¸rreport,HjÃ¸rring,9800.0,215.0,Frederikshavnsvej,8450 Hammel,Ãstervangsvej 9,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Hojer Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2018-12-19,2004-08-31,2018-12-19,-50000.0,,28102267.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Hojer Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tommy HÃ¸jer,Tommy HÃ¸jer,Djurslands Bank,HjulmandKaptain,Hojer Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Hammel,2016-10-01,2017-09-30,50000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2018-09-30,2017-10-01,true,2018-12-19,Herning,,urn:ofk:oid:26484598,indberetninger-20180424,2.5124211,28102267.0,AWfGeqOUet7j816DxfLZ,2018-12-19T12:39:59.845Z,2018-12-19T12:39:43.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-32-BY,2018-12-19T12:39:43.850Z,,,,,,,,,,,,,,,,,,,,,,,,,
28102267,2016-10-01,2017-09-30,c195,,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2ZlLzFjLzExL2YxYWYtNGExOC1iZjBlLTkwZDgxY2ZhMWU0Yw.pdf,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzkzLzA3L2NlL2NjZjktNDQ4Yy04YjU2LTNlY2Y3NTdhZDk3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Aarhus C,8000.0,3.0,NÃ¸rreport,HjÃ¸rring,9800.0,215.0,Frederikshavnsvej,8450 Hammel,Ãstervangsvej 9,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Hojer Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2018-12-19,2004-08-31,2018-12-19,-50000.0,,28102267.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Hojer Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tommy HÃ¸jer,Tommy HÃ¸jer,Djurslands Bank,HjulmandKaptain,Hojer Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Hammel,2016-10-01,2017-09-30,127739.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2018-09-30,2017-10-01,true,2018-12-19,Herning,,urn:ofk:oid:26484598,indberetninger-20180424,2.5124211,28102267.0,AWfGeqOUet7j816DxfLZ,2018-12-19T12:39:59.845Z,2018-12-19T12:39:43.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-32-BY,2018-12-19T12:39:43.850Z,,,,,,,,,,,,,,,,,,,,,,,,,
28102267,2017-09-30,2017-09-30,c172,,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2ZlLzFjLzExL2YxYWYtNGExOC1iZjBlLTkwZDgxY2ZhMWU0Yw.pdf,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzkzLzA3L2NlL2NjZjktNDQ4Yy04YjU2LTNlY2Y3NTdhZDk3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Aarhus C,8000.0,3.0,NÃ¸rreport,HjÃ¸rring,9800.0,215.0,Frederikshavnsvej,8450 Hammel,Ãstervangsvej 9,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Hojer Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2018-12-19,2004-08-31,2018-12-19,-50000.0,,28102267.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Hojer Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tommy HÃ¸jer,Tommy HÃ¸jer,Djurslands Bank,HjulmandKaptain,Hojer Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Hammel,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2018-09-30,2017-10-01,true,2018-12-19,Herning,,urn:ofk:oid:26484598,indberetninger-20180424,2.5124211,28102267.0,AWfGeqOUet7j816DxfLZ,2018-12-19T12:39:59.845Z,2018-12-19T12:39:43.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-32-BY,2018-12-19T12:39:43.850Z,829501.0,43693.0,125000.0,589854.0,829501.0,239647.0,127500.0,127500.0,127500.0,656036.0,8750.0,50000.0,414854.0,656036.0,239647.0,230897.0,2272.0,2272.0,,,,,,,
28102267,2017-10-01,2017-10-01,c226,,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2ZlLzFjLzExL2YxYWYtNGExOC1iZjBlLTkwZDgxY2ZhMWU0Yw.pdf,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzkzLzA3L2NlL2NjZjktNDQ4Yy04YjU2LTNlY2Y3NTdhZDk3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Aarhus C,8000.0,3.0,NÃ¸rreport,HjÃ¸rring,9800.0,215.0,Frederikshavnsvej,8450 Hammel,Ãstervangsvej 9,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Hojer Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2018-12-19,2004-08-31,2018-12-19,-50000.0,,28102267.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Hojer Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tommy HÃ¸jer,Tommy HÃ¸jer,Djurslands Bank,HjulmandKaptain,Hojer Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Hammel,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2018-09-30,2017-10-01,true,2018-12-19,Herning,,urn:ofk:oid:26484598,indberetninger-20180424,2.5124211,28102267.0,AWfGeqOUet7j816DxfLZ,2018-12-19T12:39:59.845Z,2018-12-19T12:39:43.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-32-BY,2018-12-19T12:39:43.850Z,,,,125000.0,,,,,,,,,,,,,,,,,,,,,
28102267,2017-10-01,2017-10-01,c253,,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2ZlLzFjLzExL2YxYWYtNGExOC1iZjBlLTkwZDgxY2ZhMWU0Yw.pdf,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzkzLzA3L2NlL2NjZjktNDQ4Yy04YjU2LTNlY2Y3NTdhZDk3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Aarhus C,8000.0,3.0,NÃ¸rreport,HjÃ¸rring,9800.0,215.0,Frederikshavnsvej,8450 Hammel,Ãstervangsvej 9,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Hojer Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2018-12-19,2004-08-31,2018-12-19,-50000.0,,28102267.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Hojer Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tommy HÃ¸jer,Tommy HÃ¸jer,Djurslands Bank,HjulmandKaptain,Hojer Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Hammel,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2018-09-30,2017-10-01,true,2018-12-19,Herning,,urn:ofk:oid:26484598,indberetninger-20180424,2.5124211,28102267.0,AWfGeqOUet7j816DxfLZ,2018-12-19T12:39:59.845Z,2018-12-19T12:39:43.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-32-BY,2018-12-19T12:39:43.850Z,,,,414854.0,,,,,,,,,,,,,,,,,,,,,
28102267,2017-10-01,2017-10-01,c257,,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2ZlLzFjLzExL2YxYWYtNGExOC1iZjBlLTkwZDgxY2ZhMWU0Yw.pdf,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzkzLzA3L2NlL2NjZjktNDQ4Yy04YjU2LTNlY2Y3NTdhZDk3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Aarhus C,8000.0,3.0,NÃ¸rreport,HjÃ¸rring,9800.0,215.0,Frederikshavnsvej,8450 Hammel,Ãstervangsvej 9,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Hojer Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2018-12-19,2004-08-31,2018-12-19,-50000.0,,28102267.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Hojer Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tommy HÃ¸jer,Tommy HÃ¸jer,Djurslands Bank,HjulmandKaptain,Hojer Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Hammel,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2018-09-30,2017-10-01,true,2018-12-19,Herning,,urn:ofk:oid:26484598,indberetninger-20180424,2.5124211,28102267.0,AWfGeqOUet7j816DxfLZ,2018-12-19T12:39:59.845Z,2018-12-19T12:39:43.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-32-BY,2018-12-19T12:39:43.850Z,,,,50000.0,,,,,,,,,,,,,,,,,,,,,
28102267,2017-10-01,2017-10-01,c548,,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2ZlLzFjLzExL2YxYWYtNGExOC1iZjBlLTkwZDgxY2ZhMWU0Yw.pdf,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzkzLzA3L2NlL2NjZjktNDQ4Yy04YjU2LTNlY2Y3NTdhZDk3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Aarhus C,8000.0,3.0,NÃ¸rreport,HjÃ¸rring,9800.0,215.0,Frederikshavnsvej,8450 Hammel,Ãstervangsvej 9,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Hojer Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2018-12-19,2004-08-31,2018-12-19,-50000.0,,28102267.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Hojer Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tommy HÃ¸jer,Tommy HÃ¸jer,Djurslands Bank,HjulmandKaptain,Hojer Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Hammel,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2018-09-30,2017-10-01,true,2018-12-19,Herning,,urn:ofk:oid:26484598,indberetninger-20180424,2.5124211,28102267.0,AWfGeqOUet7j816DxfLZ,2018-12-19T12:39:59.845Z,2018-12-19T12:39:43.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-32-BY,2018-12-19T12:39:43.850Z,,,,,,,,,,,,,,,,,,,127500.0,,,,,,
28102267,2017-10-01,2018-09-30,c173,,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2ZlLzFjLzExL2YxYWYtNGExOC1iZjBlLTkwZDgxY2ZhMWU0Yw.pdf,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzkzLzA3L2NlL2NjZjktNDQ4Yy04YjU2LTNlY2Y3NTdhZDk3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Aarhus C,8000.0,3.0,NÃ¸rreport,HjÃ¸rring,9800.0,215.0,Frederikshavnsvej,8450 Hammel,Ãstervangsvej 9,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Hojer Holding ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,-11550.0,2018-12-19,2004-08-31,2018-12-19,-50000.0,-7550.0,28102267.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Hojer Holding ApS.,0.0,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tommy HÃ¸jer,Tommy HÃ¸jer,Djurslands Bank,HjulmandKaptain,Hojer Holding ApS,BDO Statsautoriseret revisionsaktieselskab,74554.0,29559.0,Hammel,2016-10-01,2017-09-30,-40995.0,-52545.0,-7550.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2018-09-30,2017-10-01,true,2018-12-19,Herning,-11550.0,urn:ofk:oid:26484598,indberetninger-20180424,2.5124211,28102267.0,AWfGeqOUet7j816DxfLZ,2018-12-19T12:39:59.845Z,2018-12-19T12:39:43.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-32-BY,2018-12-19T12:39:43.850Z,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,Andre erklÃ¦ringer uden sikkerhed,,,,
28102267,2017-10-01,2018-09-30,c176,,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2Q2L2ZlLzFjLzExL2YxYWYtNGExOC1iZjBlLTkwZDgxY2ZhMWU0Yw.pdf,http://regnskaber.virk.dk/76220182/ZG9rdW1lbnRsYWdlcjovLzAzL2I1LzkzLzA3L2NlL2NjZjktNDQ4Yy04YjU2LTNlY2Y3NTdhZDk3Yg.xml,true,Herning,7400.0,30.0,Birk Centerpark,Aarhus C,8000.0,3.0,NÃ¸rreport,HjÃ¸rring,9800.0,215.0,Frederikshavnsvej,8450 Hammel,Ãstervangsvej 9,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Hojer Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2018-12-19,2004-08-31,2018-12-19,-50000.0,,28102267.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Hojer Holding ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Tommy HÃ¸jer,Tommy HÃ¸jer,Djurslands Bank,HjulmandKaptain,Hojer Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Hammel,2016-10-01,2017-09-30,105800.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2018-09-30,2017-10-01,true,2018-12-19,Herning,,urn:ofk:oid:26484598,indberetninger-20180424,2.5124211,28102267.0,AWfGeqOUet7j816DxfLZ,2018-12-19T12:39:59.845Z,2018-12-19T12:39:43.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-EQ-32-BY,2018-12-19T12:39:43.850Z,,,,,,,,,,,,,,,,,,,,,,,,,
