entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,DistributionCosts,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnAverageNumberOfEmployees,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermTaxReceivables,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,CompletedDevelopmentProjects,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradeReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
29688303,2015-10-01,2016-09-30,c3,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzRiL2NkL2E0LzBlMzAtNDQzNi05MjdjLTU4MzY2ODZjNDZlOA.xhtml,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2M5LzBlLzFhL2I5OTMtNGRlYS1iZmRiLTRiOGUwYjhhYThmNA.pdf,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzRjL2UwLzNkLzc2ODctNGY5YS1iM2IzLTMzYjUzY2JlY2EwMw.xml,true,Danmark,DK,RÃ¸nde,8410.0,46.0,Thorsgade,Aarhus C,8000.0,5.0,Store Torv,8410 RÃ¸nde,Thorsgade 46,9324.0,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-18,2018-02-28,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive fotoforretning med salg, service og fotolab samt dermed forbunden virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,6836.0,29688303.0,1003735822.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i Ã¥rets lÃ¸b.</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Robert SÃ¸rensen,Robert Manfred SÃ¸rensen,DIGIFOTO ApS,revisionsfirmaet tommy larsen,0.0,17158.0,Ãrhus,2015-10-01,2016-09-30,11458.0,14670.0,-2488.0,2017-09-30,2016-10-01,false,false,1936.0,2018-02-18,Thorsager,3212.0,86120411.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25128125,indberetninger-20180424,2.5955422,29688303.0,,2018-04-04T02:48:20.802Z,2018-03-05T07:28:09.921Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AU-89-SL,2018-03-05T07:28:10.094Z,,,,,,,,,,,,,,,,,,,,,,,
29688303,2015-10-01,2016-09-30,c5,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzRiL2NkL2E0LzBlMzAtNDQzNi05MjdjLTU4MzY2ODZjNDZlOA.xhtml,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2M5LzBlLzFhL2I5OTMtNGRlYS1iZmRiLTRiOGUwYjhhYThmNA.pdf,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzRjL2UwLzNkLzc2ODctNGY5YS1iM2IzLTMzYjUzY2JlY2EwMw.xml,true,Danmark,DK,RÃ¸nde,8410.0,46.0,Thorsgade,Aarhus C,8000.0,5.0,Store Torv,8410 RÃ¸nde,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-18,2018-02-28,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive fotoforretning med salg, service og fotolab samt dermed forbunden virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,29688303.0,1003735822.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i Ã¥rets lÃ¸b.</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Robert SÃ¸rensen,Robert Manfred SÃ¸rensen,DIGIFOTO ApS,revisionsfirmaet tommy larsen,,,Ãrhus,2015-10-01,2016-09-30,200000.0,,,2017-09-30,2016-10-01,false,false,1936.0,2018-02-18,Thorsager,,86120411.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25128125,indberetninger-20180424,2.5955422,29688303.0,,2018-04-04T02:48:20.802Z,2018-03-05T07:28:09.921Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AU-89-SL,2018-03-05T07:28:10.094Z,,,,,,,,,,,,,,,,,,,,,,,
29688303,2015-10-01,2016-09-30,c7,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzRiL2NkL2E0LzBlMzAtNDQzNi05MjdjLTU4MzY2ODZjNDZlOA.xhtml,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2M5LzBlLzFhL2I5OTMtNGRlYS1iZmRiLTRiOGUwYjhhYThmNA.pdf,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzRjL2UwLzNkLzc2ODctNGY5YS1iM2IzLTMzYjUzY2JlY2EwMw.xml,true,Danmark,DK,RÃ¸nde,8410.0,46.0,Thorsgade,Aarhus C,8000.0,5.0,Store Torv,8410 RÃ¸nde,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-18,2018-02-28,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive fotoforretning med salg, service og fotolab samt dermed forbunden virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,29688303.0,1003735822.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i Ã¥rets lÃ¸b.</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Robert SÃ¸rensen,Robert Manfred SÃ¸rensen,DIGIFOTO ApS,revisionsfirmaet tommy larsen,,,Ãrhus,2015-10-01,2016-09-30,-188542.0,,,2017-09-30,2016-10-01,false,false,1936.0,2018-02-18,Thorsager,,86120411.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25128125,indberetninger-20180424,2.5955422,29688303.0,,2018-04-04T02:48:20.802Z,2018-03-05T07:28:09.921Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AU-89-SL,2018-03-05T07:28:10.094Z,,,,,,,,,,,,,,,,,,,,,,,
29688303,2016-09-30,2016-09-30,c9,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzRiL2NkL2E0LzBlMzAtNDQzNi05MjdjLTU4MzY2ODZjNDZlOA.xhtml,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2M5LzBlLzFhL2I5OTMtNGRlYS1iZmRiLTRiOGUwYjhhYThmNA.pdf,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzRjL2UwLzNkLzc2ODctNGY5YS1iM2IzLTMzYjUzY2JlY2EwMw.xml,true,Danmark,DK,RÃ¸nde,8410.0,46.0,Thorsgade,Aarhus C,8000.0,5.0,Store Torv,8410 RÃ¸nde,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-18,2018-02-28,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive fotoforretning med salg, service og fotolab samt dermed forbunden virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,29688303.0,1003735822.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i Ã¥rets lÃ¸b.</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Robert SÃ¸rensen,Robert Manfred SÃ¸rensen,DIGIFOTO ApS,revisionsfirmaet tommy larsen,,,Ãrhus,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,false,false,1936.0,2018-02-18,Thorsager,,86120411.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25128125,indberetninger-20180424,2.5955422,29688303.0,,2018-04-04T02:48:20.802Z,2018-03-05T07:28:09.921Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AU-89-SL,2018-03-05T07:28:10.094Z,333559.0,78187.0,25000.0,125000.0,308559.0,329086.0,0.0,25000.0,333559.0,4473.0,25000.0,4473.0,0.0,0.0,200000.0,4086.0,0.0,4473.0,230372.0,228427.0,1945.0,,
29688303,2016-10-01,2017-09-30,c0,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzRiL2NkL2E0LzBlMzAtNDQzNi05MjdjLTU4MzY2ODZjNDZlOA.xhtml,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2M5LzBlLzFhL2I5OTMtNGRlYS1iZmRiLTRiOGUwYjhhYThmNA.pdf,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzRjL2UwLzNkLzc2ODctNGY5YS1iM2IzLTMzYjUzY2JlY2EwMw.xml,true,Danmark,DK,RÃ¸nde,8410.0,46.0,Thorsgade,Aarhus C,8000.0,5.0,Store Torv,8410 RÃ¸nde,Thorsgade 46,5298.0,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-18,2018-02-28,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive fotoforretning med salg, service og fotolab samt dermed forbunden virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,2657.0,29688303.0,1003735822.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i Ã¥rets lÃ¸b.</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Robert SÃ¸rensen,Robert Manfred SÃ¸rensen,DIGIFOTO ApS,revisionsfirmaet tommy larsen,3984.0,18274.0,Ãrhus,2015-10-01,2016-09-30,9075.0,11649.0,-2641.0,2017-09-30,2016-10-01,false,false,1936.0,2018-02-18,Thorsager,2574.0,86120411.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25128125,indberetninger-20180424,2.5955422,29688303.0,,2018-04-04T02:48:20.802Z,2018-03-05T07:28:09.921Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AU-89-SL,2018-03-05T07:28:10.094Z,,,,,,,,,,,,,,,,,,,,,,,
29688303,2016-10-01,2017-09-30,c1,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzRiL2NkL2E0LzBlMzAtNDQzNi05MjdjLTU4MzY2ODZjNDZlOA.xhtml,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2M5LzBlLzFhL2I5OTMtNGRlYS1iZmRiLTRiOGUwYjhhYThmNA.pdf,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzRjL2UwLzNkLzc2ODctNGY5YS1iM2IzLTMzYjUzY2JlY2EwMw.xml,true,Danmark,DK,RÃ¸nde,8410.0,46.0,Thorsgade,Aarhus C,8000.0,5.0,Store Torv,8410 RÃ¸nde,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-18,2018-02-28,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive fotoforretning med salg, service og fotolab samt dermed forbunden virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,29688303.0,1003735822.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i Ã¥rets lÃ¸b.</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Robert SÃ¸rensen,Robert Manfred SÃ¸rensen,DIGIFOTO ApS,revisionsfirmaet tommy larsen,,,Ãrhus,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,false,false,1936.0,2018-02-18,Thorsager,,86120411.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25128125,indberetninger-20180424,2.5955422,29688303.0,,2018-04-04T02:48:20.802Z,2018-03-05T07:28:09.921Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AU-89-SL,2018-03-05T07:28:10.094Z,,,,,,,,,,,,,,,,,,,,,,98727558.0,Revisionsfirmaet Tommy Larsen v/Tommy Larsen
29688303,2016-10-01,2017-09-30,c2,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzRiL2NkL2E0LzBlMzAtNDQzNi05MjdjLTU4MzY2ODZjNDZlOA.xhtml,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2M5LzBlLzFhL2I5OTMtNGRlYS1iZmRiLTRiOGUwYjhhYThmNA.pdf,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzRjL2UwLzNkLzc2ODctNGY5YS1iM2IzLTMzYjUzY2JlY2EwMw.xml,true,Danmark,DK,RÃ¸nde,8410.0,46.0,Thorsgade,Aarhus C,8000.0,5.0,Store Torv,8410 RÃ¸nde,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-18,2018-02-28,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive fotoforretning med salg, service og fotolab samt dermed forbunden virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,29688303.0,1003735822.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i Ã¥rets lÃ¸b.</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Robert SÃ¸rensen,Robert Manfred SÃ¸rensen,DIGIFOTO ApS,revisionsfirmaet tommy larsen,,,Ãrhus,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,false,false,1936.0,2018-02-18,Thorsager,,86120411.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25128125,indberetninger-20180424,2.5955422,29688303.0,,2018-04-04T02:48:20.802Z,2018-03-05T07:28:09.921Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AU-89-SL,2018-03-05T07:28:10.094Z,,,,,,,,,,,,,,,,,,,,,,,
29688303,2016-10-01,2017-09-30,c4,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzRiL2NkL2E0LzBlMzAtNDQzNi05MjdjLTU4MzY2ODZjNDZlOA.xhtml,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2M5LzBlLzFhL2I5OTMtNGRlYS1iZmRiLTRiOGUwYjhhYThmNA.pdf,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzRjL2UwLzNkLzc2ODctNGY5YS1iM2IzLTMzYjUzY2JlY2EwMw.xml,true,Danmark,DK,RÃ¸nde,8410.0,46.0,Thorsgade,Aarhus C,8000.0,5.0,Store Torv,8410 RÃ¸nde,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-18,2018-02-28,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive fotoforretning med salg, service og fotolab samt dermed forbunden virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,29688303.0,1003735822.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i Ã¥rets lÃ¸b.</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Robert SÃ¸rensen,Robert Manfred SÃ¸rensen,DIGIFOTO ApS,revisionsfirmaet tommy larsen,,,Ãrhus,2015-10-01,2016-09-30,0.0,,,2017-09-30,2016-10-01,false,false,1936.0,2018-02-18,Thorsager,,86120411.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25128125,indberetninger-20180424,2.5955422,29688303.0,,2018-04-04T02:48:20.802Z,2018-03-05T07:28:09.921Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AU-89-SL,2018-03-05T07:28:10.094Z,,,,,,,,,,,,,,,,,,,,,,,
29688303,2016-10-01,2017-09-30,c6,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzRiL2NkL2E0LzBlMzAtNDQzNi05MjdjLTU4MzY2ODZjNDZlOA.xhtml,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2M5LzBlLzFhL2I5OTMtNGRlYS1iZmRiLTRiOGUwYjhhYThmNA.pdf,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzRjL2UwLzNkLzc2ODctNGY5YS1iM2IzLTMzYjUzY2JlY2EwMw.xml,true,Danmark,DK,RÃ¸nde,8410.0,46.0,Thorsgade,Aarhus C,8000.0,5.0,Store Torv,8410 RÃ¸nde,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-18,2018-02-28,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive fotoforretning med salg, service og fotolab samt dermed forbunden virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,29688303.0,1003735822.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i Ã¥rets lÃ¸b.</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Robert SÃ¸rensen,Robert Manfred SÃ¸rensen,DIGIFOTO ApS,revisionsfirmaet tommy larsen,,,Ãrhus,2015-10-01,2016-09-30,9075.0,,,2017-09-30,2016-10-01,false,false,1936.0,2018-02-18,Thorsager,,86120411.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25128125,indberetninger-20180424,2.5955422,29688303.0,,2018-04-04T02:48:20.802Z,2018-03-05T07:28:09.921Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AU-89-SL,2018-03-05T07:28:10.094Z,,,,,,,,,,,,,,,,,,,,,,,
29688303,2017-09-30,2017-09-30,c8,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzE2LzRiL2NkL2E0LzBlMzAtNDQzNi05MjdjLTU4MzY2ODZjNDZlOA.xhtml,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzFhL2M5LzBlLzFhL2I5OTMtNGRlYS1iZmRiLTRiOGUwYjhhYThmNA.pdf,http://regnskaber.virk.dk/30388692/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzRjL2UwLzNkLzc2ODctNGY5YS1iM2IzLTMzYjUzY2JlY2EwMw.xml,true,Danmark,DK,RÃ¸nde,8410.0,46.0,Thorsgade,Aarhus C,8000.0,5.0,Store Torv,8410 RÃ¸nde,Thorsgade 46,,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-02-18,2018-02-28,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets formÃ¥l er at drive fotoforretning med salg, service og fotolab samt dermed forbunden virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,29688303.0,1003735822.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke haft ansatte i Ã¥rets lÃ¸b.</p>",Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Tommy Larsen,Robert SÃ¸rensen,Robert Manfred SÃ¸rensen,DIGIFOTO ApS,revisionsfirmaet tommy larsen,,,Ãrhus,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,false,false,1936.0,2018-02-18,Thorsager,,86120411.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25128125,indberetninger-20180424,2.5955422,29688303.0,,2018-04-04T02:48:20.802Z,2018-03-05T07:28:09.921Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AU-89-SL,2018-03-05T07:28:10.094Z,329125.0,0.0,234036.0,125000.0,77489.0,138160.0,17600.0,234036.0,329125.0,190965.0,251636.0,0.0,22262.0,17600.0,0.0,13160.0,190965.0,190965.0,77489.0,42191.0,11100.0,,
