entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AdministrativeExpenses,DistributionCosts,GrossProfitLoss,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RestOfOtherFinanceExpenses,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
25943147,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2NlLzhiL2FiLzg3ZWYtNDRlOS1iZTJkLTQxNDBmMGFiZmMyMg.pdf,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzL2JjL2FlLzI5L2FmLzYxN2ItNGM1ZC1iNTJmLTc2ZWUwNjA4NTY4Mw.xml,true,"2730, Herlev",LyskÃ¦r 3 C,4.0,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-06-27,2019-06-27,2001-03-02,2019-06-27,25943147.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Asterion Denmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Alexander Fitz,Asterion Denmark A/S,Azets Insight A/S,BrÃ¸ndby,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"BrÃ¸ndby, 153",2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27625411,indberetninger-20180424,2.5117056,25943147.0,AWudEbdiIXJRhhXBLg8g,2019-06-28T07:52:06.887Z,2019-06-28T07:51:51.846Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-78-TZ,2019-06-28T07:51:51.999Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25943147,2017-01-01,2017-12-31,ID_16,,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2NlLzhiL2FiLzg3ZWYtNDRlOS1iZTJkLTQxNDBmMGFiZmMyMg.pdf,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzL2JjL2FlLzI5L2FmLzYxN2ItNGM1ZC1iNTJmLTc2ZWUwNjA4NTY4Mw.xml,true,"2730, Herlev",LyskÃ¦r 3 C,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-06-27,2019-06-27,2001-03-02,2019-06-27,25943147.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Asterion Denmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Alexander Fitz,Asterion Denmark A/S,Azets Insight A/S,BrÃ¸ndby,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"BrÃ¸ndby, 153",2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27625411,indberetninger-20180424,2.5117056,25943147.0,AWudEbdiIXJRhhXBLg8g,2019-06-28T07:52:06.887Z,2019-06-28T07:51:51.846Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-78-TZ,2019-06-28T07:51:51.999Z,386124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25943147,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2NlLzhiL2FiLzg3ZWYtNDRlOS1iZTJkLTQxNDBmMGFiZmMyMg.pdf,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzL2JjL2FlLzI5L2FmLzYxN2ItNGM1ZC1iNTJmLTc2ZWUwNjA4NTY4Mw.xml,true,"2730, Herlev",LyskÃ¦r 3 C,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-06-27,2019-06-27,2001-03-02,2019-06-27,25943147.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Asterion Denmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Alexander Fitz,Asterion Denmark A/S,Azets Insight A/S,BrÃ¸ndby,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"BrÃ¸ndby, 153",2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27625411,indberetninger-20180424,2.5117056,25943147.0,AWudEbdiIXJRhhXBLg8g,2019-06-28T07:52:06.887Z,2019-06-28T07:51:51.846Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-78-TZ,2019-06-28T07:51:51.999Z,-386124.0,485990.0,21789.0,136836.0,0.0,-386124.0,-370943.0,15181.0,,,,,,,,,,,,,,,,,,,,,,,,,
25943147,2017-12-31,2017-12-31,ID_9,,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2NlLzhiL2FiLzg3ZWYtNDRlOS1iZTJkLTQxNDBmMGFiZmMyMg.pdf,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzL2JjL2FlLzI5L2FmLzYxN2ItNGM1ZC1iNTJmLTc2ZWUwNjA4NTY4Mw.xml,true,"2730, Herlev",LyskÃ¦r 3 C,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-06-27,2019-06-27,2001-03-02,2019-06-27,25943147.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Asterion Denmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Alexander Fitz,Asterion Denmark A/S,Azets Insight A/S,BrÃ¸ndby,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"BrÃ¸ndby, 153",2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27625411,indberetninger-20180424,2.5117056,25943147.0,AWudEbdiIXJRhhXBLg8g,2019-06-28T07:52:06.887Z,2019-06-28T07:51:51.846Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-78-TZ,2019-06-28T07:51:51.999Z,,,,,,,,,2916604.0,2568658.0,3500000.0,2907702.0,4096.0,2227653.0,8902.0,58012.0,2916604.0,688951.0,8902.0,622118.0,8902.0,58012.0,-1272347.0,0.0,688951.0,21445.0,281032.0,68845.0,45388.0,208091.0,,,
25943147,2018-01-01,2018-01-01,ID_12,,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2NlLzhiL2FiLzg3ZWYtNDRlOS1iZTJkLTQxNDBmMGFiZmMyMg.pdf,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzL2JjL2FlLzI5L2FmLzYxN2ItNGM1ZC1iNTJmLTc2ZWUwNjA4NTY4Mw.xml,true,"2730, Herlev",LyskÃ¦r 3 C,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-06-27,2019-06-27,2001-03-02,2019-06-27,25943147.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Asterion Denmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Alexander Fitz,Asterion Denmark A/S,Azets Insight A/S,BrÃ¸ndby,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"BrÃ¸ndby, 153",2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27625411,indberetninger-20180424,2.5117056,25943147.0,AWudEbdiIXJRhhXBLg8g,2019-06-28T07:52:06.887Z,2019-06-28T07:51:51.846Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-78-TZ,2019-06-28T07:51:51.999Z,,,,,,,,,,,,,,-3500000.0,,,,,,,,,,,,,,,,,,,
25943147,2018-01-01,2018-01-01,ID_13,,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2NlLzhiL2FiLzg3ZWYtNDRlOS1iZTJkLTQxNDBmMGFiZmMyMg.pdf,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzL2JjL2FlLzI5L2FmLzYxN2ItNGM1ZC1iNTJmLTc2ZWUwNjA4NTY4Mw.xml,true,"2730, Herlev",LyskÃ¦r 3 C,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-06-27,2019-06-27,2001-03-02,2019-06-27,25943147.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Asterion Denmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Alexander Fitz,Asterion Denmark A/S,Azets Insight A/S,BrÃ¸ndby,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"BrÃ¸ndby, 153",2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27625411,indberetninger-20180424,2.5117056,25943147.0,AWudEbdiIXJRhhXBLg8g,2019-06-28T07:52:06.887Z,2019-06-28T07:51:51.846Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-78-TZ,2019-06-28T07:51:51.999Z,,,,,,,,,,,,,,1272347.0,,,,,,,,,,,,,,,,,,,
25943147,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2NlLzhiL2FiLzg3ZWYtNDRlOS1iZTJkLTQxNDBmMGFiZmMyMg.pdf,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzL2JjL2FlLzI5L2FmLzYxN2ItNGM1ZC1iNTJmLTc2ZWUwNjA4NTY4Mw.xml,true,"2730, Herlev",LyskÃ¦r 3 C,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-06-27,2019-06-27,2001-03-02,2019-06-27,25943147.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Asterion Denmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Alexander Fitz,Asterion Denmark A/S,Azets Insight A/S,BrÃ¸ndby,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"BrÃ¸ndby, 153",2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27625411,indberetninger-20180424,2.5117056,25943147.0,AWudEbdiIXJRhhXBLg8g,2019-06-28T07:52:06.887Z,2019-06-28T07:51:51.846Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-78-TZ,2019-06-28T07:51:51.999Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25943147,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2NlLzhiL2FiLzg3ZWYtNDRlOS1iZTJkLTQxNDBmMGFiZmMyMg.pdf,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzL2JjL2FlLzI5L2FmLzYxN2ItNGM1ZC1iNTJmLTc2ZWUwNjA4NTY4Mw.xml,true,"2730, Herlev",LyskÃ¦r 3 C,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-06-27,2019-06-27,2001-03-02,2019-06-27,25943147.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Asterion Denmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Alexander Fitz,Asterion Denmark A/S,Azets Insight A/S,BrÃ¸ndby,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"BrÃ¸ndby, 153",2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27625411,indberetninger-20180424,2.5117056,25943147.0,AWudEbdiIXJRhhXBLg8g,2019-06-28T07:52:06.887Z,2019-06-28T07:51:51.846Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-78-TZ,2019-06-28T07:51:51.999Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaymin Harshad Chhaya,,
25943147,2018-01-01,2018-12-31,ID_10,,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2NlLzhiL2FiLzg3ZWYtNDRlOS1iZTJkLTQxNDBmMGFiZmMyMg.pdf,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzL2JjL2FlLzI5L2FmLzYxN2ItNGM1ZC1iNTJmLTc2ZWUwNjA4NTY4Mw.xml,true,"2730, Herlev",LyskÃ¦r 3 C,4.0,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-06-27,2019-06-27,2001-03-02,2019-06-27,25943147.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Asterion Denmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Alexander Fitz,Asterion Denmark A/S,Azets Insight A/S,BrÃ¸ndby,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"BrÃ¸ndby, 153",2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27625411,indberetninger-20180424,2.5117056,25943147.0,AWudEbdiIXJRhhXBLg8g,2019-06-28T07:52:06.887Z,2019-06-28T07:51:51.846Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-78-TZ,2019-06-28T07:51:51.999Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25943147,2018-01-01,2018-12-31,ID_14,,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2NlLzhiL2FiLzg3ZWYtNDRlOS1iZTJkLTQxNDBmMGFiZmMyMg.pdf,http://regnskaber.virk.dk/74134952/ZG9rdW1lbnRsYWdlcjovLzAzL2JjL2FlLzI5L2FmLzYxN2ItNGM1ZC1iNTJmLTc2ZWUwNjA4NTY4Mw.xml,true,"2730, Herlev",LyskÃ¦r 3 C,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-06-27,2019-06-27,2001-03-02,2019-06-27,25943147.0,25074823.0,"Today, Management has considered and adopted the Annual Report of Asterion Denmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Alexander Fitz,Asterion Denmark A/S,Azets Insight A/S,BrÃ¸ndby,2017-01-01,2017-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"BrÃ¸ndby, 153",2018-12-31,2018-01-01,false,Ingen bistand,urn:ofk:oid:27625411,indberetninger-20180424,2.5117056,25943147.0,AWudEbdiIXJRhhXBLg8g,2019-06-28T07:52:06.887Z,2019-06-28T07:51:51.846Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BR-78-TZ,2019-06-28T07:51:51.999Z,-517019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
