entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradeReceivables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
36442018,2015-06-01,2016-05-31,c3,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZkLzhkL2IyLzJkNjctNGIyMy05NTJlLTIxOWEzMDNiZDQ4Yg.xhtml,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzBmL2E0L2MwL2YzZmUtNGM0NC04MjdlLWQzZGZlY2ZmMzhlZQ.pdf,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzUxLzEyLzgzLzYzNGYtNGVlNy05YzM4LTg5N2YzOTE2ZDI0Mg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Horsens,8700.0,"3, 1 th",Borgergade,7500 Holstebro,Brotorvet 6,Til den daglige ledelse i Spring Estate Portkild ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-10-31,2017-10-31,registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitutter i alt tkr. 18.239, er der givet pant i grunde og bygninger, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r tkr. 25.500.</p>",0.0,7911004.0,240109.0,36442018.0,mne357,1019836211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,Morten AskÃ¦r,Morten AskÃ¦r,SPRING ESTATE PORTKILD ApS,Revisionsfirmaet Iversen & Hald,185455.0,5052.0,Horsens,2015-06-01,2016-05-31,6221424.0,7970710.0,240109.0,2017-05-31,2016-06-01,false,false,2017-10-31,Holstebro,1749286.0,51888948.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24645724,indberetninger-20180424,2.59278,36442018.0,,2018-03-27T14:44:26.033Z,2017-10-31T11:04:42.332Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BC-98-WP,2017-10-31T11:04:42.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36442018,2015-06-01,2016-05-31,c5,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZkLzhkL2IyLzJkNjctNGIyMy05NTJlLTIxOWEzMDNiZDQ4Yg.xhtml,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzBmL2E0L2MwL2YzZmUtNGM0NC04MjdlLWQzZGZlY2ZmMzhlZQ.pdf,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzUxLzEyLzgzLzYzNGYtNGVlNy05YzM4LTg5N2YzOTE2ZDI0Mg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Horsens,8700.0,"3, 1 th",Borgergade,7500 Holstebro,Brotorvet 6,Til den daglige ledelse i Spring Estate Portkild ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-10-31,2017-10-31,registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitutter i alt tkr. 18.239, er der givet pant i grunde og bygninger, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r tkr. 25.500.</p>",,,,36442018.0,mne357,1019836211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,Morten AskÃ¦r,Morten AskÃ¦r,SPRING ESTATE PORTKILD ApS,Revisionsfirmaet Iversen & Hald,,,Horsens,2015-06-01,2016-05-31,0.0,,,2017-05-31,2016-06-01,false,false,2017-10-31,Holstebro,,51888948.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24645724,indberetninger-20180424,2.59278,36442018.0,,2018-03-27T14:44:26.033Z,2017-10-31T11:04:42.332Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BC-98-WP,2017-10-31T11:04:42.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36442018,2015-06-01,2016-05-31,c7,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZkLzhkL2IyLzJkNjctNGIyMy05NTJlLTIxOWEzMDNiZDQ4Yg.xhtml,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzBmL2E0L2MwL2YzZmUtNGM0NC04MjdlLWQzZGZlY2ZmMzhlZQ.pdf,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzUxLzEyLzgzLzYzNGYtNGVlNy05YzM4LTg5N2YzOTE2ZDI0Mg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Horsens,8700.0,"3, 1 th",Borgergade,7500 Holstebro,Brotorvet 6,Til den daglige ledelse i Spring Estate Portkild ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-10-31,2017-10-31,registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitutter i alt tkr. 18.239, er der givet pant i grunde og bygninger, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r tkr. 25.500.</p>",,,,36442018.0,mne357,1019836211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,Morten AskÃ¦r,Morten AskÃ¦r,SPRING ESTATE PORTKILD ApS,Revisionsfirmaet Iversen & Hald,,,Horsens,2015-06-01,2016-05-31,6221424.0,,,2017-05-31,2016-06-01,false,false,2017-10-31,Holstebro,,51888948.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24645724,indberetninger-20180424,2.59278,36442018.0,,2018-03-27T14:44:26.033Z,2017-10-31T11:04:42.332Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BC-98-WP,2017-10-31T11:04:42.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36442018,2016-05-31,2016-05-31,c9,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZkLzhkL2IyLzJkNjctNGIyMy05NTJlLTIxOWEzMDNiZDQ4Yg.xhtml,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzBmL2E0L2MwL2YzZmUtNGM0NC04MjdlLWQzZGZlY2ZmMzhlZQ.pdf,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzUxLzEyLzgzLzYzNGYtNGVlNy05YzM4LTg5N2YzOTE2ZDI0Mg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Horsens,8700.0,"3, 1 th",Borgergade,7500 Holstebro,Brotorvet 6,Til den daglige ledelse i Spring Estate Portkild ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-10-31,2017-10-31,registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitutter i alt tkr. 18.239, er der givet pant i grunde og bygninger, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r tkr. 25.500.</p>",,,,36442018.0,mne357,1019836211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,Morten AskÃ¦r,Morten AskÃ¦r,SPRING ESTATE PORTKILD ApS,Revisionsfirmaet Iversen & Hald,,,Horsens,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,2017-10-31,Holstebro,,51888948.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24645724,indberetninger-20180424,2.59278,36442018.0,,2018-03-27T14:44:26.033Z,2017-10-31T11:04:42.332Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BC-98-WP,2017-10-31T11:04:42.502Z,26940978.0,603608.0,50000.0,3940978.0,6298358.0,23000000.0,26940978.0,18708842.0,18236225.0,18236225.0,23000000.0,338022.0,18820.0,23000000.0,0.0,1933778.0,1933778.0,6248358.0,472617.0,134595.0,0.0,3337370.0,3226229.0,92321.0,0.0,,,
36442018,2016-06-01,2016-06-01,c10,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZkLzhkL2IyLzJkNjctNGIyMy05NTJlLTIxOWEzMDNiZDQ4Yg.xhtml,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzBmL2E0L2MwL2YzZmUtNGM0NC04MjdlLWQzZGZlY2ZmMzhlZQ.pdf,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzUxLzEyLzgzLzYzNGYtNGVlNy05YzM4LTg5N2YzOTE2ZDI0Mg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Horsens,8700.0,"3, 1 th",Borgergade,7500 Holstebro,Brotorvet 6,Til den daglige ledelse i Spring Estate Portkild ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-10-31,2017-10-31,registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitutter i alt tkr. 18.239, er der givet pant i grunde og bygninger, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r tkr. 25.500.</p>",,,,36442018.0,mne357,1019836211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,Morten AskÃ¦r,Morten AskÃ¦r,SPRING ESTATE PORTKILD ApS,Revisionsfirmaet Iversen & Hald,,,Horsens,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,2017-10-31,Holstebro,,51888948.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24645724,indberetninger-20180424,2.59278,36442018.0,,2018-03-27T14:44:26.033Z,2017-10-31T11:04:42.332Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BC-98-WP,2017-10-31T11:04:42.502Z,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,
36442018,2016-06-01,2016-06-01,c11,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZkLzhkL2IyLzJkNjctNGIyMy05NTJlLTIxOWEzMDNiZDQ4Yg.xhtml,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzBmL2E0L2MwL2YzZmUtNGM0NC04MjdlLWQzZGZlY2ZmMzhlZQ.pdf,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzUxLzEyLzgzLzYzNGYtNGVlNy05YzM4LTg5N2YzOTE2ZDI0Mg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Horsens,8700.0,"3, 1 th",Borgergade,7500 Holstebro,Brotorvet 6,Til den daglige ledelse i Spring Estate Portkild ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-10-31,2017-10-31,registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitutter i alt tkr. 18.239, er der givet pant i grunde og bygninger, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r tkr. 25.500.</p>",,,,36442018.0,mne357,1019836211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,Morten AskÃ¦r,Morten AskÃ¦r,SPRING ESTATE PORTKILD ApS,Revisionsfirmaet Iversen & Hald,,,Horsens,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,2017-10-31,Holstebro,,51888948.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24645724,indberetninger-20180424,2.59278,36442018.0,,2018-03-27T14:44:26.033Z,2017-10-31T11:04:42.332Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BC-98-WP,2017-10-31T11:04:42.502Z,,,,,6248358.0,,,,,,,,,,,,,,,,,,,,,,,
36442018,2016-06-01,2016-06-01,c12,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZkLzhkL2IyLzJkNjctNGIyMy05NTJlLTIxOWEzMDNiZDQ4Yg.xhtml,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzBmL2E0L2MwL2YzZmUtNGM0NC04MjdlLWQzZGZlY2ZmMzhlZQ.pdf,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzUxLzEyLzgzLzYzNGYtNGVlNy05YzM4LTg5N2YzOTE2ZDI0Mg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Horsens,8700.0,"3, 1 th",Borgergade,7500 Holstebro,Brotorvet 6,Til den daglige ledelse i Spring Estate Portkild ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-10-31,2017-10-31,registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitutter i alt tkr. 18.239, er der givet pant i grunde og bygninger, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r tkr. 25.500.</p>",,,,36442018.0,mne357,1019836211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,Morten AskÃ¦r,Morten AskÃ¦r,SPRING ESTATE PORTKILD ApS,Revisionsfirmaet Iversen & Hald,,,Horsens,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,2017-10-31,Holstebro,,51888948.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24645724,indberetninger-20180424,2.59278,36442018.0,,2018-03-27T14:44:26.033Z,2017-10-31T11:04:42.332Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BC-98-WP,2017-10-31T11:04:42.502Z,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
36442018,2016-06-01,2016-06-01,c13,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZkLzhkL2IyLzJkNjctNGIyMy05NTJlLTIxOWEzMDNiZDQ4Yg.xhtml,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzBmL2E0L2MwL2YzZmUtNGM0NC04MjdlLWQzZGZlY2ZmMzhlZQ.pdf,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzUxLzEyLzgzLzYzNGYtNGVlNy05YzM4LTg5N2YzOTE2ZDI0Mg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Horsens,8700.0,"3, 1 th",Borgergade,7500 Holstebro,Brotorvet 6,Til den daglige ledelse i Spring Estate Portkild ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-10-31,2017-10-31,registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitutter i alt tkr. 18.239, er der givet pant i grunde og bygninger, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r tkr. 25.500.</p>",,,,36442018.0,mne357,1019836211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,Morten AskÃ¦r,Morten AskÃ¦r,SPRING ESTATE PORTKILD ApS,Revisionsfirmaet Iversen & Hald,,,Horsens,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,2017-10-31,Holstebro,,51888948.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24645724,indberetninger-20180424,2.59278,36442018.0,,2018-03-27T14:44:26.033Z,2017-10-31T11:04:42.332Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BC-98-WP,2017-10-31T11:04:42.502Z,,,,,6298358.0,,,,,,,,,,,,,,,,,,,,,,,
36442018,2016-06-01,2017-05-31,c0,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZkLzhkL2IyLzJkNjctNGIyMy05NTJlLTIxOWEzMDNiZDQ4Yg.xhtml,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzBmL2E0L2MwL2YzZmUtNGM0NC04MjdlLWQzZGZlY2ZmMzhlZQ.pdf,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzUxLzEyLzgzLzYzNGYtNGVlNy05YzM4LTg5N2YzOTE2ZDI0Mg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Horsens,8700.0,"3, 1 th",Borgergade,7500 Holstebro,Brotorvet 6,Til den daglige ledelse i Spring Estate Portkild ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-10-31,2017-10-31,registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitutter i alt tkr. 18.239, er der givet pant i grunde og bygninger, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r tkr. 25.500.</p>",178201.0,722092.0,916522.0,36442018.0,mne357,1019836211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,Morten AskÃ¦r,Morten AskÃ¦r,SPRING ESTATE PORTKILD ApS,Revisionsfirmaet Iversen & Hald,228654.0,49790.0,Horsens,2015-06-01,2016-05-31,999211.0,1281549.0,738321.0,2017-05-31,2016-06-01,false,false,2017-10-31,Holstebro,282338.0,51888948.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24645724,indberetninger-20180424,2.59278,36442018.0,,2018-03-27T14:44:26.033Z,2017-10-31T11:04:42.332Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BC-98-WP,2017-10-31T11:04:42.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,
36442018,2016-06-01,2017-05-31,c1,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzJiLzZkLzhkL2IyLzJkNjctNGIyMy05NTJlLTIxOWEzMDNiZDQ4Yg.xhtml,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzBmL2E0L2MwL2YzZmUtNGM0NC04MjdlLWQzZGZlY2ZmMzhlZQ.pdf,http://regnskaber.virk.dk/81024463/ZG9rdW1lbnRsYWdlcjovLzAzLzFhLzUxLzEyLzgzLzYzNGYtNGVlNy05YzM4LTg5N2YzOTE2ZDI0Mg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Horsens,8700.0,"3, 1 th",Borgergade,7500 Holstebro,Brotorvet 6,Til den daglige ledelse i Spring Estate Portkild ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-10-31,2017-10-31,registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitutter i alt tkr. 18.239, er der givet pant i grunde og bygninger, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r tkr. 25.500.</p>",,,,36442018.0,mne357,1019836211.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,Morten AskÃ¦r,Morten AskÃ¦r,SPRING ESTATE PORTKILD ApS,Revisionsfirmaet Iversen & Hald,,,Horsens,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,2017-10-31,Holstebro,,51888948.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24645724,indberetninger-20180424,2.59278,36442018.0,,2018-03-27T14:44:26.033Z,2017-10-31T11:04:42.332Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BC-98-WP,2017-10-31T11:04:42.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,,36115432.0,Revisionsfirmaet Iversen & Hald
