entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossRelatedToInvestments,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AmortisationOfIntangibleAssets,AverageNumberOfEmployees,CurrentTaxExpense,DebtReliefOrSimilarFinanceIncome,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,EmployeeBenefitsExpense,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherAdjustmentsOfFinanceIncome,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,NominalValueOfIssuedShares,AcquiredIntangibleAssets,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,RetainedEarnings,SharePremium,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedRevaluationsOfInvestments,InvestmentsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCashAndCashEquivalents,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfIncomeAndExpensesFromInvestmentsInGroupEnterprisesAndAssociates,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfTaxExpenses,DescriptionOfQualificationsOfAuditedFinancialStatements,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,DisclosureOfAnyUncertaintyConnectedWithRecognitionOrMeasurement,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfDeferredTaxAssetsAndLiabilities,HomepageOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,SignatureOfAuditorsPlace,StatementOfChangesInEquity,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,DescriptionOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,IncreaseDecreaseOfRevaluationsAndDevaluationsOfInvestmentsThroughNetExchangeDifferences,TransferRevaluationOfInvestments,AdditionsToPropertyPlantAndEquipment,IncreaseDecreaseOfInvestmentsThroughNetExchangeDifferencesEquity,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,IncreaseOfCapital,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,NameAndSurnameOfMemberOfExecutiveBoard,DescriptionOfClassOfIssuedShares,NumberOfIssuedShares
25876121,2015-01-01,2015-12-31,c195,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2E3L2I5L2MzLzUzYjEtNGY4Ny1iZWYzLWVlMDliMTdkZGNkNQ.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2FmL2FhLzk4L2YxLzEwOTAtNGJlYS1iOGRjLTBkM2Y2MTk1YzUzMA.xml,2000.0,4.0,2500.0,"4, 3.",2017-05-02,2017-05-02,2001-01-31,2017-05-02,30700228.0,25876121.0,30700228.0,2015-01-01,2015-12-31,3887000.0,-579000.0,2016-12-31,2016-01-01,true,100.0,2017-05-02,ceo,Revisionsp̴tegning,urn:ofk:oid:23819656,indberetninger-20180424,2.5118406,25876121.0,,2018-03-27T20:50:18.622Z,2017-05-05T16:12:56.170Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-62-CR,2017-05-05T16:12:56.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2015-01-01,2015-12-31,c4,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2E3L2I5L2MzLzUzYjEtNGY4Ny1iZWYzLWVlMDliMTdkZGNkNQ.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2FmL2FhLzk4L2YxLzEwOTAtNGJlYS1iOGRjLTBkM2Y2MTk1YzUzMA.xml,2000.0,4.0,2500.0,"4, 3.",2017-05-02,2017-05-02,2001-01-31,2017-05-02,30700228.0,25876121.0,30700228.0,2015-01-01,2015-12-31,3887000.0,-579000.0,2016-12-31,2016-01-01,true,100.0,2017-05-02,ceo,Revisionsp̴tegning,urn:ofk:oid:23819656,indberetninger-20180424,2.5118406,25876121.0,,2018-03-27T20:50:18.622Z,2017-05-05T16:12:56.170Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-62-CR,2017-05-05T16:12:56.422Z,-179000.0,1600000.0,69000.0,18000.0,-79000.0,3319000.0,148000.0,79000.0,14009000.0,13938000.0,1296000.0,241000.0,946000.0,130000.0,258000.0,98000.0,371000.0,4523000.0,991000.0,5229000.0,-219000.0,-3006000.0,113000.0,1342000.0,1342000.0,12807000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2015-12-31,2015-12-31,c1294,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2E3L2I5L2MzLzUzYjEtNGY4Ny1iZWYzLWVlMDliMTdkZGNkNQ.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2FmL2FhLzk4L2YxLzEwOTAtNGJlYS1iOGRjLTBkM2Y2MTk1YzUzMA.xml,2000.0,4.0,2500.0,"4, 3.",2017-05-02,2017-05-02,2001-01-31,2017-05-02,30700228.0,25876121.0,30700228.0,2015-01-01,2015-12-31,,-579000.0,2016-12-31,2016-01-01,true,100.0,2017-05-02,ceo,Revisionsp̴tegning,urn:ofk:oid:23819656,indberetninger-20180424,2.5118406,25876121.0,,2018-03-27T20:50:18.622Z,2017-05-05T16:12:56.170Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-62-CR,2017-05-05T16:12:56.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,3772000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2015-12-31,2015-12-31,c5,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2E3L2I5L2MzLzUzYjEtNGY4Ny1iZWYzLWVlMDliMTdkZGNkNQ.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2FmL2FhLzk4L2YxLzEwOTAtNGJlYS1iOGRjLTBkM2Y2MTk1YzUzMA.xml,2000.0,4.0,2500.0,"4, 3.",2017-05-02,2017-05-02,2001-01-31,2017-05-02,30700228.0,25876121.0,30700228.0,2015-01-01,2015-12-31,,-579000.0,2016-12-31,2016-01-01,true,100.0,2017-05-02,ceo,Revisionsp̴tegning,urn:ofk:oid:23819656,indberetninger-20180424,2.5118406,25876121.0,,2018-03-27T20:50:18.622Z,2017-05-05T16:12:56.170Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-62-CR,2017-05-05T16:12:56.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,132000.0,11579000.0,346000.0,12906000.0,10973000.0,2800000.0,109000.0,312000.0,-1068000.0,113000.0,132000.0,0.0,11579000.0,12647000.0,312000.0,0.0,606000.0,3450000.0,0.0,49000.0,162000.0,-88801000.0,74827000.0,6283000.0,12647000.0,2478000.0,10627000.0,1499000.0,436000.0,6219000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2016-01-01,2016-01-01,c136,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2E3L2I5L2MzLzUzYjEtNGY4Ny1iZWYzLWVlMDliMTdkZGNkNQ.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2FmL2FhLzk4L2YxLzEwOTAtNGJlYS1iOGRjLTBkM2Y2MTk1YzUzMA.xml,2000.0,4.0,2500.0,"4, 3.",2017-05-02,2017-05-02,2001-01-31,2017-05-02,30700228.0,25876121.0,30700228.0,2015-01-01,2015-12-31,,-579000.0,2016-12-31,2016-01-01,true,100.0,2017-05-02,ceo,Revisionsp̴tegning,urn:ofk:oid:23819656,indberetninger-20180424,2.5118406,25876121.0,,2018-03-27T20:50:18.622Z,2017-05-05T16:12:56.170Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-62-CR,2017-05-05T16:12:56.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213000.0,345000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2016-01-01,2016-01-01,c1991,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2E3L2I5L2MzLzUzYjEtNGY4Ny1iZWYzLWVlMDliMTdkZGNkNQ.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2FmL2FhLzk4L2YxLzEwOTAtNGJlYS1iOGRjLTBkM2Y2MTk1YzUzMA.xml,2000.0,4.0,2500.0,"4, 3.",2017-05-02,2017-05-02,2001-01-31,2017-05-02,30700228.0,25876121.0,30700228.0,2015-01-01,2015-12-31,,-579000.0,2016-12-31,2016-01-01,true,100.0,2017-05-02,ceo,Revisionsp̴tegning,urn:ofk:oid:23819656,indberetninger-20180424,2.5118406,25876121.0,,2018-03-27T20:50:18.622Z,2017-05-05T16:12:56.170Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-62-CR,2017-05-05T16:12:56.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,312000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2016-01-01,2016-01-01,c231,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2E3L2I5L2MzLzUzYjEtNGY4Ny1iZWYzLWVlMDliMTdkZGNkNQ.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2FmL2FhLzk4L2YxLzEwOTAtNGJlYS1iOGRjLTBkM2Y2MTk1YzUzMA.xml,2000.0,4.0,2500.0,"4, 3.",2017-05-02,2017-05-02,2001-01-31,2017-05-02,30700228.0,25876121.0,30700228.0,2015-01-01,2015-12-31,,-579000.0,2016-12-31,2016-01-01,true,100.0,2017-05-02,ceo,Revisionsp̴tegning,urn:ofk:oid:23819656,indberetninger-20180424,2.5118406,25876121.0,,2018-03-27T20:50:18.622Z,2017-05-05T16:12:56.170Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-62-CR,2017-05-05T16:12:56.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989000.0,1038000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2016-01-01,2016-01-01,c235,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2E3L2I5L2MzLzUzYjEtNGY4Ny1iZWYzLWVlMDliMTdkZGNkNQ.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2FmL2FhLzk4L2YxLzEwOTAtNGJlYS1iOGRjLTBkM2Y2MTk1YzUzMA.xml,2000.0,4.0,2500.0,"4, 3.",2017-05-02,2017-05-02,2001-01-31,2017-05-02,30700228.0,25876121.0,30700228.0,2015-01-01,2015-12-31,,-579000.0,2016-12-31,2016-01-01,true,100.0,2017-05-02,ceo,Revisionsp̴tegning,urn:ofk:oid:23819656,indberetninger-20180424,2.5118406,25876121.0,,2018-03-27T20:50:18.622Z,2017-05-05T16:12:56.170Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-62-CR,2017-05-05T16:12:56.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329000.0,442000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2016-01-01,2016-01-01,c242,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2E3L2I5L2MzLzUzYjEtNGY4Ny1iZWYzLWVlMDliMTdkZGNkNQ.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2FmL2FhLzk4L2YxLzEwOTAtNGJlYS1iOGRjLTBkM2Y2MTk1YzUzMA.xml,2000.0,4.0,2500.0,"4, 3.",2017-05-02,2017-05-02,2001-01-31,2017-05-02,30700228.0,25876121.0,30700228.0,2015-01-01,2015-12-31,,-579000.0,2016-12-31,2016-01-01,true,100.0,2017-05-02,ceo,Revisionsp̴tegning,urn:ofk:oid:23819656,indberetninger-20180424,2.5118406,25876121.0,,2018-03-27T20:50:18.622Z,2017-05-05T16:12:56.170Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-62-CR,2017-05-05T16:12:56.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209000.0,209000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2016-01-01,2016-01-01,c261,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2E3L2I5L2MzLzUzYjEtNGY4Ny1iZWYzLWVlMDliMTdkZGNkNQ.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2FmL2FhLzk4L2YxLzEwOTAtNGJlYS1iOGRjLTBkM2Y2MTk1YzUzMA.xml,2000.0,4.0,2500.0,"4, 3.",2017-05-02,2017-05-02,2001-01-31,2017-05-02,30700228.0,25876121.0,30700228.0,2015-01-01,2015-12-31,,-579000.0,2016-12-31,2016-01-01,true,100.0,2017-05-02,ceo,Revisionsp̴tegning,urn:ofk:oid:23819656,indberetninger-20180424,2.5118406,25876121.0,,2018-03-27T20:50:18.622Z,2017-05-05T16:12:56.170Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AH-62-CR,2017-05-05T16:12:56.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6000.0,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
