entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,CashAndCashEquivalentsConcerningCashflowStatement,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCostOfSales,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfOtherOperatingIncomeAndExpenses,ExtraordinaryDividendPaid,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OpinionOnAuditedFinancialStatements,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,Dividend,Adjustments,AdjustmentsForDecreaseIncreaseInWorkingCapital,AdjustmentsOfDividendsFromGroupEnterprises,AdjustmentsOfInterestAndSimilarIncomes,AdjustmentsOfTaxExpense,AdjustmentsfInterestAndSimilarExpenses,AverageNumberOfEmployees,CashFlowFromOperatingActivitiesBeforeFinancialItems,CashFlowFromOrdinaryOperatingActivities,CashFlowsFromUsedInFinancingActivities,CashFlowsFromUsedInInvestingActivities,CashFlowsFromUsedInOperatingActivities,DecreaseIncreaseInInventories,DecreaseIncreaseInReceivables,DecreaseIncreaseInTradePayables,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssets,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DividendPaidCashFlow,EmployeeBenefitsExpense,EquityRatio,GrossProfitLoss,IncomeTaxesPaidRefundClassifiedAsOperatingActivities,InterestExpenseAssignedToGroupEnterprises,InterestPaidClassifiedAsOperatingActivities,InterestReceivedClassifiedAsOperatingActivities,NetIncreaseDecreaseInCashAndCashEquivalents,OtherAdjustmentsForDecreaseIncreaseInWorkingCapital,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,OtherInterestExpenses,ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ProfitOnRealisationsOfFixedAssets,PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,RemunerationOfManagementCategories,RepaymentsOfLongtermLiabilitiesClassifiedAsFinancingActivities,ResultsFromNetFinancials,ReturnOnEquity,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,ValueAdjustmentsOfEquity,DividendPaid,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLeaseCommitments,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermDebtToBanksCashFlowsStatement,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,WorkInProgress,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AdditionsToPropertyPlantAndEquipment,DepreciationOfPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,ReversalsOfImpairmentLossesAndDepreciationOfDisposedPropertyPlantAndEquipment,GrossResult,NameAndSurnameOfMemberOfSupervisoryBoard
14310940,2016-01-01,2016-01-01,c421,,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzVhL2Q2LzUxLzFhL2U0MjEtNDNjYi1hMWY3LWRlM2RkMWYwMDZkYw.pdf,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2MyL2RlLzViLzUwNjQtNDY5Yi05ZDAwLWYyOTRhNmIxMzY4ZQ.xml,Danmark,Herning,7400.0,15.0,Industrivej Nord,Vildbjerg,7480.0,2-4,Sverigesvej,"7400, Herning","Industrivej Nord, 15",kapitalejeren,1413562.0,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities and cash flows in the financial year 1 January to 31 December 2017.",2018-02-22,2018-02-22,2018-02-22,statsautoriseret revisor,Costs of sales includes costs for the purchase of raw materials and consumables less discounts and changes in inventories.,"Other external costs comprise costs for distribution, sales, advertisement, administration, premises, loss on debtors, and operational leasing costs.","Other operating income comprise accounting items of secondary nature in proportion to the principal activities of the enterprise, including gains on disposal of intangible and tangible fixed assets.",25000000.0,15807776.0,14310940.0,15807776.0,mne32848,The board of directors and the managing director have today presented the annual report of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet, statement of changes in equity, cash flow statement and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,8469166.0,2990716.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Peter Vinderslev,Hans Lohmann,John Nielsen,"Partner Revision, statsautoriseret revisionsaktieselskab",A/S Maskinfabrikken PCP,"Partner Revision, statsautoriseret revisionsaktieselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations and cash flows for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",Vildbjerg,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,2017-12-31,2017-01-01,2018-02-22,Herning,97 12 50 22,97-131200,RevisionspÃ¥tegning,urn:ofk:oid:25121188,indberetninger-20180424,2.5122833,14310940.0,,2018-04-04T02:15:13.915Z,2018-03-02T09:28:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-75-TB,2018-03-02T09:28:50.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14310940,2016-01-01,2016-01-01,c720,,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzVhL2Q2LzUxLzFhL2U0MjEtNDNjYi1hMWY3LWRlM2RkMWYwMDZkYw.pdf,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2MyL2RlLzViLzUwNjQtNDY5Yi05ZDAwLWYyOTRhNmIxMzY4ZQ.xml,Danmark,Herning,7400.0,15.0,Industrivej Nord,Vildbjerg,7480.0,2-4,Sverigesvej,"7400, Herning","Industrivej Nord, 15",kapitalejeren,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities and cash flows in the financial year 1 January to 31 December 2017.",2018-02-22,2018-02-22,2018-02-22,statsautoriseret revisor,Costs of sales includes costs for the purchase of raw materials and consumables less discounts and changes in inventories.,"Other external costs comprise costs for distribution, sales, advertisement, administration, premises, loss on debtors, and operational leasing costs.","Other operating income comprise accounting items of secondary nature in proportion to the principal activities of the enterprise, including gains on disposal of intangible and tangible fixed assets.",25000000.0,15807776.0,14310940.0,15807776.0,mne32848,The board of directors and the managing director have today presented the annual report of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet, statement of changes in equity, cash flow statement and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,8469166.0,2990716.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Peter Vinderslev,Hans Lohmann,John Nielsen,"Partner Revision, statsautoriseret revisionsaktieselskab",A/S Maskinfabrikken PCP,"Partner Revision, statsautoriseret revisionsaktieselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations and cash flows for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",Vildbjerg,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,2017-12-31,2017-01-01,2018-02-22,Herning,97 12 50 22,97-131200,RevisionspÃ¥tegning,urn:ofk:oid:25121188,indberetninger-20180424,2.5122833,14310940.0,,2018-04-04T02:15:13.915Z,2018-03-02T09:28:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-75-TB,2018-03-02T09:28:50.475Z,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14310940,2016-01-01,2016-01-01,c741,,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzVhL2Q2LzUxLzFhL2U0MjEtNDNjYi1hMWY3LWRlM2RkMWYwMDZkYw.pdf,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2MyL2RlLzViLzUwNjQtNDY5Yi05ZDAwLWYyOTRhNmIxMzY4ZQ.xml,Danmark,Herning,7400.0,15.0,Industrivej Nord,Vildbjerg,7480.0,2-4,Sverigesvej,"7400, Herning","Industrivej Nord, 15",kapitalejeren,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities and cash flows in the financial year 1 January to 31 December 2017.",2018-02-22,2018-02-22,2018-02-22,statsautoriseret revisor,Costs of sales includes costs for the purchase of raw materials and consumables less discounts and changes in inventories.,"Other external costs comprise costs for distribution, sales, advertisement, administration, premises, loss on debtors, and operational leasing costs.","Other operating income comprise accounting items of secondary nature in proportion to the principal activities of the enterprise, including gains on disposal of intangible and tangible fixed assets.",25000000.0,15807776.0,14310940.0,15807776.0,mne32848,The board of directors and the managing director have today presented the annual report of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet, statement of changes in equity, cash flow statement and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,8469166.0,2990716.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Peter Vinderslev,Hans Lohmann,John Nielsen,"Partner Revision, statsautoriseret revisionsaktieselskab",A/S Maskinfabrikken PCP,"Partner Revision, statsautoriseret revisionsaktieselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations and cash flows for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",Vildbjerg,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,2017-12-31,2017-01-01,2018-02-22,Herning,97 12 50 22,97-131200,RevisionspÃ¥tegning,urn:ofk:oid:25121188,indberetninger-20180424,2.5122833,14310940.0,,2018-04-04T02:15:13.915Z,2018-03-02T09:28:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-75-TB,2018-03-02T09:28:50.475Z,65609589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14310940,2016-01-01,2016-01-01,c744,,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzVhL2Q2LzUxLzFhL2U0MjEtNDNjYi1hMWY3LWRlM2RkMWYwMDZkYw.pdf,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2MyL2RlLzViLzUwNjQtNDY5Yi05ZDAwLWYyOTRhNmIxMzY4ZQ.xml,Danmark,Herning,7400.0,15.0,Industrivej Nord,Vildbjerg,7480.0,2-4,Sverigesvej,"7400, Herning","Industrivej Nord, 15",kapitalejeren,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities and cash flows in the financial year 1 January to 31 December 2017.",2018-02-22,2018-02-22,2018-02-22,statsautoriseret revisor,Costs of sales includes costs for the purchase of raw materials and consumables less discounts and changes in inventories.,"Other external costs comprise costs for distribution, sales, advertisement, administration, premises, loss on debtors, and operational leasing costs.","Other operating income comprise accounting items of secondary nature in proportion to the principal activities of the enterprise, including gains on disposal of intangible and tangible fixed assets.",25000000.0,15807776.0,14310940.0,15807776.0,mne32848,The board of directors and the managing director have today presented the annual report of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet, statement of changes in equity, cash flow statement and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,8469166.0,2990716.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Peter Vinderslev,Hans Lohmann,John Nielsen,"Partner Revision, statsautoriseret revisionsaktieselskab",A/S Maskinfabrikken PCP,"Partner Revision, statsautoriseret revisionsaktieselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations and cash flows for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",Vildbjerg,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,2017-12-31,2017-01-01,2018-02-22,Herning,97 12 50 22,97-131200,RevisionspÃ¥tegning,urn:ofk:oid:25121188,indberetninger-20180424,2.5122833,14310940.0,,2018-04-04T02:15:13.915Z,2018-03-02T09:28:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-75-TB,2018-03-02T09:28:50.475Z,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14310940,2016-01-01,2016-12-31,c109,,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzVhL2Q2LzUxLzFhL2U0MjEtNDNjYi1hMWY3LWRlM2RkMWYwMDZkYw.pdf,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2MyL2RlLzViLzUwNjQtNDY5Yi05ZDAwLWYyOTRhNmIxMzY4ZQ.xml,Danmark,Herning,7400.0,15.0,Industrivej Nord,Vildbjerg,7480.0,2-4,Sverigesvej,"7400, Herning","Industrivej Nord, 15",kapitalejeren,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities and cash flows in the financial year 1 January to 31 December 2017.",2018-02-22,2018-02-22,2018-02-22,statsautoriseret revisor,Costs of sales includes costs for the purchase of raw materials and consumables less discounts and changes in inventories.,"Other external costs comprise costs for distribution, sales, advertisement, administration, premises, loss on debtors, and operational leasing costs.","Other operating income comprise accounting items of secondary nature in proportion to the principal activities of the enterprise, including gains on disposal of intangible and tangible fixed assets.",25000000.0,15807776.0,14310940.0,15807776.0,mne32848,The board of directors and the managing director have today presented the annual report of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet, statement of changes in equity, cash flow statement and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,8469166.0,2990716.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Peter Vinderslev,Hans Lohmann,John Nielsen,"Partner Revision, statsautoriseret revisionsaktieselskab",A/S Maskinfabrikken PCP,"Partner Revision, statsautoriseret revisionsaktieselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations and cash flows for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",Vildbjerg,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,2017-12-31,2017-01-01,2018-02-22,Herning,97 12 50 22,97-131200,RevisionspÃ¥tegning,urn:ofk:oid:25121188,indberetninger-20180424,2.5122833,14310940.0,,2018-04-04T02:15:13.915Z,2018-03-02T09:28:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-75-TB,2018-03-02T09:28:50.475Z,,15000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14310940,2016-01-01,2016-12-31,c123,,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzVhL2Q2LzUxLzFhL2U0MjEtNDNjYi1hMWY3LWRlM2RkMWYwMDZkYw.pdf,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2MyL2RlLzViLzUwNjQtNDY5Yi05ZDAwLWYyOTRhNmIxMzY4ZQ.xml,Danmark,Herning,7400.0,15.0,Industrivej Nord,Vildbjerg,7480.0,2-4,Sverigesvej,"7400, Herning","Industrivej Nord, 15",kapitalejeren,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities and cash flows in the financial year 1 January to 31 December 2017.",2018-02-22,2018-02-22,2018-02-22,statsautoriseret revisor,Costs of sales includes costs for the purchase of raw materials and consumables less discounts and changes in inventories.,"Other external costs comprise costs for distribution, sales, advertisement, administration, premises, loss on debtors, and operational leasing costs.","Other operating income comprise accounting items of secondary nature in proportion to the principal activities of the enterprise, including gains on disposal of intangible and tangible fixed assets.",25000000.0,15807776.0,14310940.0,15807776.0,mne32848,The board of directors and the managing director have today presented the annual report of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet, statement of changes in equity, cash flow statement and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,8469166.0,2990716.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Peter Vinderslev,Hans Lohmann,John Nielsen,"Partner Revision, statsautoriseret revisionsaktieselskab",A/S Maskinfabrikken PCP,"Partner Revision, statsautoriseret revisionsaktieselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations and cash flows for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",Vildbjerg,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,2017-12-31,2017-01-01,2018-02-22,Herning,97 12 50 22,97-131200,RevisionspÃ¥tegning,urn:ofk:oid:25121188,indberetninger-20180424,2.5122833,14310940.0,,2018-04-04T02:15:13.915Z,2018-03-02T09:28:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-75-TB,2018-03-02T09:28:50.475Z,,-6381067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14310940,2016-01-01,2016-12-31,c2019,,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzVhL2Q2LzUxLzFhL2U0MjEtNDNjYi1hMWY3LWRlM2RkMWYwMDZkYw.pdf,http://regnskaber.virk.dk/04901341/ZG9rdW1lbnRsYWdlcjovLzAzLzViL2MyL2RlLzViLzUwNjQtNDY5Yi05ZDAwLWYyOTRhNmIxMzY4ZQ.xml,Danmark,Herning,7400.0,15.0,Industrivej Nord,Vildbjerg,7480.0,2-4,Sverigesvej,"7400, Herning","Industrivej Nord, 15",kapitalejeren,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 31 December 2017 and of the company's results of its activities and cash flows in the financial year 1 January to 31 December 2017.",2018-02-22,2018-02-22,2018-02-22,statsautoriseret revisor,Costs of sales includes costs for the purchase of raw materials and consumables less discounts and changes in inventories.,"Other external costs comprise costs for distribution, sales, advertisement, administration, premises, loss on debtors, and operational leasing costs.","Other operating income comprise accounting items of secondary nature in proportion to the principal activities of the enterprise, including gains on disposal of intangible and tangible fixed assets.",25000000.0,15807776.0,14310940.0,15807776.0,mne32848,The board of directors and the managing director have today presented the annual report of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017.,"We have audited the annual accounts of A/S Maskinfabrikken PCP for the financial year 1 January to 31 December 2017, which comprise accounting policies used, profit and loss account, balance sheet, statement of changes in equity, cash flow statement and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,8469166.0,2990716.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Peter Vinderslev,Hans Lohmann,John Nielsen,"Partner Revision, statsautoriseret revisionsaktieselskab",A/S Maskinfabrikken PCP,"Partner Revision, statsautoriseret revisionsaktieselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 31 December 2017 and of the results of the company's operations and cash flows for the financial year 1 January to 31 December 2017 in accordance with the Danish Financial Statements Act.",Vildbjerg,2016-01-01,2016-12-31,The annual report is recommended for approval by the general meeting.,2017-12-31,2017-01-01,2018-02-22,Herning,97 12 50 22,97-131200,RevisionspÃ¥tegning,urn:ofk:oid:25121188,indberetninger-20180424,2.5122833,14310940.0,,2018-04-04T02:15:13.915Z,2018-03-02T09:28:50.222Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-75-TB,2018-03-02T09:28:50.475Z,,,17000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
