entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForDeferredTax,CurrentTaxExpense,GrossResult,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividend,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
73519128,2014-10-01,2015-09-30,c110,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzkzLzJjL2Y3Lzg5OWItNDQxNS05YjAyLTRkNjVmYzZkZWU1Mg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2JkL2NlLzcxL2Q4Lzk3NzAtNDgxYS05YzAxLTdiODM4MTNlNzg0NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-12-16,1984-02-06,2016-12-16,Statsautoriseret revisor,20222670.0,73519128.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,Herning,38996.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-09-30,2015-10-01,2016-12-16,Herning,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23325073,indberetninger-20180424,2.5097342,73519128.0,,2018-03-29T09:22:02.307Z,2016-12-21T08:22:57.021Z,regnskab,0.0,,2016-09-30,2015-10-01,X16-BK-34-QB,2016-12-21T08:22:57.184Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73519128,2014-10-01,2015-09-30,c90,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzkzLzJjL2Y3Lzg5OWItNDQxNS05YjAyLTRkNjVmYzZkZWU1Mg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2JkL2NlLzcxL2Q4Lzk3NzAtNDgxYS05YzAxLTdiODM4MTNlNzg0NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-12-16,1984-02-06,2016-12-16,Statsautoriseret revisor,20222670.0,73519128.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,Herning,288996.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-09-30,2015-10-01,2016-12-16,Herning,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23325073,indberetninger-20180424,2.5097342,73519128.0,,2018-03-29T09:22:02.307Z,2016-12-21T08:22:57.021Z,regnskab,0.0,,2016-09-30,2015-10-01,X16-BK-34-QB,2016-12-21T08:22:57.184Z,-3980.0,87538.0,-16864.0,416997.0,124197.0,96618.0,372554.0,83558.0,,,,,,,,,,,,,,,,,,,,,
73519128,2014-10-01,2015-09-30,c92,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzkzLzJjL2Y3Lzg5OWItNDQxNS05YjAyLTRkNjVmYzZkZWU1Mg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2JkL2NlLzcxL2Q4Lzk3NzAtNDgxYS05YzAxLTdiODM4MTNlNzg0NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-12-16,1984-02-06,2016-12-16,Statsautoriseret revisor,20222670.0,73519128.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,Herning,250000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-09-30,2015-10-01,2016-12-16,Herning,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23325073,indberetninger-20180424,2.5097342,73519128.0,,2018-03-29T09:22:02.307Z,2016-12-21T08:22:57.021Z,regnskab,0.0,,2016-09-30,2015-10-01,X16-BK-34-QB,2016-12-21T08:22:57.184Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73519128,2015-09-30,2015-09-30,c112,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzkzLzJjL2Y3Lzg5OWItNDQxNS05YjAyLTRkNjVmYzZkZWU1Mg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2JkL2NlLzcxL2Q4Lzk3NzAtNDgxYS05YzAxLTdiODM4MTNlNzg0NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-12-16,1984-02-06,2016-12-16,Statsautoriseret revisor,20222670.0,73519128.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,Herning,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-09-30,2015-10-01,2016-12-16,Herning,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23325073,indberetninger-20180424,2.5097342,73519128.0,,2018-03-29T09:22:02.307Z,2016-12-21T08:22:57.021Z,regnskab,0.0,,2016-09-30,2015-10-01,X16-BK-34-QB,2016-12-21T08:22:57.184Z,,,,,,,,,11740435.0,74330.0,500000.0,2864358.0,11325212.0,11740435.0,415223.0,8876077.0,8876077.0,8876077.0,2790028.0,17000.0,0.0,250000.0,10825212.0,2790028.0,415223.0,0.0,148223.0,,
73519128,2015-10-01,2015-10-01,c252,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzkzLzJjL2Y3Lzg5OWItNDQxNS05YjAyLTRkNjVmYzZkZWU1Mg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2JkL2NlLzcxL2Q4Lzk3NzAtNDgxYS05YzAxLTdiODM4MTNlNzg0NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-12-16,1984-02-06,2016-12-16,Statsautoriseret revisor,20222670.0,73519128.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,Herning,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-09-30,2015-10-01,2016-12-16,Herning,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23325073,indberetninger-20180424,2.5097342,73519128.0,,2018-03-29T09:22:02.307Z,2016-12-21T08:22:57.021Z,regnskab,0.0,,2016-09-30,2015-10-01,X16-BK-34-QB,2016-12-21T08:22:57.184Z,,,,,,,,,,,,,500000.0,,,,,,,,,,,,,,,,
73519128,2015-10-01,2015-10-01,c273,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzkzLzJjL2Y3Lzg5OWItNDQxNS05YjAyLTRkNjVmYzZkZWU1Mg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2JkL2NlLzcxL2Q4Lzk3NzAtNDgxYS05YzAxLTdiODM4MTNlNzg0NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-12-16,1984-02-06,2016-12-16,Statsautoriseret revisor,20222670.0,73519128.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,Herning,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-09-30,2015-10-01,2016-12-16,Herning,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23325073,indberetninger-20180424,2.5097342,73519128.0,,2018-03-29T09:22:02.307Z,2016-12-21T08:22:57.021Z,regnskab,0.0,,2016-09-30,2015-10-01,X16-BK-34-QB,2016-12-21T08:22:57.184Z,,,,,,,,,,,,,10825212.0,,,,,,,,,,,,,,,,
73519128,2015-10-01,2016-09-30,c0,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzkzLzJjL2Y3Lzg5OWItNDQxNS05YjAyLTRkNjVmYzZkZWU1Mg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2JkL2NlLzcxL2Q4Lzk3NzAtNDgxYS05YzAxLTdiODM4MTNlNzg0NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-12-16,1984-02-06,2016-12-16,Statsautoriseret revisor,20222670.0,73519128.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,Herning,528239.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-09-30,2015-10-01,2016-12-16,Herning,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23325073,indberetninger-20180424,2.5097342,73519128.0,,2018-03-29T09:22:02.307Z,2016-12-21T08:22:57.021Z,regnskab,0.0,,2016-09-30,2015-10-01,X16-BK-34-QB,2016-12-21T08:22:57.184Z,1244.0,149336.0,-12525.0,294960.0,0.0,396384.0,678819.0,150580.0,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
73519128,2015-10-01,2016-09-30,c1,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzkzLzJjL2Y3Lzg5OWItNDQxNS05YjAyLTRkNjVmYzZkZWU1Mg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2JkL2NlLzcxL2Q4Lzk3NzAtNDgxYS05YzAxLTdiODM4MTNlNzg0NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-12-16,1984-02-06,2016-12-16,Statsautoriseret revisor,20222670.0,73519128.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,Herning,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-09-30,2015-10-01,2016-12-16,Herning,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23325073,indberetninger-20180424,2.5097342,73519128.0,,2018-03-29T09:22:02.307Z,2016-12-21T08:22:57.021Z,regnskab,0.0,,2016-09-30,2015-10-01,X16-BK-34-QB,2016-12-21T08:22:57.184Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73519128,2015-10-01,2016-09-30,c10,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzkzLzJjL2Y3Lzg5OWItNDQxNS05YjAyLTRkNjVmYzZkZWU1Mg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2JkL2NlLzcxL2Q4Lzk3NzAtNDgxYS05YzAxLTdiODM4MTNlNzg0NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-12-16,1984-02-06,2016-12-16,Statsautoriseret revisor,20222670.0,73519128.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,Herning,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-09-30,2015-10-01,2016-12-16,Herning,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23325073,indberetninger-20180424,2.5097342,73519128.0,,2018-03-29T09:22:02.307Z,2016-12-21T08:22:57.021Z,regnskab,0.0,,2016-09-30,2015-10-01,X16-BK-34-QB,2016-12-21T08:22:57.184Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gitte Dohm
73519128,2015-10-01,2016-09-30,c109,,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzkzLzJjL2Y3Lzg5OWItNDQxNS05YjAyLTRkNjVmYzZkZWU1Mg.pdf,http://regnskaber.virk.dk/82191537/ZG9rdW1lbnRsYWdlcjovLzAzL2JkL2NlLzcxL2Q4Lzk3NzAtNDgxYS05YzAxLTdiODM4MTNlNzg0NQ.xml,1.0,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,2.0,Ãstergade,7400 Herning,SÃ¸ndergade 2,DK-7400 Herning,Birk Centerpark 30,Til kapitalejeren i Erik Dohm A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-12-16,1984-02-06,2016-12-16,Statsautoriseret revisor,20222670.0,73519128.0,20222670.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2015 - 30. september 2016 for Erik Dohm A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Steen Pedersen,Lilly FÃ¦ster Dohm,Lilly FÃ¦ster Dohm,Handelsbanken,Erik Dohm A/S,BDO Statsautoriseret revisionsaktieselskab,Herning,278239.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-09-30,2015-10-01,2016-12-16,Herning,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23325073,indberetninger-20180424,2.5097342,73519128.0,,2018-03-29T09:22:02.307Z,2016-12-21T08:22:57.021Z,regnskab,0.0,,2016-09-30,2015-10-01,X16-BK-34-QB,2016-12-21T08:22:57.184Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
