entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
36051477,2017-07-01,2018-06-30,ID_10,,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzL2FlL2ExLzhlLzFhL2VmYjYtNGIwMy04YmIyLWI4YWFkNDA2Njk1Zg.pdf,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzE2L2FmL2UyL2NlMzEtNDBlMS05MmQ5LWIzZWEzZmRmMDBhNA.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 June 2019 and of the results of the Company's operations for the financial year 1 July 2018 - 30 June 2019.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-11-05,2019-11-05,2014-07-15,2019-11-05,36051477.0,25074823.0,"Today, Management has considered and adopted the Annual Report of ADP Employer Services Denmark ApS for the financial year 1 July 2018 - 30 June 2019.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",M. M. Brand,ADP Employer Services Denmark ApS,Azets Insight A/S,Copenhagen,2017-07-01,2018-06-30,-80937.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Copenhagen, 0",2019-06-30,2018-07-01,false,Ingen bistand,urn:ofk:oid:28021319,indberetninger-20180424,2.5118406,36051477.0,AW5qXsQhxzZKlpaAlaJE,2019-11-14T14:43:54.184Z,2019-11-14T14:43:45.162Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DL-05-SW,2019-11-14T14:43:45.374Z,,,,,,,,,,,,,,,,,,,,,,,,,,
36051477,2017-07-01,2018-06-30,ID_7,,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzL2FlL2ExLzhlLzFhL2VmYjYtNGIwMy04YmIyLWI4YWFkNDA2Njk1Zg.pdf,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzE2L2FmL2UyL2NlMzEtNDBlMS05MmQ5LWIzZWEzZmRmMDBhNA.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 June 2019 and of the results of the Company's operations for the financial year 1 July 2018 - 30 June 2019.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-11-05,2019-11-05,2014-07-15,2019-11-05,36051477.0,25074823.0,"Today, Management has considered and adopted the Annual Report of ADP Employer Services Denmark ApS for the financial year 1 July 2018 - 30 June 2019.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",M. M. Brand,ADP Employer Services Denmark ApS,Azets Insight A/S,Copenhagen,2017-07-01,2018-06-30,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Copenhagen, 0",2019-06-30,2018-07-01,false,Ingen bistand,urn:ofk:oid:28021319,indberetninger-20180424,2.5118406,36051477.0,AW5qXsQhxzZKlpaAlaJE,2019-11-14T14:43:54.184Z,2019-11-14T14:43:45.162Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DL-05-SW,2019-11-14T14:43:45.374Z,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
36051477,2017-07-01,2018-06-30,ID_8,,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzL2FlL2ExLzhlLzFhL2VmYjYtNGIwMy04YmIyLWI4YWFkNDA2Njk1Zg.pdf,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzE2L2FmL2UyL2NlMzEtNDBlMS05MmQ5LWIzZWEzZmRmMDBhNA.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 June 2019 and of the results of the Company's operations for the financial year 1 July 2018 - 30 June 2019.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-11-05,2019-11-05,2014-07-15,2019-11-05,36051477.0,25074823.0,"Today, Management has considered and adopted the Annual Report of ADP Employer Services Denmark ApS for the financial year 1 July 2018 - 30 June 2019.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",M. M. Brand,ADP Employer Services Denmark ApS,Azets Insight A/S,Copenhagen,2017-07-01,2018-06-30,80937.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Copenhagen, 0",2019-06-30,2018-07-01,false,Ingen bistand,urn:ofk:oid:28021319,indberetninger-20180424,2.5118406,36051477.0,AW5qXsQhxzZKlpaAlaJE,2019-11-14T14:43:54.184Z,2019-11-14T14:43:45.162Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DL-05-SW,2019-11-14T14:43:45.374Z,,1385221.0,1490379.0,1143.0,104015.0,105158.0,23078.0,,,,,,,,,,,,,,,,,,,
36051477,2018-06-30,2018-06-30,ID_5,,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzL2FlL2ExLzhlLzFhL2VmYjYtNGIwMy04YmIyLWI4YWFkNDA2Njk1Zg.pdf,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzE2L2FmL2UyL2NlMzEtNDBlMS05MmQ5LWIzZWEzZmRmMDBhNA.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 June 2019 and of the results of the Company's operations for the financial year 1 July 2018 - 30 June 2019.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-11-05,2019-11-05,2014-07-15,2019-11-05,36051477.0,25074823.0,"Today, Management has considered and adopted the Annual Report of ADP Employer Services Denmark ApS for the financial year 1 July 2018 - 30 June 2019.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",M. M. Brand,ADP Employer Services Denmark ApS,Azets Insight A/S,Copenhagen,2017-07-01,2018-06-30,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Copenhagen, 0",2019-06-30,2018-07-01,false,Ingen bistand,urn:ofk:oid:28021319,indberetninger-20180424,2.5118406,36051477.0,AW5qXsQhxzZKlpaAlaJE,2019-11-14T14:43:54.184Z,2019-11-14T14:43:45.162Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DL-05-SW,2019-11-14T14:43:45.374Z,,,,,,,,796282.0,753436.0,50000.0,796282.0,276768.0,796282.0,519514.0,23079.0,23079.0,430817.0,23979.0,226768.0,496435.0,42846.0,18448.0,15818.0,49800.0,419.0,
36051477,2018-07-01,2019-06-30,ID_0,,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzL2FlL2ExLzhlLzFhL2VmYjYtNGIwMy04YmIyLWI4YWFkNDA2Njk1Zg.pdf,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzE2L2FmL2UyL2NlMzEtNDBlMS05MmQ5LWIzZWEzZmRmMDBhNA.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 June 2019 and of the results of the Company's operations for the financial year 1 July 2018 - 30 June 2019.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-11-05,2019-11-05,2014-07-15,2019-11-05,36051477.0,25074823.0,"Today, Management has considered and adopted the Annual Report of ADP Employer Services Denmark ApS for the financial year 1 July 2018 - 30 June 2019.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",M. M. Brand,ADP Employer Services Denmark ApS,Azets Insight A/S,Copenhagen,2017-07-01,2018-06-30,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Copenhagen, 0",2019-06-30,2018-07-01,false,Ingen bistand,urn:ofk:oid:28021319,indberetninger-20180424,2.5118406,36051477.0,AW5qXsQhxzZKlpaAlaJE,2019-11-14T14:43:54.184Z,2019-11-14T14:43:45.162Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DL-05-SW,2019-11-14T14:43:45.374Z,,,,,,,,,,,,,,,,,,,,,,,,,,Theodore Edward Curey
36051477,2018-07-01,2019-06-30,ID_1,,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzL2FlL2ExLzhlLzFhL2VmYjYtNGIwMy04YmIyLWI4YWFkNDA2Njk1Zg.pdf,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzE2L2FmL2UyL2NlMzEtNDBlMS05MmQ5LWIzZWEzZmRmMDBhNA.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 June 2019 and of the results of the Company's operations for the financial year 1 July 2018 - 30 June 2019.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-11-05,2019-11-05,2014-07-15,2019-11-05,36051477.0,25074823.0,"Today, Management has considered and adopted the Annual Report of ADP Employer Services Denmark ApS for the financial year 1 July 2018 - 30 June 2019.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",M. M. Brand,ADP Employer Services Denmark ApS,Azets Insight A/S,Copenhagen,2017-07-01,2018-06-30,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Copenhagen, 0",2019-06-30,2018-07-01,false,Ingen bistand,urn:ofk:oid:28021319,indberetninger-20180424,2.5118406,36051477.0,AW5qXsQhxzZKlpaAlaJE,2019-11-14T14:43:54.184Z,2019-11-14T14:43:45.162Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DL-05-SW,2019-11-14T14:43:45.374Z,,,,,,,,,,,,,,,,,,,,,,,,,,
36051477,2018-07-01,2019-06-30,ID_2,,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzL2FlL2ExLzhlLzFhL2VmYjYtNGIwMy04YmIyLWI4YWFkNDA2Njk1Zg.pdf,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzE2L2FmL2UyL2NlMzEtNDBlMS05MmQ5LWIzZWEzZmRmMDBhNA.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 June 2019 and of the results of the Company's operations for the financial year 1 July 2018 - 30 June 2019.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-11-05,2019-11-05,2014-07-15,2019-11-05,36051477.0,25074823.0,"Today, Management has considered and adopted the Annual Report of ADP Employer Services Denmark ApS for the financial year 1 July 2018 - 30 June 2019.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",M. M. Brand,ADP Employer Services Denmark ApS,Azets Insight A/S,Copenhagen,2017-07-01,2018-06-30,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Copenhagen, 0",2019-06-30,2018-07-01,false,Ingen bistand,urn:ofk:oid:28021319,indberetninger-20180424,2.5118406,36051477.0,AW5qXsQhxzZKlpaAlaJE,2019-11-14T14:43:54.184Z,2019-11-14T14:43:45.162Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DL-05-SW,2019-11-14T14:43:45.374Z,,,,,,,,,,,,,,,,,,,,,,,,,,Christoph Olivier Ochsner
36051477,2018-07-01,2019-06-30,ID_3,,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzL2FlL2ExLzhlLzFhL2VmYjYtNGIwMy04YmIyLWI4YWFkNDA2Njk1Zg.pdf,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzE2L2FmL2UyL2NlMzEtNDBlMS05MmQ5LWIzZWEzZmRmMDBhNA.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 June 2019 and of the results of the Company's operations for the financial year 1 July 2018 - 30 June 2019.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-11-05,2019-11-05,2014-07-15,2019-11-05,36051477.0,25074823.0,"Today, Management has considered and adopted the Annual Report of ADP Employer Services Denmark ApS for the financial year 1 July 2018 - 30 June 2019.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",M. M. Brand,ADP Employer Services Denmark ApS,Azets Insight A/S,Copenhagen,2017-07-01,2018-06-30,62614.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Copenhagen, 0",2019-06-30,2018-07-01,false,Ingen bistand,urn:ofk:oid:28021319,indberetninger-20180424,2.5118406,36051477.0,AW5qXsQhxzZKlpaAlaJE,2019-11-14T14:43:54.184Z,2019-11-14T14:43:45.162Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DL-05-SW,2019-11-14T14:43:45.374Z,,1749728.0,1833789.0,3648.0,80413.0,84061.0,17799.0,,,,,,,,,,,,,,,,,,,
36051477,2018-07-01,2019-06-30,ID_6,,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzL2FlL2ExLzhlLzFhL2VmYjYtNGIwMy04YmIyLWI4YWFkNDA2Njk1Zg.pdf,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzE2L2FmL2UyL2NlMzEtNDBlMS05MmQ5LWIzZWEzZmRmMDBhNA.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 June 2019 and of the results of the Company's operations for the financial year 1 July 2018 - 30 June 2019.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-11-05,2019-11-05,2014-07-15,2019-11-05,36051477.0,25074823.0,"Today, Management has considered and adopted the Annual Report of ADP Employer Services Denmark ApS for the financial year 1 July 2018 - 30 June 2019.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",M. M. Brand,ADP Employer Services Denmark ApS,Azets Insight A/S,Copenhagen,2017-07-01,2018-06-30,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Copenhagen, 0",2019-06-30,2018-07-01,false,Ingen bistand,urn:ofk:oid:28021319,indberetninger-20180424,2.5118406,36051477.0,AW5qXsQhxzZKlpaAlaJE,2019-11-14T14:43:54.184Z,2019-11-14T14:43:45.162Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DL-05-SW,2019-11-14T14:43:45.374Z,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
36051477,2018-07-01,2019-06-30,ID_9,,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzL2FlL2ExLzhlLzFhL2VmYjYtNGIwMy04YmIyLWI4YWFkNDA2Njk1Zg.pdf,http://regnskaber.virk.dk/77415063/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzE2L2FmL2UyL2NlMzEtNDBlMS05MmQ5LWIzZWEzZmRmMDBhNA.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 June 2019 and of the results of the Company's operations for the financial year 1 July 2018 - 30 June 2019.",The conditions for not conducting an audit of the Financial Statement have been met.,2019-11-05,2019-11-05,2014-07-15,2019-11-05,36051477.0,25074823.0,"Today, Management has considered and adopted the Annual Report of ADP Employer Services Denmark ApS for the financial year 1 July 2018 - 30 June 2019.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",M. M. Brand,ADP Employer Services Denmark ApS,Azets Insight A/S,Copenhagen,2017-07-01,2018-06-30,-62614.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Copenhagen, 0",2019-06-30,2018-07-01,false,Ingen bistand,urn:ofk:oid:28021319,indberetninger-20180424,2.5118406,36051477.0,AW5qXsQhxzZKlpaAlaJE,2019-11-14T14:43:54.184Z,2019-11-14T14:43:45.162Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DL-05-SW,2019-11-14T14:43:45.374Z,,,,,,,,,,,,,,,,,,,,,,,,,,
