entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfRevenue,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AcquiredOtherSimilarRights,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,IntangibleAssets,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherInvestmentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid
16745472,2017-07-01,2018-06-30,c2,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk4LzBiLzllLzVkYzgtNDk1NS04OTE0LTFlYzQyYjY4YTczMw.xhtml,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M4L2FmLzIwL2JmMGMtNGU1Yy1hOTQ3LTNjNjExOTUyMzNhZQ.pdf,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2JkLzAzLzkzLzQwNzAtNGVkOS1hZTgxLTUyMjE4MTJhNjgxZA.xml,true,KÃ¸benhavn V,1715.0,"32, 1",Slagtehusgade,3050 HumlebÃ¦k,Boserupvej 112,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-22,2019-10-03,90387.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen pant eller anden sikkerhed i aktiver, ligesom der ikke er givet kautions- eller garantiforpligtelser og andre Ã¸konomiske forpligtelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â NettoomsÃ¦tning er udeladt pÃ¥ grund af konkurrencemÃ¦ssige hensyn.</p>",1877767.0,2985489.0,16745472.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Peter Christian Jensen,Peter Christian Jensen,BOGHOLDERIET AF 30. DECEMBER 1992 ApS,Kristian HÃ¸egsberg,102855.0,160800.0,486675.0,KÃ¸benhavn,2017-07-01,2018-06-30,451523.0,588605.0,530660.0,2019-06-30,2018-07-01,true,137082.0,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27884193,indberetninger-20180424,2.5948243,16745472.0,AW2QzM_bIXJRhhXBONa0,2019-10-03T08:47:13.975Z,2019-10-03T08:46:43.810Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-UQ,2019-10-03T08:46:44.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16745472,2017-07-01,2018-06-30,c4,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk4LzBiLzllLzVkYzgtNDk1NS04OTE0LTFlYzQyYjY4YTczMw.xhtml,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M4L2FmLzIwL2JmMGMtNGU1Yy1hOTQ3LTNjNjExOTUyMzNhZQ.pdf,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2JkLzAzLzkzLzQwNzAtNGVkOS1hZTgxLTUyMjE4MTJhNjgxZA.xml,true,KÃ¸benhavn V,1715.0,"32, 1",Slagtehusgade,3050 HumlebÃ¦k,Boserupvej 112,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-22,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen pant eller anden sikkerhed i aktiver, ligesom der ikke er givet kautions- eller garantiforpligtelser og andre Ã¸konomiske forpligtelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â NettoomsÃ¦tning er udeladt pÃ¥ grund af konkurrencemÃ¦ssige hensyn.</p>",,,16745472.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Peter Christian Jensen,Peter Christian Jensen,BOGHOLDERIET AF 30. DECEMBER 1992 ApS,Kristian HÃ¸egsberg,,,,KÃ¸benhavn,2017-07-01,2018-06-30,2500000.0,,,2019-06-30,2018-07-01,true,,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27884193,indberetninger-20180424,2.5948243,16745472.0,AW2QzM_bIXJRhhXBONa0,2019-10-03T08:47:13.975Z,2019-10-03T08:46:43.810Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-UQ,2019-10-03T08:46:44.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16745472,2017-07-01,2018-06-30,c6,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk4LzBiLzllLzVkYzgtNDk1NS04OTE0LTFlYzQyYjY4YTczMw.xhtml,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M4L2FmLzIwL2JmMGMtNGU1Yy1hOTQ3LTNjNjExOTUyMzNhZQ.pdf,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2JkLzAzLzkzLzQwNzAtNGVkOS1hZTgxLTUyMjE4MTJhNjgxZA.xml,true,KÃ¸benhavn V,1715.0,"32, 1",Slagtehusgade,3050 HumlebÃ¦k,Boserupvej 112,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-22,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen pant eller anden sikkerhed i aktiver, ligesom der ikke er givet kautions- eller garantiforpligtelser og andre Ã¸konomiske forpligtelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â NettoomsÃ¦tning er udeladt pÃ¥ grund af konkurrencemÃ¦ssige hensyn.</p>",,,16745472.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Peter Christian Jensen,Peter Christian Jensen,BOGHOLDERIET AF 30. DECEMBER 1992 ApS,Kristian HÃ¸egsberg,,,,KÃ¸benhavn,2017-07-01,2018-06-30,-2048477.0,,,2019-06-30,2018-07-01,true,,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27884193,indberetninger-20180424,2.5948243,16745472.0,AW2QzM_bIXJRhhXBONa0,2019-10-03T08:47:13.975Z,2019-10-03T08:46:43.810Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-UQ,2019-10-03T08:46:44.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16745472,2018-06-30,2018-06-30,c8,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk4LzBiLzllLzVkYzgtNDk1NS04OTE0LTFlYzQyYjY4YTczMw.xhtml,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M4L2FmLzIwL2JmMGMtNGU1Yy1hOTQ3LTNjNjExOTUyMzNhZQ.pdf,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2JkLzAzLzkzLzQwNzAtNGVkOS1hZTgxLTUyMjE4MTJhNjgxZA.xml,true,KÃ¸benhavn V,1715.0,"32, 1",Slagtehusgade,3050 HumlebÃ¦k,Boserupvej 112,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-22,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen pant eller anden sikkerhed i aktiver, ligesom der ikke er givet kautions- eller garantiforpligtelser og andre Ã¸konomiske forpligtelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â NettoomsÃ¦tning er udeladt pÃ¥ grund af konkurrencemÃ¦ssige hensyn.</p>",,,16745472.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Peter Christian Jensen,Peter Christian Jensen,BOGHOLDERIET AF 30. DECEMBER 1992 ApS,Kristian HÃ¸egsberg,,,,KÃ¸benhavn,2017-07-01,2018-06-30,,,,2019-06-30,2018-07-01,true,,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27884193,indberetninger-20180424,2.5948243,16745472.0,AW2QzM_bIXJRhhXBONa0,2019-10-03T08:47:13.975Z,2019-10-03T08:46:43.810Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-UQ,2019-10-03T08:46:44.058Z,31310.0,4082669.0,814061.0,681520.0,200000.0,3715585.0,1508.0,2936738.0,31310.0,103274.0,4082669.0,977653.0,367084.0,232500.0,1641131.0,752102.0,86195.0,335774.0,2500000.0,168278.0,168278.0,236738.0,1641131.0,977653.0,0.0,13371.0,1260393.0,1689.0,125928.0,86252.0,489481.0,
16745472,2018-07-01,2018-07-01,c10,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk4LzBiLzllLzVkYzgtNDk1NS04OTE0LTFlYzQyYjY4YTczMw.xhtml,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M4L2FmLzIwL2JmMGMtNGU1Yy1hOTQ3LTNjNjExOTUyMzNhZQ.pdf,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2JkLzAzLzkzLzQwNzAtNGVkOS1hZTgxLTUyMjE4MTJhNjgxZA.xml,true,KÃ¸benhavn V,1715.0,"32, 1",Slagtehusgade,3050 HumlebÃ¦k,Boserupvej 112,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-22,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen pant eller anden sikkerhed i aktiver, ligesom der ikke er givet kautions- eller garantiforpligtelser og andre Ã¸konomiske forpligtelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â NettoomsÃ¦tning er udeladt pÃ¥ grund af konkurrencemÃ¦ssige hensyn.</p>",,,16745472.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Peter Christian Jensen,Peter Christian Jensen,BOGHOLDERIET AF 30. DECEMBER 1992 ApS,Kristian HÃ¸egsberg,,,,KÃ¸benhavn,2017-07-01,2018-06-30,,,,2019-06-30,2018-07-01,true,,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27884193,indberetninger-20180424,2.5948243,16745472.0,AW2QzM_bIXJRhhXBONa0,2019-10-03T08:47:13.975Z,2019-10-03T08:46:43.810Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-UQ,2019-10-03T08:46:44.058Z,,,,,,,,236738.0,,,,,,,,,,,,,,,,,,,,,,,,
16745472,2018-07-01,2018-07-01,c11,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk4LzBiLzllLzVkYzgtNDk1NS04OTE0LTFlYzQyYjY4YTczMw.xhtml,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M4L2FmLzIwL2JmMGMtNGU1Yy1hOTQ3LTNjNjExOTUyMzNhZQ.pdf,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2JkLzAzLzkzLzQwNzAtNGVkOS1hZTgxLTUyMjE4MTJhNjgxZA.xml,true,KÃ¸benhavn V,1715.0,"32, 1",Slagtehusgade,3050 HumlebÃ¦k,Boserupvej 112,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-22,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen pant eller anden sikkerhed i aktiver, ligesom der ikke er givet kautions- eller garantiforpligtelser og andre Ã¸konomiske forpligtelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â NettoomsÃ¦tning er udeladt pÃ¥ grund af konkurrencemÃ¦ssige hensyn.</p>",,,16745472.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Peter Christian Jensen,Peter Christian Jensen,BOGHOLDERIET AF 30. DECEMBER 1992 ApS,Kristian HÃ¸egsberg,,,,KÃ¸benhavn,2017-07-01,2018-06-30,,,,2019-06-30,2018-07-01,true,,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27884193,indberetninger-20180424,2.5948243,16745472.0,AW2QzM_bIXJRhhXBONa0,2019-10-03T08:47:13.975Z,2019-10-03T08:46:43.810Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-UQ,2019-10-03T08:46:44.058Z,,,,,,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,
16745472,2018-07-01,2018-07-01,c12,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk4LzBiLzllLzVkYzgtNDk1NS04OTE0LTFlYzQyYjY4YTczMw.xhtml,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M4L2FmLzIwL2JmMGMtNGU1Yy1hOTQ3LTNjNjExOTUyMzNhZQ.pdf,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2JkLzAzLzkzLzQwNzAtNGVkOS1hZTgxLTUyMjE4MTJhNjgxZA.xml,true,KÃ¸benhavn V,1715.0,"32, 1",Slagtehusgade,3050 HumlebÃ¦k,Boserupvej 112,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-22,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen pant eller anden sikkerhed i aktiver, ligesom der ikke er givet kautions- eller garantiforpligtelser og andre Ã¸konomiske forpligtelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â NettoomsÃ¦tning er udeladt pÃ¥ grund af konkurrencemÃ¦ssige hensyn.</p>",,,16745472.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Peter Christian Jensen,Peter Christian Jensen,BOGHOLDERIET AF 30. DECEMBER 1992 ApS,Kristian HÃ¸egsberg,,,,KÃ¸benhavn,2017-07-01,2018-06-30,,,,2019-06-30,2018-07-01,true,,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27884193,indberetninger-20180424,2.5948243,16745472.0,AW2QzM_bIXJRhhXBONa0,2019-10-03T08:47:13.975Z,2019-10-03T08:46:43.810Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-UQ,2019-10-03T08:46:44.058Z,,,,,,,,2936738.0,,,,,,,,,,,,,,,,,,,,,,,,
16745472,2018-07-01,2018-07-01,c9,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk4LzBiLzllLzVkYzgtNDk1NS04OTE0LTFlYzQyYjY4YTczMw.xhtml,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M4L2FmLzIwL2JmMGMtNGU1Yy1hOTQ3LTNjNjExOTUyMzNhZQ.pdf,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2JkLzAzLzkzLzQwNzAtNGVkOS1hZTgxLTUyMjE4MTJhNjgxZA.xml,true,KÃ¸benhavn V,1715.0,"32, 1",Slagtehusgade,3050 HumlebÃ¦k,Boserupvej 112,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-22,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen pant eller anden sikkerhed i aktiver, ligesom der ikke er givet kautions- eller garantiforpligtelser og andre Ã¸konomiske forpligtelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â NettoomsÃ¦tning er udeladt pÃ¥ grund af konkurrencemÃ¦ssige hensyn.</p>",,,16745472.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Peter Christian Jensen,Peter Christian Jensen,BOGHOLDERIET AF 30. DECEMBER 1992 ApS,Kristian HÃ¸egsberg,,,,KÃ¸benhavn,2017-07-01,2018-06-30,,,,2019-06-30,2018-07-01,true,,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27884193,indberetninger-20180424,2.5948243,16745472.0,AW2QzM_bIXJRhhXBONa0,2019-10-03T08:47:13.975Z,2019-10-03T08:46:43.810Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-UQ,2019-10-03T08:46:44.058Z,,,,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,
16745472,2018-07-01,2019-06-30,c0,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk4LzBiLzllLzVkYzgtNDk1NS04OTE0LTFlYzQyYjY4YTczMw.xhtml,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M4L2FmLzIwL2JmMGMtNGU1Yy1hOTQ3LTNjNjExOTUyMzNhZQ.pdf,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2JkLzAzLzkzLzQwNzAtNGVkOS1hZTgxLTUyMjE4MTJhNjgxZA.xml,true,KÃ¸benhavn V,1715.0,"32, 1",Slagtehusgade,3050 HumlebÃ¦k,Boserupvej 112,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-22,2019-10-03,125230.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen pant eller anden sikkerhed i aktiver, ligesom der ikke er givet kautions- eller garantiforpligtelser og andre Ã¸konomiske forpligtelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â NettoomsÃ¦tning er udeladt pÃ¥ grund af konkurrencemÃ¦ssige hensyn.</p>",1914330.0,3036195.0,16745472.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Peter Christian Jensen,Peter Christian Jensen,BOGHOLDERIET AF 30. DECEMBER 1992 ApS,Kristian HÃ¸egsberg,57183.0,65541.0,547815.0,KÃ¸benhavn,2017-07-01,2018-06-30,360818.0,457178.0,448820.0,2019-06-30,2018-07-01,true,96360.0,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27884193,indberetninger-20180424,2.5948243,16745472.0,AW2QzM_bIXJRhhXBONa0,2019-10-03T08:47:13.975Z,2019-10-03T08:46:43.810Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-UQ,2019-10-03T08:46:44.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0
16745472,2018-07-01,2019-06-30,c1,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2FkLzk4LzBiLzllLzVkYzgtNDk1NS04OTE0LTFlYzQyYjY4YTczMw.xhtml,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzLzA2L2M4L2FmLzIwL2JmMGMtNGU1Yy1hOTQ3LTNjNjExOTUyMzNhZQ.pdf,http://regnskaber.virk.dk/27454761/ZG9rdW1lbnRsYWdlcjovLzAzL2VjL2JkLzAzLzkzLzQwNzAtNGVkOS1hZTgxLTUyMjE4MTJhNjgxZA.xml,true,KÃ¸benhavn V,1715.0,"32, 1",Slagtehusgade,3050 HumlebÃ¦k,Boserupvej 112,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-22,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogen pant eller anden sikkerhed i aktiver, ligesom der ikke er givet kautions- eller garantiforpligtelser og andre Ã¸konomiske forpligtelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â NettoomsÃ¦tning er udeladt pÃ¥ grund af konkurrencemÃ¦ssige hensyn.</p>",,,16745472.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B, mikrovirksomhed.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Peter Christian Jensen,Peter Christian Jensen,BOGHOLDERIET AF 30. DECEMBER 1992 ApS,Kristian HÃ¸egsberg,,,,KÃ¸benhavn,2017-07-01,2018-06-30,,,,2019-06-30,2018-07-01,true,,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:27884193,indberetninger-20180424,2.5948243,16745472.0,AW2QzM_bIXJRhhXBONa0,2019-10-03T08:47:13.975Z,2019-10-03T08:46:43.810Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CU-13-UQ,2019-10-03T08:46:44.058Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
