entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Goodwill,IntangibleAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,RevaluationReserve,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
25769635,2017-01-01,2017-12-31,c10,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2EyLzhmLzljL2Q5NmItNGI2Yi1hMGYxLWU1MWRmZTA3ZDFhYg.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2JmLzkzL2EyLzJmY2ItNDM4ZC05ODQ4LWFhZjM4OTY3YTM0Yg.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2JkL2NjLzYyL2EzMGQtNGJmZi05ZDNlLTA4MWQ1ZDFhYWYxZg.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til kapitalejerne i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-06-15,2019-06-15,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",25769635.0,mne6735,1009624496.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revision,Albertslund,2017-01-01,2017-12-31,17413.0,2018-12-31,2018-01-01,true,2019-06-15,VedbÃ¦k,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27511464,indberetninger-20180424,2.595549,25769635,AWtbn1eaGQc-fA3G3K5m,2019-06-15T14:51:54.732Z,2019-06-15T14:51:37.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BN-79-BD,2019-06-15T14:51:37.487Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2EyLzhmLzljL2Q5NmItNGI2Yi1hMGYxLWU1MWRmZTA3ZDFhYg.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2JmLzkzL2EyLzJmY2ItNDM4ZC05ODQ4LWFhZjM4OTY3YTM0Yg.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2JkL2NjLzYyL2EzMGQtNGJmZi05ZDNlLTA4MWQ1ZDFhYWYxZg.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til kapitalejerne i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-06-15,2019-06-15,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",25769635.0,mne6735,1009624496.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revision,Albertslund,2017-01-01,2017-12-31,161032.0,2018-12-31,2018-01-01,true,2019-06-15,VedbÃ¦k,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27511464,indberetninger-20180424,2.595549,25769635,AWtbn1eaGQc-fA3G3K5m,2019-06-15T14:51:54.732Z,2019-06-15T14:51:37.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BN-79-BD,2019-06-15T14:51:37.487Z,88542.0,248654.0,37819.0,11701.0,186230.0,160112.0,25198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2EyLzhmLzljL2Q5NmItNGI2Yi1hMGYxLWU1MWRmZTA3ZDFhYg.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2JmLzkzL2EyLzJmY2ItNDM4ZC05ODQ4LWFhZjM4OTY3YTM0Yg.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2JkL2NjLzYyL2EzMGQtNGJmZi05ZDNlLTA4MWQ1ZDFhYWYxZg.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til kapitalejerne i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-06-15,2019-06-15,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",25769635.0,mne6735,1009624496.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revision,Albertslund,2017-01-01,2017-12-31,105800.0,2018-12-31,2018-01-01,true,2019-06-15,VedbÃ¦k,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27511464,indberetninger-20180424,2.595549,25769635,AWtbn1eaGQc-fA3G3K5m,2019-06-15T14:51:54.732Z,2019-06-15T14:51:37.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BN-79-BD,2019-06-15T14:51:37.487Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2017-01-01,2017-12-31,c8,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2EyLzhmLzljL2Q5NmItNGI2Yi1hMGYxLWU1MWRmZTA3ZDFhYg.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2JmLzkzL2EyLzJmY2ItNDM4ZC05ODQ4LWFhZjM4OTY3YTM0Yg.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2JkL2NjLzYyL2EzMGQtNGJmZi05ZDNlLTA4MWQ1ZDFhYWYxZg.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til kapitalejerne i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-06-15,2019-06-15,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",25769635.0,mne6735,1009624496.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revision,Albertslund,2017-01-01,2017-12-31,37819.0,2018-12-31,2018-01-01,true,2019-06-15,VedbÃ¦k,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27511464,indberetninger-20180424,2.595549,25769635,AWtbn1eaGQc-fA3G3K5m,2019-06-15T14:51:54.732Z,2019-06-15T14:51:37.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BN-79-BD,2019-06-15T14:51:37.487Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2017-12-31,2017-12-31,c12,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2EyLzhmLzljL2Q5NmItNGI2Yi1hMGYxLWU1MWRmZTA3ZDFhYg.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2JmLzkzL2EyLzJmY2ItNDM4ZC05ODQ4LWFhZjM4OTY3YTM0Yg.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2JkL2NjLzYyL2EzMGQtNGJmZi05ZDNlLTA4MWQ1ZDFhYWYxZg.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til kapitalejerne i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-06-15,2019-06-15,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",25769635.0,mne6735,1009624496.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revision,Albertslund,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,true,2019-06-15,VedbÃ¦k,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27511464,indberetninger-20180424,2.595549,25769635,AWtbn1eaGQc-fA3G3K5m,2019-06-15T14:51:54.732Z,2019-06-15T14:51:37.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BN-79-BD,2019-06-15T14:51:37.487Z,,,,,,,,3485646.0,141410.0,125000.0,579697.0,2574502.0,183551.0,183551.0,1900000.0,3485646.0,631177.0,822398.0,822398.0,408009.0,408009.0,2905949.0,8550.0,1900000.0,105800.0,279967.0,279967.0,989218.0,765154.0,589330.0,223168.0,58635.0,14989.0,438287.0,438287.0,0.0,140994.0,,
25769635,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2EyLzhmLzljL2Q5NmItNGI2Yi1hMGYxLWU1MWRmZTA3ZDFhYg.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2JmLzkzL2EyLzJmY2ItNDM4ZC05ODQ4LWFhZjM4OTY3YTM0Yg.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2JkL2NjLzYyL2EzMGQtNGJmZi05ZDNlLTA4MWQ1ZDFhYWYxZg.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til kapitalejerne i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-06-15,2019-06-15,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",25769635.0,mne6735,1009624496.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revision,Albertslund,2017-01-01,2017-12-31,47539.0,2018-12-31,2018-01-01,true,2019-06-15,VedbÃ¦k,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27511464,indberetninger-20180424,2.595549,25769635,AWtbn1eaGQc-fA3G3K5m,2019-06-15T14:51:54.732Z,2019-06-15T14:51:37.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BN-79-BD,2019-06-15T14:51:37.487Z,88542.0,247579.0,-90716.0,3793.0,64528.0,159037.0,16989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2EyLzhmLzljL2Q5NmItNGI2Yi1hMGYxLWU1MWRmZTA3ZDFhYg.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2JmLzkzL2EyLzJmY2ItNDM4ZC05ODQ4LWFhZjM4OTY3YTM0Yg.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2JkL2NjLzYyL2EzMGQtNGJmZi05ZDNlLTA4MWQ1ZDFhYWYxZg.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til kapitalejerne i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-06-15,2019-06-15,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",25769635.0,mne6735,1009624496.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revision,Albertslund,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,true,2019-06-15,VedbÃ¦k,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27511464,indberetninger-20180424,2.595549,25769635,AWtbn1eaGQc-fA3G3K5m,2019-06-15T14:51:54.732Z,2019-06-15T14:51:37.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BN-79-BD,2019-06-15T14:51:37.487Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14262172.0,"VedbÃ¦k Revision, Registreret Revisionsfirma FSR"
25769635,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2EyLzhmLzljL2Q5NmItNGI2Yi1hMGYxLWU1MWRmZTA3ZDFhYg.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2JmLzkzL2EyLzJmY2ItNDM4ZC05ODQ4LWFhZjM4OTY3YTM0Yg.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2JkL2NjLzYyL2EzMGQtNGJmZi05ZDNlLTA4MWQ1ZDFhYWYxZg.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til kapitalejerne i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-06-15,2019-06-15,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",25769635.0,mne6735,1009624496.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revision,Albertslund,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,true,2019-06-15,VedbÃ¦k,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27511464,indberetninger-20180424,2.595549,25769635,AWtbn1eaGQc-fA3G3K5m,2019-06-15T14:51:54.732Z,2019-06-15T14:51:37.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BN-79-BD,2019-06-15T14:51:37.487Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2018-01-01,2018-12-31,c3,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2EyLzhmLzljL2Q5NmItNGI2Yi1hMGYxLWU1MWRmZTA3ZDFhYg.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2JmLzkzL2EyLzJmY2ItNDM4ZC05ODQ4LWFhZjM4OTY3YTM0Yg.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2JkL2NjLzYyL2EzMGQtNGJmZi05ZDNlLTA4MWQ1ZDFhYWYxZg.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til kapitalejerne i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-06-15,2019-06-15,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",25769635.0,mne6735,1009624496.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revision,Albertslund,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,true,2019-06-15,VedbÃ¦k,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27511464,indberetninger-20180424,2.595549,25769635,AWtbn1eaGQc-fA3G3K5m,2019-06-15T14:51:54.732Z,2019-06-15T14:51:37.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BN-79-BD,2019-06-15T14:51:37.487Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14262172.0,"VedbÃ¦k Revision, Registreret Revisionsfirma FSR"
25769635,2018-01-01,2018-12-31,c5,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2ExL2EyLzhmLzljL2Q5NmItNGI2Yi1hMGYxLWU1MWRmZTA3ZDFhYg.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzLzZiL2JmLzkzL2EyLzJmY2ItNDM4ZC05ODQ4LWFhZjM4OTY3YTM0Yg.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2JkL2NjLzYyL2EzMGQtNGJmZi05ZDNlLTA4MWQ1ZDFhYWYxZg.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til kapitalejerne i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-06-15,2019-06-15,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",25769635.0,mne6735,1009624496.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revision,Albertslund,2017-01-01,2017-12-31,108000.0,2018-12-31,2018-01-01,true,2019-06-15,VedbÃ¦k,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27511464,indberetninger-20180424,2.595549,25769635,AWtbn1eaGQc-fA3G3K5m,2019-06-15T14:51:54.732Z,2019-06-15T14:51:37.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BN-79-BD,2019-06-15T14:51:37.487Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
