entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfClassOfIssuedShares,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,NumberOfIssuedShares,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfPropertyPlantAndEquipment,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForDeferredTax,CostOfSales,CurrentTaxExpense,GainsLossesFromCurrentValueAdjustmentsOfFinancialInstrumentsFinanceExpenses,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossResult,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpense,TaxExpenseOnOrdinaryActivities,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherLongtermPayables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradePayables,AccumulatedRevaluationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfDevelopmentInActivitiesAndFinancialAffairs,DescriptionOfMethodsOfDividends,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCashAndCashEquivalents,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfPrimaryActivitiesOfEntity,DescriptionOfQualificationsOfAuditedFinancialStatements,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,ExplanationOfOtherMethodsOfRecognitionAndMeasurementBasisForAssetsInPreviousPeriod,IdentificationOfApprovedAnnualReport,InformationOnAnyPartOfLiabilityFallingDueInMoreThanFiveYears,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,SignatureOfAuditorsPlace,DescriptionOfAuditor,NameAndSurnameOfAuditor,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,NameOfAuditFirm,IncreaseOfCapital,NameAndSurnameOfMemberOfExecutiveBoard,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueBetweenOneAndFiveYears,LongtermLiabilitiesOtherThanProvisionsDueInOneYear
35866485,2015-01-01,2015-12-31,c195,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdhL2JhL2JhLzI4NTMtNGI0MS1iYjIzLTg3NTJmMTU3MTc0MQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2E3L2VlLzA4L2M5YzYtNGUyNy1iZTk5LWU4N2YxNWNmZjczYw.xml,true,622377.0,2000.0,4.0,1620.0,"15, 2.",2017-04-10,2017-04-10,2017-04-10,0.0,30700228.0,35866485.0,30700228.0,2000000.0,2015-01-01,2015-12-31,9725060.0,2016-12-31,2016-01-01,-498448.0,true,2017-04-10,Revisionsp̴tegning,urn:ofk:oid:24011773,indberetninger-20180424,2.5124316,35866485.0,,2018-03-28T14:44:58.631Z,2017-05-31T13:32:00.203Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-70-UX,2017-05-31T13:32:00.594Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2015-01-01,2015-12-31,c4,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdhL2JhL2JhLzI4NTMtNGI0MS1iYjIzLTg3NTJmMTU3MTc0MQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2E3L2VlLzA4L2M5YzYtNGUyNy1iZTk5LWU4N2YxNWNmZjczYw.xml,true,622377.0,2000.0,4.0,1620.0,"15, 2.",2017-04-10,2017-04-10,2017-04-10,0.0,30700228.0,35866485.0,30700228.0,2000000.0,2015-01-01,2015-12-31,9725060.0,2016-12-31,2016-01-01,-498448.0,true,2017-04-10,Revisionsp̴tegning,urn:ofk:oid:24011773,indberetninger-20180424,2.5124316,35866485.0,,2018-03-28T14:44:58.631Z,2017-05-31T13:32:00.203Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-70-UX,2017-05-31T13:32:00.594Z,2746489.0,443009.0,-679.0,290387.0,9245135.0,5509571.0,1542731.0,0.0,450718.0,616040.0,2283836.0,0.0,12470870.0,14754706.0,6568620.0,2745810.0,2745810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2015-12-31,2015-12-31,c1294,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdhL2JhL2JhLzI4NTMtNGI0MS1iYjIzLTg3NTJmMTU3MTc0MQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2E3L2VlLzA4L2M5YzYtNGUyNy1iZTk5LWU4N2YxNWNmZjczYw.xml,true,622377.0,2000.0,4.0,1620.0,"15, 2.",2017-04-10,2017-04-10,2017-04-10,0.0,30700228.0,35866485.0,30700228.0,2000000.0,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,-498448.0,true,2017-04-10,Revisionsp̴tegning,urn:ofk:oid:24011773,indberetninger-20180424,2.5124316,35866485.0,,2018-03-28T14:44:58.631Z,2017-05-31T13:32:00.203Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-70-UX,2017-05-31T13:32:00.594Z,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2015-12-31,2015-12-31,c5,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdhL2JhL2JhLzI4NTMtNGI0MS1iYjIzLTg3NTJmMTU3MTc0MQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2E3L2VlLzA4L2M5YzYtNGUyNy1iZTk5LWU4N2YxNWNmZjczYw.xml,true,622377.0,2000.0,4.0,1620.0,"15, 2.",2017-04-10,2017-04-10,2017-04-10,0.0,30700228.0,35866485.0,30700228.0,2000000.0,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,-498448.0,true,2017-04-10,Revisionsp̴tegning,urn:ofk:oid:24011773,indberetninger-20180424,2.5124316,35866485.0,,2018-03-28T14:44:58.631Z,2017-05-31T13:32:00.203Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-70-UX,2017-05-31T13:32:00.594Z,,,,,,,,,,,,,,,,,,,106314944.0,1534610.0,2000000.0,3137401.0,28328611.0,103177543.0,106314944.0,75281792.0,73880314.0,54308990.0,18593292.0,103177543.0,978032.0,696985.0,146707.0,103177543.0,2704541.0,2704541.0,9576336.0,16752275.0,1401478.0,704493.0,1602791.0,1455405.0,0.0,679.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2016-01-01,2016-01-01,c225,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdhL2JhL2JhLzI4NTMtNGI0MS1iYjIzLTg3NTJmMTU3MTc0MQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2E3L2VlLzA4L2M5YzYtNGUyNy1iZTk5LWU4N2YxNWNmZjczYw.xml,true,622377.0,2000.0,4.0,1620.0,"15, 2.",2017-04-10,2017-04-10,2017-04-10,0.0,30700228.0,35866485.0,30700228.0,2000000.0,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,-498448.0,true,2017-04-10,Revisionsp̴tegning,urn:ofk:oid:24011773,indberetninger-20180424,2.5124316,35866485.0,,2018-03-28T14:44:58.631Z,2017-05-31T13:32:00.203Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-70-UX,2017-05-31T13:32:00.594Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9245135.0,93932408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2016-01-01,2016-01-01,c312,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdhL2JhL2JhLzI4NTMtNGI0MS1iYjIzLTg3NTJmMTU3MTc0MQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2E3L2VlLzA4L2M5YzYtNGUyNy1iZTk5LWU4N2YxNWNmZjczYw.xml,true,622377.0,2000.0,4.0,1620.0,"15, 2.",2017-04-10,2017-04-10,2017-04-10,0.0,30700228.0,35866485.0,30700228.0,2000000.0,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,-498448.0,true,2017-04-10,Revisionsp̴tegning,urn:ofk:oid:24011773,indberetninger-20180424,2.5124316,35866485.0,,2018-03-28T14:44:58.631Z,2017-05-31T13:32:00.203Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-70-UX,2017-05-31T13:32:00.594Z,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2016-01-01,2016-01-01,c321,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdhL2JhL2JhLzI4NTMtNGI0MS1iYjIzLTg3NTJmMTU3MTc0MQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2E3L2VlLzA4L2M5YzYtNGUyNy1iZTk5LWU4N2YxNWNmZjczYw.xml,true,622377.0,2000.0,4.0,1620.0,"15, 2.",2017-04-10,2017-04-10,2017-04-10,0.0,30700228.0,35866485.0,30700228.0,2000000.0,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,-498448.0,true,2017-04-10,Revisionsp̴tegning,urn:ofk:oid:24011773,indberetninger-20180424,2.5124316,35866485.0,,2018-03-28T14:44:58.631Z,2017-05-31T13:32:00.203Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-70-UX,2017-05-31T13:32:00.594Z,,,,,,,,,,,,,,,,,,,,,,,16752275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2016-01-01,2016-01-01,c351,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdhL2JhL2JhLzI4NTMtNGI0MS1iYjIzLTg3NTJmMTU3MTc0MQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2E3L2VlLzA4L2M5YzYtNGUyNy1iZTk5LWU4N2YxNWNmZjczYw.xml,true,622377.0,2000.0,4.0,1620.0,"15, 2.",2017-04-10,2017-04-10,2017-04-10,0.0,30700228.0,35866485.0,30700228.0,2000000.0,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,-498448.0,true,2017-04-10,Revisionsp̴tegning,urn:ofk:oid:24011773,indberetninger-20180424,2.5124316,35866485.0,,2018-03-28T14:44:58.631Z,2017-05-31T13:32:00.203Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-70-UX,2017-05-31T13:32:00.594Z,,,,,,,,,,,,,,,,,,,,,,,9576336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2016-01-01,2016-01-01,c393,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdhL2JhL2JhLzI4NTMtNGI0MS1iYjIzLTg3NTJmMTU3MTc0MQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2E3L2VlLzA4L2M5YzYtNGUyNy1iZTk5LWU4N2YxNWNmZjczYw.xml,true,622377.0,2000.0,4.0,1620.0,"15, 2.",2017-04-10,2017-04-10,2017-04-10,0.0,30700228.0,35866485.0,30700228.0,2000000.0,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,-498448.0,true,2017-04-10,Revisionsp̴tegning,urn:ofk:oid:24011773,indberetninger-20180424,2.5124316,35866485.0,,2018-03-28T14:44:58.631Z,2017-05-31T13:32:00.203Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-70-UX,2017-05-31T13:32:00.594Z,,,,,,,,,,,,,,,,,,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2016-01-01,2016-01-01,c396,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdhL2JhL2JhLzI4NTMtNGI0MS1iYjIzLTg3NTJmMTU3MTc0MQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2E3L2VlLzA4L2M5YzYtNGUyNy1iZTk5LWU4N2YxNWNmZjczYw.xml,true,622377.0,2000.0,4.0,1620.0,"15, 2.",2017-04-10,2017-04-10,2017-04-10,0.0,30700228.0,35866485.0,30700228.0,2000000.0,2015-01-01,2015-12-31,,2016-12-31,2016-01-01,-498448.0,true,2017-04-10,Revisionsp̴tegning,urn:ofk:oid:24011773,indberetninger-20180424,2.5124316,35866485.0,,2018-03-28T14:44:58.631Z,2017-05-31T13:32:00.203Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-70-UX,2017-05-31T13:32:00.594Z,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
