entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,NumberOfIssuedShares,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfPropertyPlantAndEquipment,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForDeferredTax,CostOfSales,CurrentTaxExpense,GainsLossesFromCurrentValueAdjustmentsOfFinancialInstrumentsFinanceExpenses,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossResult,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpense,TaxExpenseOnOrdinaryActivities,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherLongtermPayables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgress,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTradePayables,AccumulatedRevaluationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfAccountingPoliciesRelatedToDerivativeFinancialInstruments,DescriptionOfDevelopmentInActivitiesAndFinancialAffairs,DescriptionOfMethodsOfDividends,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCashAndCashEquivalents,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfPropertyCosts,DescriptionOfPrimaryActivitiesOfEntity,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,ExplanationOfOtherMethodsOfRecognitionAndMeasurementBasisForAssetsInPreviousPeriod,IdentificationOfApprovedAnnualReport,InformationOnAnyPartOfLiabilityFallingDueInMoreThanFiveYears,InformationOnAverageNumberOfEmployees,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,SignatureOfAuditorsPlace,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,NameOfAuditFirm,AdditionsToPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,IncreaseOfCapital,NameAndSurnameOfMemberOfExecutiveBoard,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueBetweenOneAndFiveYears,LongtermLiabilitiesOtherThanProvisionsDueInOneYear
35866485,2017-01-01,2017-12-31,c183,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzRhLzJjLzU2L2YzL2NmY2QtNDdhZC05YWNjLTNhMDJlZGZjOGY4ZQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzg0L2YyL2U3L2Q2LzQ1MWMtNDEwNi1iYWZiLTVkNjhkZDY5NDg5Ng.xml,true,2000.0,4.0,1620.0,149.0,2019-03-23,2019-03-23,2014-06-02,2019-03-23,30700228.0,35866485.0,30700228.0,2000000.0,2017-01-01,2017-12-31,0.0,2018-12-31,2018-01-01,1783378.0,true,2019-03-23,Revisionsp̴tegning,urn:ofk:oid:26907687,indberetninger-20180424,2.5097403999999996,35866485.0,AWnS_uQcRYGX6_YTGZHD,2019-03-31T09:05:46.038Z,2019-03-31T09:05:13.011Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-27-EX,2019-03-31T09:05:13.290Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2017-01-01,2017-12-31,c195,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzRhLzJjLzU2L2YzL2NmY2QtNDdhZC05YWNjLTNhMDJlZGZjOGY4ZQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzg0L2YyL2U3L2Q2LzQ1MWMtNDEwNi1iYWZiLTVkNjhkZDY5NDg5Ng.xml,true,2000.0,4.0,1620.0,149.0,2019-03-23,2019-03-23,2014-06-02,2019-03-23,30700228.0,35866485.0,30700228.0,2000000.0,2017-01-01,2017-12-31,6351426.0,2018-12-31,2018-01-01,1783378.0,true,2019-03-23,Revisionsp̴tegning,urn:ofk:oid:26907687,indberetninger-20180424,2.5097403999999996,35866485.0,AWnS_uQcRYGX6_YTGZHD,2019-03-31T09:05:46.038Z,2019-03-31T09:05:13.011Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-27-EX,2019-03-31T09:05:13.290Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2017-01-01,2017-12-31,c4,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzRhLzJjLzU2L2YzL2NmY2QtNDdhZC05YWNjLTNhMDJlZGZjOGY4ZQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzg0L2YyL2U3L2Q2LzQ1MWMtNDEwNi1iYWZiLTVkNjhkZDY5NDg5Ng.xml,true,2000.0,4.0,1620.0,149.0,2019-03-23,2019-03-23,2014-06-02,2019-03-23,30700228.0,35866485.0,30700228.0,2000000.0,2017-01-01,2017-12-31,6351426.0,2018-12-31,2018-01-01,1783378.0,true,2019-03-23,Revisionsp̴tegning,urn:ofk:oid:26907687,indberetninger-20180424,2.5097403999999996,35866485.0,AWnS_uQcRYGX6_YTGZHD,2019-03-31T09:05:46.038Z,2019-03-31T09:05:13.011Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-27-EX,2019-03-31T09:05:13.290Z,1559100.0,519899.0,232329.0,362809.0,4066979.0,6240478.0,1159011.0,180146.0,822928.0,630182.0,2344748.0,180146.0,8142855.0,10307457.0,7390559.0,1791429.0,1791429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2017-12-31,2017-12-31,c1294,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzRhLzJjLzU2L2YzL2NmY2QtNDdhZC05YWNjLTNhMDJlZGZjOGY4ZQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzg0L2YyL2U3L2Q2LzQ1MWMtNDEwNi1iYWZiLTVkNjhkZDY5NDg5Ng.xml,true,2000.0,4.0,1620.0,149.0,2019-03-23,2019-03-23,2014-06-02,2019-03-23,30700228.0,35866485.0,30700228.0,2000000.0,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,1783378.0,true,2019-03-23,Revisionsp̴tegning,urn:ofk:oid:26907687,indberetninger-20180424,2.5097403999999996,35866485.0,AWnS_uQcRYGX6_YTGZHD,2019-03-31T09:05:46.038Z,2019-03-31T09:05:13.011Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-27-EX,2019-03-31T09:05:13.290Z,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2017-12-31,2017-12-31,c5,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzRhLzJjLzU2L2YzL2NmY2QtNDdhZC05YWNjLTNhMDJlZGZjOGY4ZQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzg0L2YyL2U3L2Q2LzQ1MWMtNDEwNi1iYWZiLTVkNjhkZDY5NDg5Ng.xml,true,2000.0,4.0,1620.0,149.0,2019-03-23,2019-03-23,2014-06-02,2019-03-23,30700228.0,35866485.0,30700228.0,2000000.0,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,1783378.0,true,2019-03-23,Revisionsp̴tegning,urn:ofk:oid:26907687,indberetninger-20180424,2.5097403999999996,35866485.0,AWnS_uQcRYGX6_YTGZHD,2019-03-31T09:05:46.038Z,2019-03-31T09:05:13.011Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-27-EX,2019-03-31T09:05:13.290Z,,,,,,,,,,,,,,,,,,,120355689.0,1370675.0,2000000.0,11725389.0,37424259.0,108630300.0,120355689.0,78016190.0,73884182.0,54297978.0,18593292.0,108630300.0,992912.0,961273.0,1580.0,108630300.0,0.0,0.0,4915240.0,4915240.0,18671984.0,16752275.0,4132008.0,0.0,2727552.0,10354714.0,10353134.0,418756.0,24427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2018-01-01,2018-01-01,c225,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzRhLzJjLzU2L2YzL2NmY2QtNDdhZC05YWNjLTNhMDJlZGZjOGY4ZQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzg0L2YyL2U3L2Q2LzQ1MWMtNDEwNi1iYWZiLTVkNjhkZDY5NDg5Ng.xml,true,2000.0,4.0,1620.0,149.0,2019-03-23,2019-03-23,2014-06-02,2019-03-23,30700228.0,35866485.0,30700228.0,2000000.0,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,1783378.0,true,2019-03-23,Revisionsp̴tegning,urn:ofk:oid:26907687,indberetninger-20180424,2.5097403999999996,35866485.0,AWnS_uQcRYGX6_YTGZHD,2019-03-31T09:05:46.038Z,2019-03-31T09:05:13.011Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-27-EX,2019-03-31T09:05:13.290Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12608666.0,96021634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2018-01-01,2018-01-01,c246,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzRhLzJjLzU2L2YzL2NmY2QtNDdhZC05YWNjLTNhMDJlZGZjOGY4ZQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzg0L2YyL2U3L2Q2LzQ1MWMtNDEwNi1iYWZiLTVkNjhkZDY5NDg5Ng.xml,true,2000.0,4.0,1620.0,149.0,2019-03-23,2019-03-23,2014-06-02,2019-03-23,30700228.0,35866485.0,30700228.0,2000000.0,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,1783378.0,true,2019-03-23,Revisionsp̴tegning,urn:ofk:oid:26907687,indberetninger-20180424,2.5097403999999996,35866485.0,AWnS_uQcRYGX6_YTGZHD,2019-03-31T09:05:46.038Z,2019-03-31T09:05:13.011Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-27-EX,2019-03-31T09:05:13.290Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2018-01-01,2018-01-01,c312,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzRhLzJjLzU2L2YzL2NmY2QtNDdhZC05YWNjLTNhMDJlZGZjOGY4ZQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzg0L2YyL2U3L2Q2LzQ1MWMtNDEwNi1iYWZiLTVkNjhkZDY5NDg5Ng.xml,true,2000.0,4.0,1620.0,149.0,2019-03-23,2019-03-23,2014-06-02,2019-03-23,30700228.0,35866485.0,30700228.0,2000000.0,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,1783378.0,true,2019-03-23,Revisionsp̴tegning,urn:ofk:oid:26907687,indberetninger-20180424,2.5097403999999996,35866485.0,AWnS_uQcRYGX6_YTGZHD,2019-03-31T09:05:46.038Z,2019-03-31T09:05:13.011Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-27-EX,2019-03-31T09:05:13.290Z,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2018-01-01,2018-01-01,c321,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzRhLzJjLzU2L2YzL2NmY2QtNDdhZC05YWNjLTNhMDJlZGZjOGY4ZQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzg0L2YyL2U3L2Q2LzQ1MWMtNDEwNi1iYWZiLTVkNjhkZDY5NDg5Ng.xml,true,2000.0,4.0,1620.0,149.0,2019-03-23,2019-03-23,2014-06-02,2019-03-23,30700228.0,35866485.0,30700228.0,2000000.0,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,1783378.0,true,2019-03-23,Revisionsp̴tegning,urn:ofk:oid:26907687,indberetninger-20180424,2.5097403999999996,35866485.0,AWnS_uQcRYGX6_YTGZHD,2019-03-31T09:05:46.038Z,2019-03-31T09:05:13.011Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-27-EX,2019-03-31T09:05:13.290Z,,,,,,,,,,,,,,,,,,,,,,,16752275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866485,2018-01-01,2018-01-01,c351,,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzRhLzJjLzU2L2YzL2NmY2QtNDdhZC05YWNjLTNhMDJlZGZjOGY4ZQ.pdf,http://regnskaber.virk.dk/58466853/ZG9rdW1lbnRsYWdlcjovLzAzLzg0L2YyL2U3L2Q2LzQ1MWMtNDEwNi1iYWZiLTVkNjhkZDY5NDg5Ng.xml,true,2000.0,4.0,1620.0,149.0,2019-03-23,2019-03-23,2014-06-02,2019-03-23,30700228.0,35866485.0,30700228.0,2000000.0,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,1783378.0,true,2019-03-23,Revisionsp̴tegning,urn:ofk:oid:26907687,indberetninger-20180424,2.5097403999999996,35866485.0,AWnS_uQcRYGX6_YTGZHD,2019-03-31T09:05:46.038Z,2019-03-31T09:05:13.011Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-27-EX,2019-03-31T09:05:13.290Z,,,,,,,,,,,,,,,,,,,,,,,18671984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
