entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToIntangibleAssets,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,AmortisationOfIntangibleAssets,CollateralsForManagementCategory,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DebtRepaidByManagementCategory,DisposalsOfIntangibleAssets,Equity,FaxNumberOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,ImpairmentLossesAndAmortisationOfDisposedIntangibleAssets,InterestRateRelatedToOutstandingDebtFromManagementCategory,OutstandingDebtFromManagementCategory,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ReportingPeriodEndDate,ReportingPeriodStartDate,ReportingResponsibilitiesAccordingToTheDanishExecutiveOrderOnApprovedAuditorsReportsEspeciallyOtherMattersAudit,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,DividendPaid,AdjustmentsForDeferredTax,AverageNumberOfEmployees,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,EquityRatio,ExchangeRateAdjustmentsOtherFinanceExpenses,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherAdjustmentsOfFinanceIncome,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ResultsFromNetFinancials,ReturnOnCapitalEmployed,ReturnOnEquity,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,WritedownsOfCurrentAssetsOtherThanCurrentFinancialAssets,Assets,CashAndCashEquivalents,CompletedDevelopmentProjects,ContributedCapital,CurrentAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,IntangibleAssets,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,ReserveForDevelopmentExpenditure,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfFinancialDistrictName,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfAnyUncertaintyConnectedWithRecognitionOrMeasurement,DescriptionOfAnyUnusualMattersAffectingRecognitionOrMeasurement,DescriptionOfDevelopmentInActivitiesAndFinancialAffairs,DescriptionOfExpectedDevelopment,DescriptionOfMethodsOfDividends,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfGrossProfitLoss,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfLiabilitiesOtherThanProvisions,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfOtherOperatingIncomeAndExpenses,DescriptionOfMethodsOfStatingKeyFiguresAndFinancialRatiosIncludedInManagementReview,DescriptionOfPrimaryActivitiesOfEntity,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,DisclosureOfLiabilitiesUnderLeases,DisclosureOfOtherOperatingExpenses,HomepageOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnOutstandingDebtFromManagementCategory,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,SignatureOfAuditorsPlace,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,AdditionsToPropertyPlantAndEquipment,DepreciationOfPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,ReversalsOfImpairmentLossesOfPropertyPlantAndEquipmentFromPreviousPeriods,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
42888214,2017-01-01,2017-01-01,c2353,,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzYyLzZhLzVmLzU4ODQtNGViOS04ZTU5LThhNzE4ZWRjNzYxOQ.pdf,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2YyLzFmLzI3LzMzM2UtNGViMy1iMjRiLTY2NmZkZmI2MTcwOA.xml,610353.0,5700.0,44.0,5700.0,2.0,5700.0,1330438.0,0.0,2019-05-10,2019-05-10,1975-11-21,2019-05-10,65269.0,456595.0,1318615.0,63167081.0,30700228.0,42888214.0,30700228.0,-456595.0,0.0,0.0,2017-01-01,2017-12-31,2018-12-31,2018-01-01,true,true,2019-05-10,63167080.0,Revisionsp̴tegning,urn:ofk:oid:27131681,indberetninger-20180424,2.5124211,42888214.0,AWqyKarKRYGX6_YTHpRF,2019-05-13T17:08:16.813Z,2019-05-13T17:07:15.553Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-24-UN,2019-05-13T17:07:15.760Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42888214,2017-01-01,2017-01-01,c309,,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzYyLzZhLzVmLzU4ODQtNGViOS04ZTU5LThhNzE4ZWRjNzYxOQ.pdf,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2YyLzFmLzI3LzMzM2UtNGViMy1iMjRiLTY2NmZkZmI2MTcwOA.xml,610353.0,5700.0,44.0,5700.0,2.0,5700.0,1330438.0,0.0,2019-05-10,2019-05-10,1975-11-21,2019-05-10,65269.0,456595.0,500000.0,63167081.0,30700228.0,42888214.0,30700228.0,-456595.0,0.0,0.0,2017-01-01,2017-12-31,2018-12-31,2018-01-01,true,true,2019-05-10,63167080.0,Revisionsp̴tegning,urn:ofk:oid:27131681,indberetninger-20180424,2.5124211,42888214.0,AWqyKarKRYGX6_YTHpRF,2019-05-13T17:08:16.813Z,2019-05-13T17:07:15.553Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-24-UN,2019-05-13T17:07:15.760Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42888214,2017-01-01,2017-01-01,c354,,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzYyLzZhLzVmLzU4ODQtNGViOS04ZTU5LThhNzE4ZWRjNzYxOQ.pdf,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2YyLzFmLzI3LzMzM2UtNGViMy1iMjRiLTY2NmZkZmI2MTcwOA.xml,610353.0,5700.0,44.0,5700.0,2.0,5700.0,1330438.0,0.0,2019-05-10,2019-05-10,1975-11-21,2019-05-10,65269.0,456595.0,3033941.0,63167081.0,30700228.0,42888214.0,30700228.0,-456595.0,0.0,0.0,2017-01-01,2017-12-31,2018-12-31,2018-01-01,true,true,2019-05-10,63167080.0,Revisionsp̴tegning,urn:ofk:oid:27131681,indberetninger-20180424,2.5124211,42888214.0,AWqyKarKRYGX6_YTHpRF,2019-05-13T17:08:16.813Z,2019-05-13T17:07:15.553Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-24-UN,2019-05-13T17:07:15.760Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42888214,2017-01-01,2017-01-01,c360,,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzYyLzZhLzVmLzU4ODQtNGViOS04ZTU5LThhNzE4ZWRjNzYxOQ.pdf,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2YyLzFmLzI3LzMzM2UtNGViMy1iMjRiLTY2NmZkZmI2MTcwOA.xml,610353.0,5700.0,44.0,5700.0,2.0,5700.0,1330438.0,0.0,2019-05-10,2019-05-10,1975-11-21,2019-05-10,65269.0,456595.0,2500000.0,63167081.0,30700228.0,42888214.0,30700228.0,-456595.0,0.0,0.0,2017-01-01,2017-12-31,2018-12-31,2018-01-01,true,true,2019-05-10,63167080.0,Revisionsp̴tegning,urn:ofk:oid:27131681,indberetninger-20180424,2.5124211,42888214.0,AWqyKarKRYGX6_YTHpRF,2019-05-13T17:08:16.813Z,2019-05-13T17:07:15.553Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-24-UN,2019-05-13T17:07:15.760Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42888214,2017-01-01,2017-12-31,c173,,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzYyLzZhLzVmLzU4ODQtNGViOS04ZTU5LThhNzE4ZWRjNzYxOQ.pdf,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2YyLzFmLzI3LzMzM2UtNGViMy1iMjRiLTY2NmZkZmI2MTcwOA.xml,610353.0,5700.0,44.0,5700.0,2.0,5700.0,1330438.0,0.0,2019-05-10,2019-05-10,1975-11-21,2019-05-10,65269.0,456595.0,,63167081.0,30700228.0,42888214.0,30700228.0,-456595.0,0.0,0.0,2017-01-01,2017-12-31,2018-12-31,2018-01-01,true,true,2019-05-10,63167080.0,Revisionsp̴tegning,urn:ofk:oid:27131681,indberetninger-20180424,2.5124211,42888214.0,AWqyKarKRYGX6_YTHpRF,2019-05-13T17:08:16.813Z,2019-05-13T17:07:15.553Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-24-UN,2019-05-13T17:07:15.760Z,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42888214,2017-01-01,2017-12-31,c189,,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzYyLzZhLzVmLzU4ODQtNGViOS04ZTU5LThhNzE4ZWRjNzYxOQ.pdf,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2YyLzFmLzI3LzMzM2UtNGViMy1iMjRiLTY2NmZkZmI2MTcwOA.xml,610353.0,5700.0,44.0,5700.0,2.0,5700.0,1330438.0,0.0,2019-05-10,2019-05-10,1975-11-21,2019-05-10,65269.0,456595.0,,63167081.0,30700228.0,42888214.0,30700228.0,-456595.0,0.0,0.0,2017-01-01,2017-12-31,2018-12-31,2018-01-01,true,true,2019-05-10,63167080.0,Revisionsp̴tegning,urn:ofk:oid:27131681,indberetninger-20180424,2.5124211,42888214.0,AWqyKarKRYGX6_YTHpRF,2019-05-13T17:08:16.813Z,2019-05-13T17:07:15.553Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-24-UN,2019-05-13T17:07:15.760Z,332910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42888214,2017-01-01,2017-12-31,c195,,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzYyLzZhLzVmLzU4ODQtNGViOS04ZTU5LThhNzE4ZWRjNzYxOQ.pdf,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2YyLzFmLzI3LzMzM2UtNGViMy1iMjRiLTY2NmZkZmI2MTcwOA.xml,610353.0,5700.0,44.0,5700.0,2.0,5700.0,1330438.0,0.0,2019-05-10,2019-05-10,1975-11-21,2019-05-10,65269.0,456595.0,,63167081.0,30700228.0,42888214.0,30700228.0,-456595.0,0.0,0.0,2017-01-01,2017-12-31,2018-12-31,2018-01-01,true,true,2019-05-10,63167080.0,Revisionsp̴tegning,urn:ofk:oid:27131681,indberetninger-20180424,2.5124211,42888214.0,AWqyKarKRYGX6_YTHpRF,2019-05-13T17:08:16.813Z,2019-05-13T17:07:15.553Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-24-UN,2019-05-13T17:07:15.760Z,-43531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42888214,2017-01-01,2017-12-31,c2354,,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzYyLzZhLzVmLzU4ODQtNGViOS04ZTU5LThhNzE4ZWRjNzYxOQ.pdf,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2YyLzFmLzI3LzMzM2UtNGViMy1iMjRiLTY2NmZkZmI2MTcwOA.xml,610353.0,5700.0,44.0,5700.0,2.0,5700.0,1330438.0,0.0,2019-05-10,2019-05-10,1975-11-21,2019-05-10,65269.0,456595.0,,63167081.0,30700228.0,42888214.0,30700228.0,-456595.0,0.0,0.0,2017-01-01,2017-12-31,2018-12-31,2018-01-01,true,true,2019-05-10,63167080.0,Revisionsp̴tegning,urn:ofk:oid:27131681,indberetninger-20180424,2.5124211,42888214.0,AWqyKarKRYGX6_YTHpRF,2019-05-13T17:08:16.813Z,2019-05-13T17:07:15.553Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-24-UN,2019-05-13T17:07:15.760Z,332910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42888214,2017-01-01,2017-12-31,c355,,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzYyLzZhLzVmLzU4ODQtNGViOS04ZTU5LThhNzE4ZWRjNzYxOQ.pdf,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2YyLzFmLzI3LzMzM2UtNGViMy1iMjRiLTY2NmZkZmI2MTcwOA.xml,610353.0,5700.0,44.0,5700.0,2.0,5700.0,1330438.0,0.0,2019-05-10,2019-05-10,1975-11-21,2019-05-10,65269.0,456595.0,,63167081.0,30700228.0,42888214.0,30700228.0,-456595.0,0.0,0.0,2017-01-01,2017-12-31,2018-12-31,2018-01-01,true,true,2019-05-10,63167080.0,Revisionsp̴tegning,urn:ofk:oid:27131681,indberetninger-20180424,2.5124211,42888214.0,AWqyKarKRYGX6_YTHpRF,2019-05-13T17:08:16.813Z,2019-05-13T17:07:15.553Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-24-UN,2019-05-13T17:07:15.760Z,-43531.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42888214,2017-01-01,2017-12-31,c361,,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzYyLzZhLzVmLzU4ODQtNGViOS04ZTU5LThhNzE4ZWRjNzYxOQ.pdf,http://regnskaber.virk.dk/41288824/ZG9rdW1lbnRsYWdlcjovLzAzL2FiL2YyLzFmLzI3LzMzM2UtNGViMy1iMjRiLTY2NmZkZmI2MTcwOA.xml,610353.0,5700.0,44.0,5700.0,2.0,5700.0,1330438.0,0.0,2019-05-10,2019-05-10,1975-11-21,2019-05-10,65269.0,456595.0,,63167081.0,30700228.0,42888214.0,30700228.0,-456595.0,0.0,0.0,2017-01-01,2017-12-31,2018-12-31,2018-01-01,true,true,2019-05-10,63167080.0,Revisionsp̴tegning,urn:ofk:oid:27131681,indberetninger-20180424,2.5124211,42888214.0,AWqyKarKRYGX6_YTHpRF,2019-05-13T17:08:16.813Z,2019-05-13T17:07:15.553Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-24-UN,2019-05-13T17:07:15.760Z,2100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
