entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityCountry,AddressOfReportingEntityCountryIdentificationCode,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,ExplanationOfNotDisclosingCashFlowsStatements,FaxNumberOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,InvestmentsGross,LinkToStatementOfCorporateSocialResponsibility,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,NominalValueOfIssuedShares,NumberOfIssuedShares,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProvisionsForInvestmentsInGroupEnterprises,Equity,AdditionsToInvestments,AdjustmentsOfHedgingInstrumentsAtFairValueOfInvestments,AmortisationOfGoodwillOfInvestments,DividendIncomeRelatedToInvestments,IncreaseDecreaseOfRevaluationsAndDevaluationsOfInvestmentsThroughNetExchangeDifferences,InvestmentsWithNegativeEquityTransferredToProvisions,OtherChangesInEquityOfInvestmentsNet,ProfitLossRelatedToInvestments,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AdministrativeExpenses,AverageNumberOfEmployees,CurrentTaxExpense,EquityRatio,ExchangeRateLoss,ExchangeRateProfit,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,ProfitLoss,ResultsFromNetFinancials,ReturnOnCapitalEmployed,ReturnOnEquity,TaxExpense,IncreaseDecreaseOfInvestmentsThroughNetExchangeDifferencesEquity,ValueAdjustmentsOfEquity,AdjustmentsOfHedgingInstrumentsAtFairValue,DistributedDividendsFromGroupEnterprises,LongtermInvestmentsAndReceivables,Assets,ContributedCapital,CurrentAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherProvisions,OtherShorttermPayables,OtherShorttermReceivables,Provisions,RawMaterialsAndConsumables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionMethodsOfRecognitionAndMeasurementBasisForCashFlowsStatement,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfAdministrativeExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCostOfProduction,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfIncomeAndExpensesFromInvestmentsInGroupEnterprisesAndAssociates,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfLiabilitiesOtherThanProvisions,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfProvisions,DescriptionOfQualificationsOfAuditedFinancialStatements,DisclosureOfSignificantEventsOccurringAfterEndOfReportingPeriod,IdentificationOfApprovedAnnualReport,InformationOnClassesOfIssuedShares,InformationOnOmissionOfConsolidatedFinancialStatement,InformationOnRelatedEntities,InformationOnTransactionsWithRelatedPartiesConcludedUnderNormalMarketConditions,ManagementsStatementAboutManagementsReview,RecommendationForApprovalOfAnnualReportByGeneralMeeting,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
28118201,2016-01-01,2016-01-01,c311,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzk1LzdiLzg5L2NiZTEtNDNkMS05NWRjLWRjOWU5MDczMGI1Yg.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RlL2E3LzdlLzkzZjctNGFhMS04MjEzLWM2ZGU3NDZlMmRlZg.xml,284148000.0,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, mellemstor virksomhed",2018-05-31,2004-09-30,2018-05-31,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,837464000.0,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2016-01-01,2016-12-31,Aarhus,2017-12-31,2017-01-01,2018-05-31,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:25765043,indberetninger-20180424,2.3611937000000003,28118201.0,AWPhC10l0wkEsASktj1N,2018-06-08T20:17:37.399Z,2018-06-08T20:16:45.354Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-74-CV,2018-06-08T20:16:47.321Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2016-01-01,2016-01-01,c62,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzk1LzdiLzg5L2NiZTEtNDNkMS05NWRjLWRjOWU5MDczMGI1Yg.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RlL2E3LzdlLzkzZjctNGFhMS04MjEzLWM2ZGU3NDZlMmRlZg.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, mellemstor virksomhed",2018-05-31,2004-09-30,2018-05-31,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2016-01-01,2016-12-31,Aarhus,2017-12-31,2017-01-01,2018-05-31,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:25765043,indberetninger-20180424,2.3611937000000003,28118201.0,AWPhC10l0wkEsASktj1N,2018-06-08T20:17:37.399Z,2018-06-08T20:16:45.354Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-74-CV,2018-06-08T20:16:47.321Z,294127000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2016-01-01,2016-01-01,c843,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzk1LzdiLzg5L2NiZTEtNDNkMS05NWRjLWRjOWU5MDczMGI1Yg.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RlL2E3LzdlLzkzZjctNGFhMS04MjEzLWM2ZGU3NDZlMmRlZg.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, mellemstor virksomhed",2018-05-31,2004-09-30,2018-05-31,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2016-01-01,2016-12-31,Aarhus,2017-12-31,2017-01-01,2018-05-31,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:25765043,indberetninger-20180424,2.3611937000000003,28118201.0,AWPhC10l0wkEsASktj1N,2018-06-08T20:17:37.399Z,2018-06-08T20:16:45.354Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-74-CV,2018-06-08T20:16:47.321Z,,50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2016-01-01,2016-01-01,c858,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzk1LzdiLzg5L2NiZTEtNDNkMS05NWRjLWRjOWU5MDczMGI1Yg.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RlL2E3LzdlLzkzZjctNGFhMS04MjEzLWM2ZGU3NDZlMmRlZg.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, mellemstor virksomhed",2018-05-31,2004-09-30,2018-05-31,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2016-01-01,2016-12-31,Aarhus,2017-12-31,2017-01-01,2018-05-31,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:25765043,indberetninger-20180424,2.3611937000000003,28118201.0,AWPhC10l0wkEsASktj1N,2018-06-08T20:17:37.399Z,2018-06-08T20:16:45.354Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-74-CV,2018-06-08T20:16:47.321Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2016-01-01,2016-01-01,c861,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzk1LzdiLzg5L2NiZTEtNDNkMS05NWRjLWRjOWU5MDczMGI1Yg.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RlL2E3LzdlLzkzZjctNGFhMS04MjEzLWM2ZGU3NDZlMmRlZg.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, mellemstor virksomhed",2018-05-31,2004-09-30,2018-05-31,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2016-01-01,2016-12-31,Aarhus,2017-12-31,2017-01-01,2018-05-31,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:25765043,indberetninger-20180424,2.3611937000000003,28118201.0,AWPhC10l0wkEsASktj1N,2018-06-08T20:17:37.399Z,2018-06-08T20:16:45.354Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-74-CV,2018-06-08T20:16:47.321Z,,1003594000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2016-01-01,2016-12-31,c313,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzk1LzdiLzg5L2NiZTEtNDNkMS05NWRjLWRjOWU5MDczMGI1Yg.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RlL2E3LzdlLzkzZjctNGFhMS04MjEzLWM2ZGU3NDZlMmRlZg.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, mellemstor virksomhed",2018-05-31,2004-09-30,2018-05-31,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2016-01-01,2016-12-31,Aarhus,2017-12-31,2017-01-01,2018-05-31,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:25765043,indberetninger-20180424,2.3611937000000003,28118201.0,AWPhC10l0wkEsASktj1N,2018-06-08T20:17:37.399Z,2018-06-08T20:16:45.354Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-74-CV,2018-06-08T20:16:47.321Z,,,26548000.0,-235869000.0,-15000000.0,-9359000.0,36781000.0,-86217000.0,-14207000.0,-12095000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2016-01-01,2016-12-31,c387,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzk1LzdiLzg5L2NiZTEtNDNkMS05NWRjLWRjOWU5MDczMGI1Yg.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RlL2E3LzdlLzkzZjctNGFhMS04MjEzLWM2ZGU3NDZlMmRlZg.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, mellemstor virksomhed",2018-05-31,2004-09-30,2018-05-31,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2016-01-01,2016-12-31,Aarhus,2017-12-31,2017-01-01,2018-05-31,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:25765043,indberetninger-20180424,2.3611937000000003,28118201.0,AWPhC10l0wkEsASktj1N,2018-06-08T20:17:37.399Z,2018-06-08T20:16:45.354Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-74-CV,2018-06-08T20:16:47.321Z,,,,,,,,,,,-29000.0,477000.0,136000.0,0.0,187000.0,47.3,8053000.0,0.0,13536000.0,-27095000.0,5371000.0,1613000.0,13424000.0,2949000.0,0.0,1336000.0,-24805000.0,-38000000.0,0.7,-2.7,635000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2016-01-01,2016-12-31,c456,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzk1LzdiLzg5L2NiZTEtNDNkMS05NWRjLWRjOWU5MDczMGI1Yg.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RlL2E3LzdlLzkzZjctNGFhMS04MjEzLWM2ZGU3NDZlMmRlZg.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, mellemstor virksomhed",2018-05-31,2004-09-30,2018-05-31,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2016-01-01,2016-12-31,Aarhus,2017-12-31,2017-01-01,2018-05-31,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:25765043,indberetninger-20180424,2.3611937000000003,28118201.0,AWPhC10l0wkEsASktj1N,2018-06-08T20:17:37.399Z,2018-06-08T20:16:45.354Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-74-CV,2018-06-08T20:16:47.321Z,,,,,,,,,,,,,,,,,,,,,,,,,,,222654000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2016-01-01,2016-12-31,c58,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzk1LzdiLzg5L2NiZTEtNDNkMS05NWRjLWRjOWU5MDczMGI1Yg.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RlL2E3LzdlLzkzZjctNGFhMS04MjEzLWM2ZGU3NDZlMmRlZg.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, mellemstor virksomhed",2018-05-31,2004-09-30,2018-05-31,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2016-01-01,2016-12-31,Aarhus,2017-12-31,2017-01-01,2018-05-31,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:25765043,indberetninger-20180424,2.3611937000000003,28118201.0,AWPhC10l0wkEsASktj1N,2018-06-08T20:17:37.399Z,2018-06-08T20:16:45.354Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-74-CV,2018-06-08T20:16:47.321Z,,,,,,,,,,,,,,,,,,,,,,,,,,,-247459000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2016-01-01,2016-12-31,c844,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhmLzk1LzdiLzg5L2NiZTEtNDNkMS05NWRjLWRjOWU5MDczMGI1Yg.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RlL2E3LzdlLzkzZjctNGFhMS04MjEzLWM2ZGU3NDZlMmRlZg.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, mellemstor virksomhed",2018-05-31,2004-09-30,2018-05-31,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2016-01-01,2016-12-31,Aarhus,2017-12-31,2017-01-01,2018-05-31,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:25765043,indberetninger-20180424,2.3611937000000003,28118201.0,AWPhC10l0wkEsASktj1N,2018-06-08T20:17:37.399Z,2018-06-08T20:16:45.354Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-74-CV,2018-06-08T20:16:47.321Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
