entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityCountry,AddressOfReportingEntityCountryIdentificationCode,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,ExplanationOfNotDisclosingCashFlowsStatements,FaxNumberOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,InvestmentsGross,LinkToStatementOfCorporateSocialResponsibility,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,NominalValueOfIssuedShares,NumberOfIssuedShares,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProvisionsForInvestmentsInGroupEnterprises,AdditionsToInvestments,AdjustmentsOfHedgingInstrumentsAtFairValueOfInvestments,DividendIncomeRelatedToInvestments,IncreaseDecreaseOfImpairmentLossesAndDepreciationOfInvestmentsThroughChangesInAccountingPolicies,IncreaseDecreaseOfRevaluationsAndDevaluationsOfInvestmentsThroughNetExchangeDifferences,InvestmentsWithNegativeEquityTransferredToProvisions,OtherChangesInEquityOfInvestmentsNet,ProfitLossRelatedToInvestments,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AdministrativeExpenses,AverageNumberOfEmployees,CostOfProduction,CurrentTaxExpense,EquityRatio,ExchangeRateLoss,ExchangeRateProfit,GrossResult,IncomeFromInvestmentsInGroupEnterprises,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,ProfitLoss,ResultsFromNetFinancials,ReturnOnCapitalEmployed,ReturnOnEquity,Revenue,TaxExpense,LongtermInvestmentsAndReceivables,Assets,ContributedCapital,CurrentAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherProvisions,OtherShorttermReceivables,Provisions,RawMaterialsAndConsumables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionMethodsOfRecognitionAndMeasurementBasisForCashFlowsStatement,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfAdministrativeExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCostOfProduction,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfIncomeAndExpensesFromInvestmentsInGroupEnterprisesAndAssociates,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfLiabilitiesOtherThanProvisions,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfProvisions,DescriptionOfQualificationsOfAuditedFinancialStatements,DisclosureOfSignificantEventsOccurringAfterEndOfReportingPeriod,IdentificationOfApprovedAnnualReport,InformationOnClassesOfIssuedShares,InformationOnOmissionOfConsolidatedFinancialStatement,InformationOnRelatedEntities,InformationOnTransactionsWithRelatedPartiesConcludedUnderNormalMarketConditions,ManagementsStatementAboutManagementsReview,RecommendationForApprovalOfAnnualReportByGeneralMeeting,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,IncreaseDecreaseOfEquityThroughChangesInAccountingPolicies,IncreaseDecreaseOfInvestmentsThroughNetExchangeDifferencesEquity,ValueAdjustmentsOfEquity,AdjustmentsOfHedgingInstrumentsAtFairValue,DistributedDividendsFromAssociates,DistributedDividendsFromGroupEnterprises,ProfitLlossFromGroupEnterprises,NameAndSurnameOfMemberOfSupervisoryBoard
28118201,2017-01-01,2017-01-01,c311,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzIyL2E4LzM0L2NiLzIzZGItNDkxYi1iYTc4LTA2NTIyYWIwMjg5Mw.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhhLzIxL2I1L2IxL2EyZDctNDU2NC1hYzlmLWY1NWVhNDEwM2UxYw.xml,-51818000.0,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, stor virksomhed",2019-06-06,2004-09-30,2019-06-06,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,864012000.0,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2017-01-01,2017-12-31,Aarhus,2018-12-31,2018-01-01,2019-06-06,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:27534752,indberetninger-20180424,2.3631822999999996,28118201.0,AWtrMwtOjptzAuyFil1R,2019-06-18T15:27:23.729Z,2019-06-18T15:27:13.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-51-KF,2019-06-18T15:27:15.363Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2017-01-01,2017-01-01,c62,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzIyL2E4LzM0L2NiLzIzZGItNDkxYi1iYTc4LTA2NTIyYWIwMjg5Mw.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhhLzIxL2I1L2IxL2EyZDctNDU2NC1hYzlmLWY1NWVhNDEwM2UxYw.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, stor virksomhed",2019-06-06,2004-09-30,2019-06-06,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2017-01-01,2017-12-31,Aarhus,2018-12-31,2018-01-01,2019-06-06,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:27534752,indberetninger-20180424,2.3631822999999996,28118201.0,AWtrMwtOjptzAuyFil1R,2019-06-18T15:27:23.729Z,2019-06-18T15:27:13.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-51-KF,2019-06-18T15:27:15.363Z,207910000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2017-01-01,2017-12-31,c313,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzIyL2E4LzM0L2NiLzIzZGItNDkxYi1iYTc4LTA2NTIyYWIwMjg5Mw.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhhLzIxL2I1L2IxL2EyZDctNDU2NC1hYzlmLWY1NWVhNDEwM2UxYw.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, stor virksomhed",2019-06-06,2004-09-30,2019-06-06,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2017-01-01,2017-12-31,Aarhus,2018-12-31,2018-01-01,2019-06-06,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:27534752,indberetninger-20180424,2.3631822999999996,28118201.0,AWtrMwtOjptzAuyFil1R,2019-06-18T15:27:23.729Z,2019-06-18T15:27:13.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-51-KF,2019-06-18T15:27:15.363Z,,5622000.0,86374000.0,-9034000.0,0.0,-62815000.0,36998000.0,-10205000.0,321803000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2017-01-01,2017-12-31,c387,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzIyL2E4LzM0L2NiLzIzZGItNDkxYi1iYTc4LTA2NTIyYWIwMjg5Mw.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhhLzIxL2I1L2IxL2EyZDctNDU2NC1hYzlmLWY1NWVhNDEwM2UxYw.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, stor virksomhed",2019-06-06,2004-09-30,2019-06-06,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2017-01-01,2017-12-31,Aarhus,2018-12-31,2018-01-01,2019-06-06,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:27534752,indberetninger-20180424,2.3631822999999996,28118201.0,AWtrMwtOjptzAuyFil1R,2019-06-18T15:27:23.729Z,2019-06-18T15:27:13.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-51-KF,2019-06-18T15:27:15.363Z,,,,,,,,,,-5460000.0,20000.0,2937000.0,0.0,1576600000.0,23076000.0,36.0,57793000.0,92937000.0,78606000.0,321803000.0,9513000.0,3689000.0,67385000.0,96699000.0,79000.0,73000.0,409150000.0,351000000.0,2.9,39.7,1655206000.0,17636000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2017-01-01,2017-12-31,c456,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzIyL2E4LzM0L2NiLzIzZGItNDkxYi1iYTc4LTA2NTIyYWIwMjg5Mw.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhhLzIxL2I1L2IxL2EyZDctNDU2NC1hYzlmLWY1NWVhNDEwM2UxYw.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, stor virksomhed",2019-06-06,2004-09-30,2019-06-06,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2017-01-01,2017-12-31,Aarhus,2018-12-31,2018-01-01,2019-06-06,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:27534752,indberetninger-20180424,2.3631822999999996,28118201.0,AWtrMwtOjptzAuyFil1R,2019-06-18T15:27:23.729Z,2019-06-18T15:27:13.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-51-KF,2019-06-18T15:27:15.363Z,,,,,,,,,,,,,,,,,,,,,,,,,,,62075000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2017-01-01,2017-12-31,c58,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzIyL2E4LzM0L2NiLzIzZGItNDkxYi1iYTc4LTA2NTIyYWIwMjg5Mw.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhhLzIxL2I1L2IxL2EyZDctNDU2NC1hYzlmLWY1NWVhNDEwM2UxYw.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, stor virksomhed",2019-06-06,2004-09-30,2019-06-06,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2017-01-01,2017-12-31,Aarhus,2018-12-31,2018-01-01,2019-06-06,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:27534752,indberetninger-20180424,2.3631822999999996,28118201.0,AWtrMwtOjptzAuyFil1R,2019-06-18T15:27:23.729Z,2019-06-18T15:27:13.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-51-KF,2019-06-18T15:27:15.363Z,,,,,,,,,,,,,,,,,,,,,,,,,,,347075000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2017-12-31,2017-12-31,c315,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzIyL2E4LzM0L2NiLzIzZGItNDkxYi1iYTc4LTA2NTIyYWIwMjg5Mw.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhhLzIxL2I1L2IxL2EyZDctNDU2NC1hYzlmLWY1NWVhNDEwM2UxYw.xml,311303000.0,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, stor virksomhed",2019-06-06,2004-09-30,2019-06-06,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,869634000.0,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2017-01-01,2017-12-31,Aarhus,2018-12-31,2018-01-01,2019-06-06,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:27534752,indberetninger-20180424,2.3631822999999996,28118201.0,AWtrMwtOjptzAuyFil1R,2019-06-18T15:27:23.729Z,2019-06-18T15:27:13.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-51-KF,2019-06-18T15:27:15.363Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180937000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2017-12-31,2017-12-31,c59,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzIyL2E4LzM0L2NiLzIzZGItNDkxYi1iYTc4LTA2NTIyYWIwMjg5Mw.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhhLzIxL2I1L2IxL2EyZDctNDU2NC1hYzlmLWY1NWVhNDEwM2UxYw.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, stor virksomhed",2019-06-06,2004-09-30,2019-06-06,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2017-01-01,2017-12-31,Aarhus,2018-12-31,2018-01-01,2019-06-06,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:27534752,indberetninger-20180424,2.3631822999999996,28118201.0,AWtrMwtOjptzAuyFil1R,2019-06-18T15:27:23.729Z,2019-06-18T15:27:13.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-51-KF,2019-06-18T15:27:15.363Z,244908000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180937000.0,3456789000.0,50000000.0,2275852000.0,1246434000.0,791594000.0,3456789000.0,1933320000.0,1180937000.0,1180937000.0,32127000.0,72519000.0,277035000.0,791594000.0,66395000.0,1130039000.0,1933320000.0,300812000.0,1460973000.0,1484258000.0,1385202000.0,23076000.0,0.0,148459000.0,26537000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2018-01-01,2018-01-01,c156,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzIyL2E4LzM0L2NiLzIzZGItNDkxYi1iYTc4LTA2NTIyYWIwMjg5Mw.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhhLzIxL2I1L2IxL2EyZDctNDU2NC1hYzlmLWY1NWVhNDEwM2UxYw.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, stor virksomhed",2019-06-06,2004-09-30,2019-06-06,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2017-01-01,2017-12-31,Aarhus,2018-12-31,2018-01-01,2019-06-06,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:27534752,indberetninger-20180424,2.3631822999999996,28118201.0,AWtrMwtOjptzAuyFil1R,2019-06-18T15:27:23.729Z,2019-06-18T15:27:13.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-51-KF,2019-06-18T15:27:15.363Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28118201,2018-01-01,2018-01-01,c168,,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzIyL2E4LzM0L2NiLzIzZGItNDkxYi1iYTc4LTA2NTIyYWIwMjg5Mw.pdf,http://regnskaber.virk.dk/10281182/ZG9rdW1lbnRsYWdlcjovLzAzLzhhLzIxL2I1L2IxL2EyZDctNDU2NC1hYzlmLWY1NWVhNDEwM2UxYw.xml,,Danmark,DK,Hellerup,2900.0,44.0,Strandvejen,Danmark,DK,Aarhus N,8200.0,42.0,Hedeager,8200 Aarhus N,Hedeager 42,"Regnskabsklasse C, stor virksomhed",2019-06-06,2004-09-30,2019-06-06,"Der er ikke udarbejdet pengestrÃ¸msopgÃ¸relse for moderselskabet, idet moderselskabets pengestrÃ¸mme er indeholdt i pengestrÃ¸msopgÃ¸relsen for koncernen.",+45 97 30 00 01,www.vestas.com,33771231.0,28118201.0,28118201.0,Ãrsrapport,,"Med henvisning til ÃRLÂ§ 99a, stk. 6 gives oplys-ninger om samfundsansvar, herunder hensyn til menneskerettigheder, sociale forhold, miljÃ¸- og klimamÃ¦ssige forhold samt bekÃ¦mpelse af korruption i Ã¥rsrapporten for moderselskabet Vestas Wind Systems A/S.",Anita RÃ¸ndbjerg,Juan Araluce Martinez de Azagra,Vestas Mediterranean A/S,Vestas Mediterranean A/S,100.0,500000.0,2017-01-01,2017-12-31,Aarhus,2018-12-31,2018-01-01,2019-06-06,Hellerup,+45 97 30 00 00,formand,RevisionspÃ¥tegning,urn:ofk:oid:27534752,indberetninger-20180424,2.3631822999999996,28118201.0,AWtrMwtOjptzAuyFil1R,2019-06-18T15:27:23.729Z,2019-06-18T15:27:13.112Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-51-KF,2019-06-18T15:27:15.363Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66395000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
