entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermTradePayables
29917108,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2VhLzczLzZkL2ViMWEtNDg2Zi1iMGFmLTllOTYyY2RlZTgzMQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzUxLzQ1L2IzL2VlZmMtNDBiNy04YjFiLTA2NDE4ZTBlYTUzOA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzE3LzQ1L2YzL2NmLzNmYmQtNDRmZi1iNTkwLWQ4NWZhZTc4ZGRjMA.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2018-04-11,2018-04-11,6843.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",10690.0,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,PCBY ApS,Gentofte,2016-01-01,2016-12-31,3847.0,3847.0,3847.0,2017-12-31,2017-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:25291042,indberetninger-20180424,2.5955422,29917108.0,AWK0VM1lx8uVRSOdfm5H,2018-04-11T10:51:41.500Z,2018-04-11T10:51:17.398Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-64-NQ,2018-04-11T10:51:17.594Z,,,,,,,,,,,,,,
29917108,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2VhLzczLzZkL2ViMWEtNDg2Zi1iMGFmLTllOTYyY2RlZTgzMQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzUxLzQ1L2IzL2VlZmMtNDBiNy04YjFiLTA2NDE4ZTBlYTUzOA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzE3LzQ1L2YzL2NmLzNmYmQtNDRmZi1iNTkwLWQ4NWZhZTc4ZGRjMA.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2018-04-11,2018-04-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,PCBY ApS,Gentofte,2016-01-01,2016-12-31,3847.0,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25291042,indberetninger-20180424,2.5955422,29917108.0,AWK0VM1lx8uVRSOdfm5H,2018-04-11T10:51:41.500Z,2018-04-11T10:51:17.398Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-64-NQ,2018-04-11T10:51:17.594Z,,,,,,,,,,,,,,
29917108,2016-12-31,2016-12-31,c6,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2VhLzczLzZkL2ViMWEtNDg2Zi1iMGFmLTllOTYyY2RlZTgzMQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzUxLzQ1L2IzL2VlZmMtNDBiNy04YjFiLTA2NDE4ZTBlYTUzOA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzE3LzQ1L2YzL2NmLzNmYmQtNDRmZi1iNTkwLWQ4NWZhZTc4ZGRjMA.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2018-04-11,2018-04-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,PCBY ApS,Gentofte,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25291042,indberetninger-20180424,2.5955422,29917108.0,AWK0VM1lx8uVRSOdfm5H,2018-04-11T10:51:41.500Z,2018-04-11T10:51:17.398Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-64-NQ,2018-04-11T10:51:17.594Z,0.0,0.0,125000.0,0.0,-426719.0,0.0,0.0,426719.0,0.0,0.0,-551719.0,426719.0,392719.0,34000.0
29917108,2017-01-01,2017-01-01,c7,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2VhLzczLzZkL2ViMWEtNDg2Zi1iMGFmLTllOTYyY2RlZTgzMQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzUxLzQ1L2IzL2VlZmMtNDBiNy04YjFiLTA2NDE4ZTBlYTUzOA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzE3LzQ1L2YzL2NmLzNmYmQtNDRmZi1iNTkwLWQ4NWZhZTc4ZGRjMA.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2018-04-11,2018-04-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,PCBY ApS,Gentofte,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25291042,indberetninger-20180424,2.5955422,29917108.0,AWK0VM1lx8uVRSOdfm5H,2018-04-11T10:51:41.500Z,2018-04-11T10:51:17.398Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-64-NQ,2018-04-11T10:51:17.594Z,,,,,125000.0,,,,,,,,,
29917108,2017-01-01,2017-01-01,c8,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2VhLzczLzZkL2ViMWEtNDg2Zi1iMGFmLTllOTYyY2RlZTgzMQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzUxLzQ1L2IzL2VlZmMtNDBiNy04YjFiLTA2NDE4ZTBlYTUzOA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzE3LzQ1L2YzL2NmLzNmYmQtNDRmZi1iNTkwLWQ4NWZhZTc4ZGRjMA.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2018-04-11,2018-04-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,PCBY ApS,Gentofte,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25291042,indberetninger-20180424,2.5955422,29917108.0,AWK0VM1lx8uVRSOdfm5H,2018-04-11T10:51:41.500Z,2018-04-11T10:51:17.398Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-64-NQ,2018-04-11T10:51:17.594Z,,,,,-551719.0,,,,,,,,,
29917108,2017-01-01,2017-01-01,c9,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2VhLzczLzZkL2ViMWEtNDg2Zi1iMGFmLTllOTYyY2RlZTgzMQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzUxLzQ1L2IzL2VlZmMtNDBiNy04YjFiLTA2NDE4ZTBlYTUzOA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzE3LzQ1L2YzL2NmLzNmYmQtNDRmZi1iNTkwLWQ4NWZhZTc4ZGRjMA.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2018-04-11,2018-04-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,PCBY ApS,Gentofte,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25291042,indberetninger-20180424,2.5955422,29917108.0,AWK0VM1lx8uVRSOdfm5H,2018-04-11T10:51:41.500Z,2018-04-11T10:51:17.398Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-64-NQ,2018-04-11T10:51:17.594Z,,,,,-426719.0,,,,,,,,,
29917108,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2VhLzczLzZkL2ViMWEtNDg2Zi1iMGFmLTllOTYyY2RlZTgzMQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzUxLzQ1L2IzL2VlZmMtNDBiNy04YjFiLTA2NDE4ZTBlYTUzOA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzE3LzQ1L2YzL2NmLzNmYmQtNDRmZi1iNTkwLWQ4NWZhZTc4ZGRjMA.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2018-04-11,2018-04-11,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",0.0,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,PCBY ApS,Gentofte,2016-01-01,2016-12-31,0.0,0.0,0.0,2017-12-31,2017-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:25291042,indberetninger-20180424,2.5955422,29917108.0,AWK0VM1lx8uVRSOdfm5H,2018-04-11T10:51:41.500Z,2018-04-11T10:51:17.398Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-64-NQ,2018-04-11T10:51:17.594Z,,,,,,,,,,,,,,
29917108,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2VhLzczLzZkL2ViMWEtNDg2Zi1iMGFmLTllOTYyY2RlZTgzMQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzUxLzQ1L2IzL2VlZmMtNDBiNy04YjFiLTA2NDE4ZTBlYTUzOA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzE3LzQ1L2YzL2NmLzNmYmQtNDRmZi1iNTkwLWQ4NWZhZTc4ZGRjMA.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2018-04-11,2018-04-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,PCBY ApS,Gentofte,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25291042,indberetninger-20180424,2.5955422,29917108.0,AWK0VM1lx8uVRSOdfm5H,2018-04-11T10:51:41.500Z,2018-04-11T10:51:17.398Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-64-NQ,2018-04-11T10:51:17.594Z,,,,,,,,,,,,,,
29917108,2017-01-01,2017-12-31,c10,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2VhLzczLzZkL2ViMWEtNDg2Zi1iMGFmLTllOTYyY2RlZTgzMQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzUxLzQ1L2IzL2VlZmMtNDBiNy04YjFiLTA2NDE4ZTBlYTUzOA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzE3LzQ1L2YzL2NmLzNmYmQtNDRmZi1iNTkwLWQ4NWZhZTc4ZGRjMA.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2018-04-11,2018-04-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,PCBY ApS,Gentofte,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25291042,indberetninger-20180424,2.5955422,29917108.0,AWK0VM1lx8uVRSOdfm5H,2018-04-11T10:51:41.500Z,2018-04-11T10:51:17.398Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-64-NQ,2018-04-11T10:51:17.594Z,,,,,,,,,,,,,,
29917108,2017-01-01,2017-12-31,c11,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzFlL2VhLzczLzZkL2ViMWEtNDg2Zi1iMGFmLTllOTYyY2RlZTgzMQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzI5LzUxLzQ1L2IzL2VlZmMtNDBiNy04YjFiLTA2NDE4ZTBlYTUzOA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzE3LzQ1L2YzL2NmLzNmYmQtNDRmZi1iNTkwLWQ4NWZhZTc4ZGRjMA.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2018-04-11,2018-04-11,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,PCBY ApS,Gentofte,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:25291042,indberetninger-20180424,2.5955422,29917108.0,AWK0VM1lx8uVRSOdfm5H,2018-04-11T10:51:41.500Z,2018-04-11T10:51:17.398Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AH-64-NQ,2018-04-11T10:51:17.594Z,,,,,,,,,,,,,,
