entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermTradePayables
29917108,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzFlLzA5L2I5L2FiMDMtNGM3Zi1iZDdhLTMxMDFmMjk1Yzg4OQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzYzL2U3L2YyLzRjZTktNDgwNy05N2FlLTExNjhhZTQ4NTFhZA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzQ4LzlmLzQ1L2JjZDktNGM5ZS05ZGVlLTlhNDcxM2UyMjM5NQ.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2017-05-31,2017-05-31,8475.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",36272.0,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,FC-Service ApS,Gentofte,2015-01-01,2015-12-31,27797.0,27797.0,27797.0,2016-12-31,2016-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:24319113,indberetninger-20180424,2.59278,29917108.0,,2018-03-29T19:44:33.495Z,2017-06-30T18:57:45.701Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-46-GE,2017-06-30T18:57:46.203Z,,,,,,,,,,,,,,,
29917108,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzFlLzA5L2I5L2FiMDMtNGM3Zi1iZDdhLTMxMDFmMjk1Yzg4OQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzYzL2U3L2YyLzRjZTktNDgwNy05N2FlLTExNjhhZTQ4NTFhZA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzQ4LzlmLzQ1L2JjZDktNGM5ZS05ZGVlLTlhNDcxM2UyMjM5NQ.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2017-05-31,2017-05-31,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,FC-Service ApS,Gentofte,2015-01-01,2015-12-31,27797.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24319113,indberetninger-20180424,2.59278,29917108.0,,2018-03-29T19:44:33.495Z,2017-06-30T18:57:45.701Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-46-GE,2017-06-30T18:57:46.203Z,,,,,,,,,,,,,,,
29917108,2015-12-31,2015-12-31,c6,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzFlLzA5L2I5L2FiMDMtNGM3Zi1iZDdhLTMxMDFmMjk1Yzg4OQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzYzL2U3L2YyLzRjZTktNDgwNy05N2FlLTExNjhhZTQ4NTFhZA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzQ4LzlmLzQ1L2JjZDktNGM5ZS05ZGVlLTlhNDcxM2UyMjM5NQ.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2017-05-31,2017-05-31,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,FC-Service ApS,Gentofte,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24319113,indberetninger-20180424,2.59278,29917108.0,,2018-03-29T19:44:33.495Z,2017-06-30T18:57:45.701Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-46-GE,2017-06-30T18:57:46.203Z,13677.0,6834.0,125000.0,6834.0,-430566.0,6843.0,13677.0,444243.0,6843.0,54871.0,6843.0,-555566.0,444243.0,368972.0,20400.0
29917108,2016-01-01,2016-01-01,c7,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzFlLzA5L2I5L2FiMDMtNGM3Zi1iZDdhLTMxMDFmMjk1Yzg4OQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzYzL2U3L2YyLzRjZTktNDgwNy05N2FlLTExNjhhZTQ4NTFhZA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzQ4LzlmLzQ1L2JjZDktNGM5ZS05ZGVlLTlhNDcxM2UyMjM5NQ.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2017-05-31,2017-05-31,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,FC-Service ApS,Gentofte,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24319113,indberetninger-20180424,2.59278,29917108.0,,2018-03-29T19:44:33.495Z,2017-06-30T18:57:45.701Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-46-GE,2017-06-30T18:57:46.203Z,,,,,125000.0,,,,,,,,,,
29917108,2016-01-01,2016-01-01,c8,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzFlLzA5L2I5L2FiMDMtNGM3Zi1iZDdhLTMxMDFmMjk1Yzg4OQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzYzL2U3L2YyLzRjZTktNDgwNy05N2FlLTExNjhhZTQ4NTFhZA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzQ4LzlmLzQ1L2JjZDktNGM5ZS05ZGVlLTlhNDcxM2UyMjM5NQ.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2017-05-31,2017-05-31,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,FC-Service ApS,Gentofte,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24319113,indberetninger-20180424,2.59278,29917108.0,,2018-03-29T19:44:33.495Z,2017-06-30T18:57:45.701Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-46-GE,2017-06-30T18:57:46.203Z,,,,,-555566.0,,,,,,,,,,
29917108,2016-01-01,2016-01-01,c9,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzFlLzA5L2I5L2FiMDMtNGM3Zi1iZDdhLTMxMDFmMjk1Yzg4OQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzYzL2U3L2YyLzRjZTktNDgwNy05N2FlLTExNjhhZTQ4NTFhZA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzQ4LzlmLzQ1L2JjZDktNGM5ZS05ZGVlLTlhNDcxM2UyMjM5NQ.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2017-05-31,2017-05-31,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,FC-Service ApS,Gentofte,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24319113,indberetninger-20180424,2.59278,29917108.0,,2018-03-29T19:44:33.495Z,2017-06-30T18:57:45.701Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-46-GE,2017-06-30T18:57:46.203Z,,,,,-430566.0,,,,,,,,,,
29917108,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzFlLzA5L2I5L2FiMDMtNGM3Zi1iZDdhLTMxMDFmMjk1Yzg4OQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzYzL2U3L2YyLzRjZTktNDgwNy05N2FlLTExNjhhZTQ4NTFhZA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzQ4LzlmLzQ1L2JjZDktNGM5ZS05ZGVlLTlhNDcxM2UyMjM5NQ.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2017-05-31,2017-05-31,6843.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",10690.0,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,FC-Service ApS,Gentofte,2015-01-01,2015-12-31,3847.0,3847.0,3847.0,2016-12-31,2016-01-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:24319113,indberetninger-20180424,2.59278,29917108.0,,2018-03-29T19:44:33.495Z,2017-06-30T18:57:45.701Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-46-GE,2017-06-30T18:57:46.203Z,,,,,,,,,,,,,,,
29917108,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzFlLzA5L2I5L2FiMDMtNGM3Zi1iZDdhLTMxMDFmMjk1Yzg4OQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzYzL2U3L2YyLzRjZTktNDgwNy05N2FlLTExNjhhZTQ4NTFhZA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzQ4LzlmLzQ1L2JjZDktNGM5ZS05ZGVlLTlhNDcxM2UyMjM5NQ.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2017-05-31,2017-05-31,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,FC-Service ApS,Gentofte,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24319113,indberetninger-20180424,2.59278,29917108.0,,2018-03-29T19:44:33.495Z,2017-06-30T18:57:45.701Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-46-GE,2017-06-30T18:57:46.203Z,,,,,,,,,,,,,,,
29917108,2016-01-01,2016-12-31,c10,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzFlLzA5L2I5L2FiMDMtNGM3Zi1iZDdhLTMxMDFmMjk1Yzg4OQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzYzL2U3L2YyLzRjZTktNDgwNy05N2FlLTExNjhhZTQ4NTFhZA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzQ4LzlmLzQ1L2JjZDktNGM5ZS05ZGVlLTlhNDcxM2UyMjM5NQ.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2017-05-31,2017-05-31,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,FC-Service ApS,Gentofte,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24319113,indberetninger-20180424,2.59278,29917108.0,,2018-03-29T19:44:33.495Z,2017-06-30T18:57:45.701Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-46-GE,2017-06-30T18:57:46.203Z,,,,,,,,,,,,,,,
29917108,2016-01-01,2016-12-31,c11,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzk4LzFlLzA5L2I5L2FiMDMtNGM3Zi1iZDdhLTMxMDFmMjk1Yzg4OQ.xhtml,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzL2U2LzYzL2U3L2YyLzRjZTktNDgwNy05N2FlLTExNjhhZTQ4NTFhZA.pdf,http://regnskaber.virk.dk/80171992/ZG9rdW1lbnRsYWdlcjovLzAzLzViLzQ4LzlmLzQ1L2JjZDktNGM5ZS05ZGVlLTlhNDcxM2UyMjM5NQ.xml,true,Charlottenlund,2920.0,"49, 1 102",Ordrupvej,2900 Hellerup,Bekkasinvej 10,Regnskabsklasse B,2017-05-31,2017-05-31,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har tabt kapitalen. Ledelsen har drÃ¸ftet selskabets Ã¸konomiske stilling og forventer, at kunne reetablere kapitalen inden for de nÃ¦rmeste Ã¥r, gennem normal drift.</p>",,29917108.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Carl Jones,Carl Jones,CARL JONES ApS,FC-Service ApS,Gentofte,2015-01-01,2015-12-31,3847.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24319113,indberetninger-20180424,2.59278,29917108.0,,2018-03-29T19:44:33.495Z,2017-06-30T18:57:45.701Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AP-46-GE,2017-06-30T18:57:46.203Z,,,,,,,,,,,,,,,
