entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,CostOfProduction,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DistributionCosts,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,DividendPaid
35852816,2016-05-05,2017-05-04,c2,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJjLzlhL2ZlLzlhMzUtNDIxZC1hZjk0LTY0Y2Y5ZjJhZmIxYQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzM4LzMyLzM1L2JkZGYtNGU3YS05ZDYzLTYyY2Q5OTZiZTBjNw.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2M2L2ExLzczLzYyMmQtNDQ0NC1iM2QwLTdmM2ZlMjZkZGE5Mw.xml,true,Denmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,89249.0,2018-10-10,2018-10-11,32525.0,93669.0,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lone Ãstermark JÃ¸rgensen,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Finn Bentzens Revisionsinstitut A/S,35780.0,HillerÃ¸d,2016-05-05,2017-05-04,19594.0,25364.0,25364.0,2018-05-04,2017-05-05,182918.0,false,false,5770.0,50494291.0,false,false,Ingen bistand,urn:ofk:oid:26195196,indberetninger-20180424,2.5925974999999997,35852816.0,AWZh7Zt15OzuYdPkFJoR,2018-10-11T07:01:43.732Z,2018-10-11T07:00:50.982Z,regnskab,0.0,,2018-05-04,2017-05-05,X18-BD-47-BJ,2018-10-11T07:00:51.763Z,,,,,,,,,,,,,,,,,,,
35852816,2016-05-05,2017-05-04,c4,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJjLzlhL2ZlLzlhMzUtNDIxZC1hZjk0LTY0Y2Y5ZjJhZmIxYQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzM4LzMyLzM1L2JkZGYtNGU3YS05ZDYzLTYyY2Q5OTZiZTBjNw.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2M2L2ExLzczLzYyMmQtNDQ0NC1iM2QwLTdmM2ZlMjZkZGE5Mw.xml,true,Denmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,,2018-10-10,2018-10-11,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lone Ãstermark JÃ¸rgensen,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Finn Bentzens Revisionsinstitut A/S,,HillerÃ¸d,2016-05-05,2017-05-04,19594.0,,,2018-05-04,2017-05-05,,false,false,,50494291.0,false,false,Ingen bistand,urn:ofk:oid:26195196,indberetninger-20180424,2.5925974999999997,35852816.0,AWZh7Zt15OzuYdPkFJoR,2018-10-11T07:01:43.732Z,2018-10-11T07:00:50.982Z,regnskab,0.0,,2018-05-04,2017-05-05,X18-BD-47-BJ,2018-10-11T07:00:51.763Z,,,,,,,,,,,,,,,,,,,
35852816,2017-05-04,2017-05-04,c6,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJjLzlhL2ZlLzlhMzUtNDIxZC1hZjk0LTY0Y2Y5ZjJhZmIxYQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzM4LzMyLzM1L2JkZGYtNGU3YS05ZDYzLTYyY2Q5OTZiZTBjNw.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2M2L2ExLzczLzYyMmQtNDQ0NC1iM2QwLTdmM2ZlMjZkZGE5Mw.xml,true,Denmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,,2018-10-10,2018-10-11,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lone Ãstermark JÃ¸rgensen,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Finn Bentzens Revisionsinstitut A/S,,HillerÃ¸d,2016-05-05,2017-05-04,,,,2018-05-04,2017-05-05,,false,false,,50494291.0,false,false,Ingen bistand,urn:ofk:oid:26195196,indberetninger-20180424,2.5925974999999997,35852816.0,AWZh7Zt15OzuYdPkFJoR,2018-10-11T07:01:43.732Z,2018-10-11T07:00:50.982Z,regnskab,0.0,,2018-05-04,2017-05-05,X18-BD-47-BJ,2018-10-11T07:00:51.763Z,140193.0,87830.0,100000.0,140193.0,108672.0,47363.0,140193.0,31521.0,5770.0,5770.0,47363.0,17751.0,5000.0,8672.0,25751.0,5000.0,0.0,8000.0,
35852816,2017-05-05,2017-05-05,c10,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJjLzlhL2ZlLzlhMzUtNDIxZC1hZjk0LTY0Y2Y5ZjJhZmIxYQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzM4LzMyLzM1L2JkZGYtNGU3YS05ZDYzLTYyY2Q5OTZiZTBjNw.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2M2L2ExLzczLzYyMmQtNDQ0NC1iM2QwLTdmM2ZlMjZkZGE5Mw.xml,true,Denmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,,2018-10-10,2018-10-11,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lone Ãstermark JÃ¸rgensen,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Finn Bentzens Revisionsinstitut A/S,,HillerÃ¸d,2016-05-05,2017-05-04,,,,2018-05-04,2017-05-05,,false,false,,50494291.0,false,false,Ingen bistand,urn:ofk:oid:26195196,indberetninger-20180424,2.5925974999999997,35852816.0,AWZh7Zt15OzuYdPkFJoR,2018-10-11T07:01:43.732Z,2018-10-11T07:00:50.982Z,regnskab,0.0,,2018-05-04,2017-05-05,X18-BD-47-BJ,2018-10-11T07:00:51.763Z,,,,,108672.0,,,,,,,,,,,,,,
35852816,2017-05-05,2017-05-05,c7,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJjLzlhL2ZlLzlhMzUtNDIxZC1hZjk0LTY0Y2Y5ZjJhZmIxYQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzM4LzMyLzM1L2JkZGYtNGU3YS05ZDYzLTYyY2Q5OTZiZTBjNw.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2M2L2ExLzczLzYyMmQtNDQ0NC1iM2QwLTdmM2ZlMjZkZGE5Mw.xml,true,Denmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,,2018-10-10,2018-10-11,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lone Ãstermark JÃ¸rgensen,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Finn Bentzens Revisionsinstitut A/S,,HillerÃ¸d,2016-05-05,2017-05-04,,,,2018-05-04,2017-05-05,,false,false,,50494291.0,false,false,Ingen bistand,urn:ofk:oid:26195196,indberetninger-20180424,2.5925974999999997,35852816.0,AWZh7Zt15OzuYdPkFJoR,2018-10-11T07:01:43.732Z,2018-10-11T07:00:50.982Z,regnskab,0.0,,2018-05-04,2017-05-05,X18-BD-47-BJ,2018-10-11T07:00:51.763Z,,,,,100000.0,,,,,,,,,,,,,,
35852816,2017-05-05,2017-05-05,c8,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJjLzlhL2ZlLzlhMzUtNDIxZC1hZjk0LTY0Y2Y5ZjJhZmIxYQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzM4LzMyLzM1L2JkZGYtNGU3YS05ZDYzLTYyY2Q5OTZiZTBjNw.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2M2L2ExLzczLzYyMmQtNDQ0NC1iM2QwLTdmM2ZlMjZkZGE5Mw.xml,true,Denmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,,2018-10-10,2018-10-11,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lone Ãstermark JÃ¸rgensen,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Finn Bentzens Revisionsinstitut A/S,,HillerÃ¸d,2016-05-05,2017-05-04,,,,2018-05-04,2017-05-05,,false,false,,50494291.0,false,false,Ingen bistand,urn:ofk:oid:26195196,indberetninger-20180424,2.5925974999999997,35852816.0,AWZh7Zt15OzuYdPkFJoR,2018-10-11T07:01:43.732Z,2018-10-11T07:00:50.982Z,regnskab,0.0,,2018-05-04,2017-05-05,X18-BD-47-BJ,2018-10-11T07:00:51.763Z,,,,,8672.0,,,,,,,,,,,,,,
35852816,2017-05-05,2017-05-05,c9,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJjLzlhL2ZlLzlhMzUtNDIxZC1hZjk0LTY0Y2Y5ZjJhZmIxYQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzM4LzMyLzM1L2JkZGYtNGU3YS05ZDYzLTYyY2Q5OTZiZTBjNw.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2M2L2ExLzczLzYyMmQtNDQ0NC1iM2QwLTdmM2ZlMjZkZGE5Mw.xml,true,Denmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,,2018-10-10,2018-10-11,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lone Ãstermark JÃ¸rgensen,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Finn Bentzens Revisionsinstitut A/S,,HillerÃ¸d,2016-05-05,2017-05-04,,,,2018-05-04,2017-05-05,,false,false,,50494291.0,false,false,Ingen bistand,urn:ofk:oid:26195196,indberetninger-20180424,2.5925974999999997,35852816.0,AWZh7Zt15OzuYdPkFJoR,2018-10-11T07:01:43.732Z,2018-10-11T07:00:50.982Z,regnskab,0.0,,2018-05-04,2017-05-05,X18-BD-47-BJ,2018-10-11T07:00:51.763Z,,,,,0.0,,,,,,,,,,,,,,
35852816,2017-05-05,2018-05-04,c0,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJjLzlhL2ZlLzlhMzUtNDIxZC1hZjk0LTY0Y2Y5ZjJhZmIxYQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzM4LzMyLzM1L2JkZGYtNGU3YS05ZDYzLTYyY2Q5OTZiZTBjNw.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2M2L2ExLzczLzYyMmQtNDQ0NC1iM2QwLTdmM2ZlMjZkZGE5Mw.xml,true,Denmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,108538.0,2018-10-10,2018-10-11,28587.0,78333.0,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lone Ãstermark JÃ¸rgensen,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Finn Bentzens Revisionsinstitut A/S,32639.0,HillerÃ¸d,2016-05-05,2017-05-04,13216.0,17107.0,17107.0,2018-05-04,2017-05-05,186871.0,false,false,3891.0,50494291.0,false,false,Ingen bistand,urn:ofk:oid:26195196,indberetninger-20180424,2.5925974999999997,35852816.0,AWZh7Zt15OzuYdPkFJoR,2018-10-11T07:01:43.732Z,2018-10-11T07:00:50.982Z,regnskab,0.0,,2018-05-04,2017-05-05,X18-BD-47-BJ,2018-10-11T07:00:51.763Z,,,,,,,,,,,,,,,,,,,0.0
35852816,2017-05-05,2018-05-04,c1,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJjLzlhL2ZlLzlhMzUtNDIxZC1hZjk0LTY0Y2Y5ZjJhZmIxYQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzM4LzMyLzM1L2JkZGYtNGU3YS05ZDYzLTYyY2Q5OTZiZTBjNw.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2M2L2ExLzczLzYyMmQtNDQ0NC1iM2QwLTdmM2ZlMjZkZGE5Mw.xml,true,Denmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,,2018-10-10,2018-10-11,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lone Ãstermark JÃ¸rgensen,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Finn Bentzens Revisionsinstitut A/S,,HillerÃ¸d,2016-05-05,2017-05-04,,,,2018-05-04,2017-05-05,,false,false,,50494291.0,false,false,Ingen bistand,urn:ofk:oid:26195196,indberetninger-20180424,2.5925974999999997,35852816.0,AWZh7Zt15OzuYdPkFJoR,2018-10-11T07:01:43.732Z,2018-10-11T07:00:50.982Z,regnskab,0.0,,2018-05-04,2017-05-05,X18-BD-47-BJ,2018-10-11T07:00:51.763Z,,,,,,,,,,,,,,,,,,,
35852816,2017-05-05,2018-05-04,c11,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJjLzlhL2ZlLzlhMzUtNDIxZC1hZjk0LTY0Y2Y5ZjJhZmIxYQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2NkLzM4LzMyLzM1L2JkZGYtNGU3YS05ZDYzLTYyY2Q5OTZiZTBjNw.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzI5L2M2L2ExLzczLzYyMmQtNDQ0NC1iM2QwLTdmM2ZlMjZkZGE5Mw.xml,true,Denmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3400 HillerÃ¸d,KÃ¸benhavnsvej 37,Regnskabsklasse B,,2018-10-10,2018-10-11,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lone Ãstermark JÃ¸rgensen,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Finn Bentzens Revisionsinstitut A/S,,HillerÃ¸d,2016-05-05,2017-05-04,0.0,,,2018-05-04,2017-05-05,,false,false,,50494291.0,false,false,Ingen bistand,urn:ofk:oid:26195196,indberetninger-20180424,2.5925974999999997,35852816.0,AWZh7Zt15OzuYdPkFJoR,2018-10-11T07:01:43.732Z,2018-10-11T07:00:50.982Z,regnskab,0.0,,2018-05-04,2017-05-05,X18-BD-47-BJ,2018-10-11T07:00:51.763Z,,,,,,,,,,,,,,,,,,,0.0
